nodelist=n23m0247
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 48
Grid size              = 48000
Radius of stencil      = 1
Tiles in x/y-direction = 6/8
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 103503.728546  Avg time (s): 0.244840  Total time (s): 97.936136
[MEMUSAGE] Total Memory Consumption (max_rss): 38757.922 MiB
[MEMUSAGE] Rank 0:	 807.613 MiB
[MEMUSAGE] Rank 1:	 807.422 MiB
[MEMUSAGE] Rank 2:	 807.398 MiB
[MEMUSAGE] Rank 3:	 807.293 MiB
[MEMUSAGE] Rank 4:	 807.598 MiB
[MEMUSAGE] Rank 5:	 807.531 MiB
[MEMUSAGE] Rank 6:	 807.680 MiB
[MEMUSAGE] Rank 7:	 807.672 MiB
[MEMUSAGE] Rank 8:	 809.828 MiB
[MEMUSAGE] Rank 9:	 807.426 MiB
[MEMUSAGE] Rank 10:	 807.691 MiB
[MEMUSAGE] Rank 11:	 807.648 MiB
[MEMUSAGE] Rank 12:	 807.645 MiB
[MEMUSAGE] Rank 13:	 807.496 MiB
[MEMUSAGE] Rank 14:	 807.621 MiB
[MEMUSAGE] Rank 15:	 807.445 MiB
[MEMUSAGE] Rank 16:	 807.273 MiB
[MEMUSAGE] Rank 17:	 807.008 MiB
[MEMUSAGE] Rank 18:	 807.156 MiB
[MEMUSAGE] Rank 19:	 807.145 MiB
[MEMUSAGE] Rank 20:	 809.273 MiB
[MEMUSAGE] Rank 21:	 807.270 MiB
[MEMUSAGE] Rank 22:	 807.230 MiB
[MEMUSAGE] Rank 23:	 807.250 MiB
[MEMUSAGE] Rank 24:	 807.438 MiB
[MEMUSAGE] Rank 25:	 809.293 MiB
[MEMUSAGE] Rank 26:	 807.145 MiB
[MEMUSAGE] Rank 27:	 807.254 MiB
[MEMUSAGE] Rank 28:	 807.598 MiB
[MEMUSAGE] Rank 29:	 807.418 MiB
[MEMUSAGE] Rank 30:	 807.266 MiB
[MEMUSAGE] Rank 31:	 807.273 MiB
[MEMUSAGE] Rank 32:	 807.238 MiB
[MEMUSAGE] Rank 33:	 807.461 MiB
[MEMUSAGE] Rank 34:	 807.441 MiB
[MEMUSAGE] Rank 35:	 807.238 MiB
[MEMUSAGE] Rank 36:	 807.422 MiB
[MEMUSAGE] Rank 37:	 807.227 MiB
[MEMUSAGE] Rank 38:	 807.312 MiB
[MEMUSAGE] Rank 39:	 807.293 MiB
[MEMUSAGE] Rank 40:	 807.621 MiB
[MEMUSAGE] Rank 41:	 805.078 MiB
[MEMUSAGE] Rank 42:	 806.914 MiB
[MEMUSAGE] Rank 43:	 807.387 MiB
[MEMUSAGE] Rank 44:	 807.445 MiB
[MEMUSAGE] Rank 45:	 807.242 MiB
[MEMUSAGE] Rank 46:	 807.367 MiB
[MEMUSAGE] Rank 47:	 806.938 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
