nodelist=n23m[0182-0185]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 413485.836167  Avg time (s): 0.245164  Total time (s): 98.065537
[MEMUSAGE] Total Memory Consumption (max_rss): 167282.082 MiB
[MEMUSAGE] Rank 0:	 871.039 MiB
[MEMUSAGE] Rank 1:	 868.965 MiB
[MEMUSAGE] Rank 2:	 871.102 MiB
[MEMUSAGE] Rank 3:	 870.820 MiB
[MEMUSAGE] Rank 4:	 869.035 MiB
[MEMUSAGE] Rank 5:	 870.785 MiB
[MEMUSAGE] Rank 6:	 871.027 MiB
[MEMUSAGE] Rank 7:	 871.039 MiB
[MEMUSAGE] Rank 8:	 871.039 MiB
[MEMUSAGE] Rank 9:	 871.070 MiB
[MEMUSAGE] Rank 10:	 871.391 MiB
[MEMUSAGE] Rank 11:	 871.086 MiB
[MEMUSAGE] Rank 12:	 871.215 MiB
[MEMUSAGE] Rank 13:	 871.203 MiB
[MEMUSAGE] Rank 14:	 871.305 MiB
[MEMUSAGE] Rank 15:	 871.207 MiB
[MEMUSAGE] Rank 16:	 871.387 MiB
[MEMUSAGE] Rank 17:	 871.246 MiB
[MEMUSAGE] Rank 18:	 871.363 MiB
[MEMUSAGE] Rank 19:	 871.168 MiB
[MEMUSAGE] Rank 20:	 871.168 MiB
[MEMUSAGE] Rank 21:	 871.137 MiB
[MEMUSAGE] Rank 22:	 871.207 MiB
[MEMUSAGE] Rank 23:	 869.207 MiB
[MEMUSAGE] Rank 24:	 869.297 MiB
[MEMUSAGE] Rank 25:	 871.125 MiB
[MEMUSAGE] Rank 26:	 871.023 MiB
[MEMUSAGE] Rank 27:	 871.086 MiB
[MEMUSAGE] Rank 28:	 871.285 MiB
[MEMUSAGE] Rank 29:	 869.105 MiB
[MEMUSAGE] Rank 30:	 871.332 MiB
[MEMUSAGE] Rank 31:	 871.012 MiB
[MEMUSAGE] Rank 32:	 871.105 MiB
[MEMUSAGE] Rank 33:	 871.199 MiB
[MEMUSAGE] Rank 34:	 871.160 MiB
[MEMUSAGE] Rank 35:	 871.059 MiB
[MEMUSAGE] Rank 36:	 871.180 MiB
[MEMUSAGE] Rank 37:	 871.000 MiB
[MEMUSAGE] Rank 38:	 870.914 MiB
[MEMUSAGE] Rank 39:	 871.062 MiB
[MEMUSAGE] Rank 40:	 868.957 MiB
[MEMUSAGE] Rank 41:	 871.031 MiB
[MEMUSAGE] Rank 42:	 871.043 MiB
[MEMUSAGE] Rank 43:	 871.188 MiB
[MEMUSAGE] Rank 44:	 870.867 MiB
[MEMUSAGE] Rank 45:	 870.945 MiB
[MEMUSAGE] Rank 46:	 871.242 MiB
[MEMUSAGE] Rank 47:	 873.094 MiB
[MEMUSAGE] Rank 48:	 871.121 MiB
[MEMUSAGE] Rank 49:	 871.168 MiB
[MEMUSAGE] Rank 50:	 871.148 MiB
[MEMUSAGE] Rank 51:	 873.133 MiB
[MEMUSAGE] Rank 52:	 871.410 MiB
[MEMUSAGE] Rank 53:	 871.059 MiB
[MEMUSAGE] Rank 54:	 869.375 MiB
[MEMUSAGE] Rank 55:	 873.098 MiB
[MEMUSAGE] Rank 56:	 869.309 MiB
[MEMUSAGE] Rank 57:	 871.246 MiB
[MEMUSAGE] Rank 58:	 871.047 MiB
[MEMUSAGE] Rank 59:	 873.074 MiB
[MEMUSAGE] Rank 60:	 873.406 MiB
[MEMUSAGE] Rank 61:	 871.328 MiB
[MEMUSAGE] Rank 62:	 871.391 MiB
[MEMUSAGE] Rank 63:	 871.008 MiB
[MEMUSAGE] Rank 64:	 871.168 MiB
[MEMUSAGE] Rank 65:	 872.953 MiB
[MEMUSAGE] Rank 66:	 871.359 MiB
[MEMUSAGE] Rank 67:	 871.035 MiB
