nodelist=n23m[0186,0195-0197]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 394544.279933  Avg time (s): 0.256934  Total time (s): 102.773535
[MEMUSAGE] Total Memory Consumption (max_rss): 167274.496 MiB
[MEMUSAGE] Rank 0:	 870.883 MiB
[MEMUSAGE] Rank 1:	 870.992 MiB
[MEMUSAGE] Rank 2:	 873.148 MiB
[MEMUSAGE] Rank 3:	 873.129 MiB
[MEMUSAGE] Rank 4:	 871.117 MiB
[MEMUSAGE] Rank 5:	 871.180 MiB
[MEMUSAGE] Rank 6:	 870.914 MiB
[MEMUSAGE] Rank 7:	 873.109 MiB
[MEMUSAGE] Rank 8:	 871.160 MiB
[MEMUSAGE] Rank 9:	 871.160 MiB
[MEMUSAGE] Rank 10:	 871.059 MiB
[MEMUSAGE] Rank 11:	 871.148 MiB
[MEMUSAGE] Rank 12:	 871.051 MiB
[MEMUSAGE] Rank 13:	 871.191 MiB
[MEMUSAGE] Rank 14:	 871.062 MiB
[MEMUSAGE] Rank 15:	 871.285 MiB
[MEMUSAGE] Rank 16:	 871.371 MiB
[MEMUSAGE] Rank 17:	 871.328 MiB
[MEMUSAGE] Rank 18:	 871.078 MiB
[MEMUSAGE] Rank 19:	 871.102 MiB
[MEMUSAGE] Rank 20:	 871.168 MiB
[MEMUSAGE] Rank 21:	 871.324 MiB
[MEMUSAGE] Rank 22:	 871.074 MiB
[MEMUSAGE] Rank 23:	 869.090 MiB
[MEMUSAGE] Rank 24:	 871.102 MiB
[MEMUSAGE] Rank 25:	 871.066 MiB
[MEMUSAGE] Rank 26:	 869.102 MiB
[MEMUSAGE] Rank 27:	 871.402 MiB
[MEMUSAGE] Rank 28:	 871.059 MiB
[MEMUSAGE] Rank 29:	 871.160 MiB
[MEMUSAGE] Rank 30:	 871.332 MiB
[MEMUSAGE] Rank 31:	 873.012 MiB
[MEMUSAGE] Rank 32:	 871.000 MiB
[MEMUSAGE] Rank 33:	 871.094 MiB
[MEMUSAGE] Rank 34:	 871.324 MiB
[MEMUSAGE] Rank 35:	 871.219 MiB
[MEMUSAGE] Rank 36:	 870.934 MiB
[MEMUSAGE] Rank 37:	 870.883 MiB
[MEMUSAGE] Rank 38:	 871.109 MiB
[MEMUSAGE] Rank 39:	 871.141 MiB
[MEMUSAGE] Rank 40:	 871.020 MiB
[MEMUSAGE] Rank 41:	 869.098 MiB
[MEMUSAGE] Rank 42:	 873.004 MiB
[MEMUSAGE] Rank 43:	 870.883 MiB
[MEMUSAGE] Rank 44:	 871.309 MiB
[MEMUSAGE] Rank 45:	 870.965 MiB
[MEMUSAGE] Rank 46:	 870.961 MiB
[MEMUSAGE] Rank 47:	 870.816 MiB
[MEMUSAGE] Rank 48:	 870.895 MiB
[MEMUSAGE] Rank 49:	 869.055 MiB
[MEMUSAGE] Rank 50:	 871.207 MiB
[MEMUSAGE] Rank 51:	 871.070 MiB
[MEMUSAGE] Rank 52:	 871.027 MiB
[MEMUSAGE] Rank 53:	 871.250 MiB
[MEMUSAGE] Rank 54:	 871.203 MiB
[MEMUSAGE] Rank 55:	 871.055 MiB
[MEMUSAGE] Rank 56:	 871.281 MiB
[MEMUSAGE] Rank 57:	 871.004 MiB
[MEMUSAGE] Rank 58:	 869.199 MiB
[MEMUSAGE] Rank 59:	 871.211 MiB
[MEMUSAGE] Rank 60:	 871.270 MiB
[MEMUSAGE] Rank 61:	 871.012 MiB
[MEMUSAGE] Rank 62:	 871.027 MiB
[MEMUSAGE] Rank 63:	 871.211 MiB
[MEMUSAGE] Rank 64:	 871.340 MiB
[MEMUSAGE] Rank 65:	 870.820 MiB
[MEMUSAGE] Rank 66:	 871.152 MiB
[MEMUSAGE] Rank 67:	 870.945 MiB
[MEMUSAGE] Rank 68:	 873.133 MiB
[MEMUSAGE] Rank 69:	 871.414 MiB
[MEMUSAGE] Rank 70:	 868.965 MiB
[MEMUSAGE] Rank 71:	 871.215 MiB
[MEMUSAGE] Rank 72:	 871.344 MiB
[MEMUSAGE] Rank 73:	 868.824 MiB
[MEMUSAGE] Rank 74:	 871.230 MiB
[MEMUSAGE] Rank 75:	 871.070 MiB
[MEMUSAGE] Rank 76:	 871.332 MiB
[MEMUSAGE] Rank 77:	 871.180 MiB
[MEMUSAGE] Rank 78:	 871.266 MiB
[MEMUSAGE] Rank 79:	 873.047 MiB
[MEMUSAGE] Rank 80:	 871.141 MiB
[MEMUSAGE] Rank 81:	 871.078 MiB
[MEMUSAGE] Rank 82:	 871.227 MiB
[MEMUSAGE] Rank 83:	 870.988 MiB
[MEMUSAGE] Rank 84:	 870.844 MiB
[MEMUSAGE] Rank 85:	 871.164 MiB
[MEMUSAGE] Rank 86:	 871.199 MiB
[MEMUSAGE] Rank 87:	 871.211 MiB
[MEMUSAGE] Rank 88:	 870.941 MiB
[MEMUSAGE] Rank 89:	 870.965 MiB
[MEMUSAGE] Rank 90:	 870.957 MiB
[MEMUSAGE] Rank 91:	 870.832 MiB
[MEMUSAGE] Rank 92:	 871.141 MiB
[MEMUSAGE] Rank 93:	 870.992 MiB
[MEMUSAGE] Rank 94:	 870.902 MiB
[MEMUSAGE] Rank 95:	 870.852 MiB
[MEMUSAGE] Rank 96:	 870.922 MiB
[MEMUSAGE] Rank 97:	 871.102 MiB
[MEMUSAGE] Rank 98:	 870.980 MiB
[MEMUSAGE] Rank 99:	 873.000 MiB
[MEMUSAGE] Rank 100:	 873.082 MiB
[MEMUSAGE] Rank 101:	 871.082 MiB
[MEMUSAGE] Rank 102:	 871.379 MiB
[MEMUSAGE] Rank 103:	 873.078 MiB
[MEMUSAGE] Rank 104:	 870.910 MiB
[MEMUSAGE] Rank 105:	 871.188 MiB
[MEMUSAGE] Rank 106:	 871.383 MiB
[MEMUSAGE] Rank 107:	 870.996 MiB
[MEMUSAGE] Rank 108:	 871.289 MiB
[MEMUSAGE] Rank 109:	 871.086 MiB
[MEMUSAGE] Rank 110:	 873.102 MiB
[MEMUSAGE] Rank 111:	 871.211 MiB
[MEMUSAGE] Rank 112:	 871.340 MiB
[MEMUSAGE] Rank 113:	 871.207 MiB
[MEMUSAGE] Rank 114:	 871.148 MiB
[MEMUSAGE] Rank 115:	 871.359 MiB
[MEMUSAGE] Rank 116:	 871.348 MiB
[MEMUSAGE] Rank 117:	 868.891 MiB
[MEMUSAGE] Rank 118:	 871.000 MiB
[MEMUSAGE] Rank 119:	 871.117 MiB
[MEMUSAGE] Rank 120:	 870.957 MiB
[MEMUSAGE] Rank 121:	 870.918 MiB
[MEMUSAGE] Rank 122:	 870.914 MiB
[MEMUSAGE] Rank 123:	 870.980 MiB
[MEMUSAGE] Rank 124:	 871.105 MiB
[MEMUSAGE] Rank 125:	 873.121 MiB
[MEMUSAGE] Rank 126:	 871.125 MiB
[MEMUSAGE] Rank 127:	 871.078 MiB
[MEMUSAGE] Rank 128:	 873.203 MiB
[MEMUSAGE] Rank 129:	 871.312 MiB
[MEMUSAGE] Rank 130:	 871.230 MiB
[MEMUSAGE] Rank 131:	 871.008 MiB
[MEMUSAGE] Rank 132:	 872.973 MiB
[MEMUSAGE] Rank 133:	 871.102 MiB
[MEMUSAGE] Rank 134:	 871.066 MiB
[MEMUSAGE] Rank 135:	 871.012 MiB
[MEMUSAGE] Rank 136:	 871.160 MiB
[MEMUSAGE] Rank 137:	 870.871 MiB
[MEMUSAGE] Rank 138:	 870.824 MiB
[MEMUSAGE] Rank 139:	 870.879 MiB
[MEMUSAGE] Rank 140:	 871.000 MiB
[MEMUSAGE] Rank 141:	 870.910 MiB
[MEMUSAGE] Rank 142:	 872.836 MiB
[MEMUSAGE] Rank 143:	 870.949 MiB
[MEMUSAGE] Rank 144:	 873.242 MiB
[MEMUSAGE] Rank 145:	 873.023 MiB
[MEMUSAGE] Rank 146:	 873.227 MiB
[MEMUSAGE] Rank 147:	 871.078 MiB
[MEMUSAGE] Rank 148:	 871.262 MiB
[MEMUSAGE] Rank 149:	 871.324 MiB
[MEMUSAGE] Rank 150:	 871.180 MiB
[MEMUSAGE] Rank 151:	 871.395 MiB
[MEMUSAGE] Rank 152:	 871.375 MiB
[MEMUSAGE] Rank 153:	 868.875 MiB
[MEMUSAGE] Rank 154:	 870.914 MiB
[MEMUSAGE] Rank 155:	 871.172 MiB
[MEMUSAGE] Rank 156:	 870.859 MiB
[MEMUSAGE] Rank 157:	 870.973 MiB
[MEMUSAGE] Rank 158:	 871.230 MiB
[MEMUSAGE] Rank 159:	 871.473 MiB
[MEMUSAGE] Rank 160:	 871.328 MiB
[MEMUSAGE] Rank 161:	 871.266 MiB
[MEMUSAGE] Rank 162:	 871.273 MiB
[MEMUSAGE] Rank 163:	 871.090 MiB
[MEMUSAGE] Rank 164:	 873.305 MiB
[MEMUSAGE] Rank 165:	 871.105 MiB
[MEMUSAGE] Rank 166:	 871.188 MiB
[MEMUSAGE] Rank 167:	 871.355 MiB
[MEMUSAGE] Rank 168:	 871.254 MiB
[MEMUSAGE] Rank 169:	 871.281 MiB
[MEMUSAGE] Rank 170:	 871.219 MiB
[MEMUSAGE] Rank 171:	 871.262 MiB
[MEMUSAGE] Rank 172:	 871.250 MiB
[MEMUSAGE] Rank 173:	 871.051 MiB
[MEMUSAGE] Rank 174:	 871.402 MiB
[MEMUSAGE] Rank 175:	 870.988 MiB
[MEMUSAGE] Rank 176:	 871.223 MiB
[MEMUSAGE] Rank 177:	 871.137 MiB
[MEMUSAGE] Rank 178:	 870.895 MiB
[MEMUSAGE] Rank 179:	 872.918 MiB
[MEMUSAGE] Rank 180:	 871.004 MiB
[MEMUSAGE] Rank 181:	 871.059 MiB
[MEMUSAGE] Rank 182:	 870.895 MiB
[MEMUSAGE] Rank 183:	 870.934 MiB
[MEMUSAGE] Rank 184:	 870.805 MiB
[MEMUSAGE] Rank 185:	 871.059 MiB
[MEMUSAGE] Rank 186:	 872.973 MiB
[MEMUSAGE] Rank 187:	 870.699 MiB
[MEMUSAGE] Rank 188:	 870.902 MiB
[MEMUSAGE] Rank 189:	 870.773 MiB
[MEMUSAGE] Rank 190:	 870.766 MiB
[MEMUSAGE] Rank 191:	 870.699 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
