nodelist=n23m[0135,0137,0140-0141,0169-0172]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 789161.798462  Avg time (s): 0.256915  Total time (s): 102.766005
[MEMUSAGE] Total Memory Consumption (max_rss): 335430.387 MiB
[MEMUSAGE] Rank 0:	 873.480 MiB
[MEMUSAGE] Rank 1:	 873.289 MiB
[MEMUSAGE] Rank 2:	 873.637 MiB
[MEMUSAGE] Rank 3:	 873.395 MiB
[MEMUSAGE] Rank 4:	 873.375 MiB
[MEMUSAGE] Rank 5:	 873.316 MiB
[MEMUSAGE] Rank 6:	 875.566 MiB
[MEMUSAGE] Rank 7:	 873.113 MiB
[MEMUSAGE] Rank 8:	 873.480 MiB
[MEMUSAGE] Rank 9:	 873.285 MiB
[MEMUSAGE] Rank 10:	 873.281 MiB
[MEMUSAGE] Rank 11:	 873.281 MiB
[MEMUSAGE] Rank 12:	 875.152 MiB
[MEMUSAGE] Rank 13:	 873.234 MiB
[MEMUSAGE] Rank 14:	 873.301 MiB
[MEMUSAGE] Rank 15:	 873.277 MiB
[MEMUSAGE] Rank 16:	 873.395 MiB
[MEMUSAGE] Rank 17:	 875.621 MiB
[MEMUSAGE] Rank 18:	 873.602 MiB
[MEMUSAGE] Rank 19:	 873.391 MiB
[MEMUSAGE] Rank 20:	 873.707 MiB
[MEMUSAGE] Rank 21:	 875.391 MiB
[MEMUSAGE] Rank 22:	 873.504 MiB
[MEMUSAGE] Rank 23:	 875.371 MiB
[MEMUSAGE] Rank 24:	 871.676 MiB
[MEMUSAGE] Rank 25:	 873.301 MiB
[MEMUSAGE] Rank 26:	 873.398 MiB
[MEMUSAGE] Rank 27:	 873.605 MiB
[MEMUSAGE] Rank 28:	 873.566 MiB
[MEMUSAGE] Rank 29:	 873.598 MiB
[MEMUSAGE] Rank 30:	 873.676 MiB
[MEMUSAGE] Rank 31:	 873.469 MiB
[MEMUSAGE] Rank 32:	 873.613 MiB
[MEMUSAGE] Rank 33:	 873.430 MiB
[MEMUSAGE] Rank 34:	 871.555 MiB
[MEMUSAGE] Rank 35:	 875.262 MiB
[MEMUSAGE] Rank 36:	 873.266 MiB
[MEMUSAGE] Rank 37:	 873.398 MiB
[MEMUSAGE] Rank 38:	 873.184 MiB
[MEMUSAGE] Rank 39:	 873.344 MiB
[MEMUSAGE] Rank 40:	 873.180 MiB
[MEMUSAGE] Rank 41:	 875.129 MiB
[MEMUSAGE] Rank 42:	 873.164 MiB
[MEMUSAGE] Rank 43:	 873.383 MiB
[MEMUSAGE] Rank 44:	 873.246 MiB
[MEMUSAGE] Rank 45:	 873.141 MiB
[MEMUSAGE] Rank 46:	 873.199 MiB
[MEMUSAGE] Rank 47:	 873.227 MiB
[MEMUSAGE] Rank 48:	 873.570 MiB
[MEMUSAGE] Rank 49:	 871.297 MiB
[MEMUSAGE] Rank 50:	 873.469 MiB
[MEMUSAGE] Rank 51:	 873.332 MiB
[MEMUSAGE] Rank 52:	 873.582 MiB
[MEMUSAGE] Rank 53:	 875.000 MiB
[MEMUSAGE] Rank 54:	 873.176 MiB
