nodelist=n23m[0249-0256,0258-0265]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 1652204.792346  Avg time (s): 0.245427  Total time (s): 98.170773
[MEMUSAGE] Total Memory Consumption (max_rss): 674392.391 MiB
[MEMUSAGE] Rank 0:	 877.891 MiB
[MEMUSAGE] Rank 1:	 879.836 MiB
[MEMUSAGE] Rank 2:	 878.008 MiB
[MEMUSAGE] Rank 3:	 878.062 MiB
[MEMUSAGE] Rank 4:	 876.066 MiB
[MEMUSAGE] Rank 5:	 877.969 MiB
[MEMUSAGE] Rank 6:	 878.121 MiB
[MEMUSAGE] Rank 7:	 878.039 MiB
[MEMUSAGE] Rank 8:	 878.121 MiB
[MEMUSAGE] Rank 9:	 880.023 MiB
[MEMUSAGE] Rank 10:	 877.895 MiB
[MEMUSAGE] Rank 11:	 878.141 MiB
[MEMUSAGE] Rank 12:	 879.863 MiB
[MEMUSAGE] Rank 13:	 878.105 MiB
[MEMUSAGE] Rank 14:	 877.957 MiB
[MEMUSAGE] Rank 15:	 878.180 MiB
[MEMUSAGE] Rank 16:	 878.020 MiB
[MEMUSAGE] Rank 17:	 879.906 MiB
[MEMUSAGE] Rank 18:	 877.949 MiB
[MEMUSAGE] Rank 19:	 877.910 MiB
[MEMUSAGE] Rank 20:	 879.832 MiB
[MEMUSAGE] Rank 21:	 877.805 MiB
[MEMUSAGE] Rank 22:	 879.977 MiB
[MEMUSAGE] Rank 23:	 879.848 MiB
[MEMUSAGE] Rank 24:	 877.941 MiB
[MEMUSAGE] Rank 25:	 877.836 MiB
[MEMUSAGE] Rank 26:	 877.840 MiB
[MEMUSAGE] Rank 27:	 878.012 MiB
[MEMUSAGE] Rank 28:	 877.773 MiB
[MEMUSAGE] Rank 29:	 877.961 MiB
[MEMUSAGE] Rank 30:	 877.840 MiB
[MEMUSAGE] Rank 31:	 879.977 MiB
[MEMUSAGE] Rank 32:	 878.090 MiB
[MEMUSAGE] Rank 33:	 877.832 MiB
[MEMUSAGE] Rank 34:	 878.121 MiB
[MEMUSAGE] Rank 35:	 878.004 MiB
[MEMUSAGE] Rank 36:	 878.062 MiB
[MEMUSAGE] Rank 37:	 878.004 MiB
[MEMUSAGE] Rank 38:	 875.750 MiB
[MEMUSAGE] Rank 39:	 877.754 MiB
[MEMUSAGE] Rank 40:	 878.141 MiB
[MEMUSAGE] Rank 41:	 877.883 MiB
[MEMUSAGE] Rank 42:	 878.176 MiB
[MEMUSAGE] Rank 43:	 878.000 MiB
[MEMUSAGE] Rank 44:	 878.066 MiB
[MEMUSAGE] Rank 45:	 877.965 MiB
[MEMUSAGE] Rank 46:	 877.855 MiB
[MEMUSAGE] Rank 47:	 877.781 MiB
[MEMUSAGE] Rank 48:	 878.062 MiB
[MEMUSAGE] Rank 49:	 877.855 MiB
[MEMUSAGE] Rank 50:	 878.090 MiB
[MEMUSAGE] Rank 51:	 877.910 MiB
[MEMUSAGE] Rank 52:	 877.949 MiB
[MEMUSAGE] Rank 53:	 877.898 MiB
[MEMUSAGE] Rank 54:	 878.055 MiB
[MEMUSAGE] Rank 55:	 876.066 MiB
[MEMUSAGE] Rank 56:	 878.082 MiB
[MEMUSAGE] Rank 57:	 878.062 MiB
[MEMUSAGE] Rank 58:	 878.152 MiB
[MEMUSAGE] Rank 59:	 879.898 MiB
[MEMUSAGE] Rank 60:	 877.953 MiB
[MEMUSAGE] Rank 61:	 880.031 MiB
[MEMUSAGE] Rank 62:	 878.031 MiB
[MEMUSAGE] Rank 63:	 878.090 MiB
[MEMUSAGE] Rank 64:	 877.926 MiB
[MEMUSAGE] Rank 65:	 878.059 MiB
[MEMUSAGE] Rank 66:	 880.086 MiB
