nodelist=r23m[0200-0202]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 125
# Total number of elements: 1000000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  125
   Iteration count     =  3517
   Final Origin Energy =  1.791828e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 1.135049e-09
        TotalAbsDiff = 1.028366e-08
        MaxRelDiff   = 2.474559e-14

Elapsed time         =         63 (s)
Grind time (us/z/c)  =  2.2502635 (per dom)  ( 63.313414 overall)
FOM                  =   55549.05 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 19093.469 MiB
[MEMUSAGE] Rank 0:	 144.133 MiB
[MEMUSAGE] Rank 1:	 144.195 MiB
[MEMUSAGE] Rank 2:	 144.230 MiB
[MEMUSAGE] Rank 3:	 146.184 MiB
[MEMUSAGE] Rank 4:	 143.941 MiB
[MEMUSAGE] Rank 5:	 144.156 MiB
[MEMUSAGE] Rank 6:	 144.289 MiB
[MEMUSAGE] Rank 7:	 145.980 MiB
[MEMUSAGE] Rank 8:	 144.164 MiB
[MEMUSAGE] Rank 9:	 144.203 MiB
[MEMUSAGE] Rank 10:	 143.977 MiB
[MEMUSAGE] Rank 11:	 154.340 MiB
[MEMUSAGE] Rank 12:	 154.262 MiB
[MEMUSAGE] Rank 13:	 154.156 MiB
[MEMUSAGE] Rank 14:	 154.105 MiB
[MEMUSAGE] Rank 15:	 154.078 MiB
[MEMUSAGE] Rank 16:	 156.293 MiB
[MEMUSAGE] Rank 17:	 154.191 MiB
[MEMUSAGE] Rank 18:	 154.156 MiB
[MEMUSAGE] Rank 19:	 154.039 MiB
[MEMUSAGE] Rank 20:	 151.848 MiB
[MEMUSAGE] Rank 21:	 153.945 MiB
[MEMUSAGE] Rank 22:	 153.938 MiB
[MEMUSAGE] Rank 23:	 154.012 MiB
[MEMUSAGE] Rank 24:	 154.023 MiB
[MEMUSAGE] Rank 25:	 154.176 MiB
[MEMUSAGE] Rank 26:	 154.223 MiB
[MEMUSAGE] Rank 27:	 154.172 MiB
[MEMUSAGE] Rank 28:	 154.152 MiB
[MEMUSAGE] Rank 29:	 152.137 MiB
[MEMUSAGE] Rank 30:	 153.910 MiB
[MEMUSAGE] Rank 31:	 154.184 MiB
[MEMUSAGE] Rank 32:	 154.219 MiB
