nodelist=n23m[0400-0407]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 343
# Total number of elements: 2744000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  343
   Iteration count     =  5008
   Final Origin Energy =  3.284469e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 7.858034e-10
        TotalAbsDiff = 2.023080e-08
        MaxRelDiff   = 3.134440e-14

Elapsed time         =      1e+02 (s)
Grind time (us/z/c)  =   2.490486 (per dom)  ( 99.778831 overall)
FOM                  =  137724.12 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 53785.145 MiB
[MEMUSAGE] Rank 0:	 156.781 MiB
[MEMUSAGE] Rank 1:	 156.762 MiB
[MEMUSAGE] Rank 2:	 156.559 MiB
[MEMUSAGE] Rank 3:	 156.664 MiB
[MEMUSAGE] Rank 4:	 156.973 MiB
[MEMUSAGE] Rank 5:	 156.398 MiB
[MEMUSAGE] Rank 6:	 158.207 MiB
[MEMUSAGE] Rank 7:	 156.633 MiB
[MEMUSAGE] Rank 8:	 158.922 MiB
[MEMUSAGE] Rank 9:	 156.992 MiB
[MEMUSAGE] Rank 10:	 156.754 MiB
[MEMUSAGE] Rank 11:	 154.832 MiB
[MEMUSAGE] Rank 12:	 158.816 MiB
[MEMUSAGE] Rank 13:	 156.492 MiB
[MEMUSAGE] Rank 14:	 156.453 MiB
[MEMUSAGE] Rank 15:	 156.461 MiB
[MEMUSAGE] Rank 16:	 156.707 MiB
[MEMUSAGE] Rank 17:	 156.715 MiB
[MEMUSAGE] Rank 18:	 156.625 MiB
[MEMUSAGE] Rank 19:	 156.539 MiB
[MEMUSAGE] Rank 20:	 156.418 MiB
[MEMUSAGE] Rank 21:	 156.551 MiB
[MEMUSAGE] Rank 22:	 156.738 MiB
[MEMUSAGE] Rank 23:	 156.516 MiB
[MEMUSAGE] Rank 24:	 156.629 MiB
[MEMUSAGE] Rank 25:	 156.754 MiB
[MEMUSAGE] Rank 26:	 156.441 MiB
[MEMUSAGE] Rank 27:	 156.434 MiB
[MEMUSAGE] Rank 28:	 156.383 MiB
[MEMUSAGE] Rank 29:	 156.426 MiB
[MEMUSAGE] Rank 30:	 158.539 MiB
[MEMUSAGE] Rank 31:	 156.488 MiB
[MEMUSAGE] Rank 32:	 156.918 MiB
[MEMUSAGE] Rank 33:	 156.680 MiB
[MEMUSAGE] Rank 34:	 156.434 MiB
[MEMUSAGE] Rank 35:	 156.355 MiB
[MEMUSAGE] Rank 36:	 156.695 MiB
[MEMUSAGE] Rank 37:	 156.609 MiB
[MEMUSAGE] Rank 38:	 156.512 MiB
[MEMUSAGE] Rank 39:	 158.578 MiB
[MEMUSAGE] Rank 40:	 156.586 MiB
[MEMUSAGE] Rank 41:	 158.430 MiB
[MEMUSAGE] Rank 42:	 156.801 MiB
[MEMUSAGE] Rank 43:	 158.438 MiB
[MEMUSAGE] Rank 44:	 156.480 MiB
[MEMUSAGE] Rank 45:	 156.512 MiB
[MEMUSAGE] Rank 46:	 156.402 MiB
[MEMUSAGE] Rank 47:	 156.527 MiB
[MEMUSAGE] Rank 48:	 156.496 MiB
[MEMUSAGE] Rank 49:	 158.520 MiB
[MEMUSAGE] Rank 50:	 156.707 MiB
[MEMUSAGE] Rank 51:	 156.590 MiB
[MEMUSAGE] Rank 52:	 156.785 MiB
[MEMUSAGE] Rank 53:	 156.430 MiB
[MEMUSAGE] Rank 54:	 158.508 MiB
