nodelist=n23m[0177-0179,0181-0186,0195-0198,0204-0206]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 729
# Total number of elements: 5832000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  729
   Iteration count     =  6499
   Final Origin Energy =  5.162211e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 3.288733e-09
        TotalAbsDiff = 4.116191e-08
        MaxRelDiff   = 3.075683e-14

Elapsed time         =    1.4e+02 (s)
Grind time (us/z/c)  =  2.7280688 (per dom)  ( 141.83775 overall)
FOM                  =     267222 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 117698.836 MiB
[MEMUSAGE] Rank 0:	 161.414 MiB
[MEMUSAGE] Rank 1:	 161.477 MiB
[MEMUSAGE] Rank 2:	 159.332 MiB
[MEMUSAGE] Rank 3:	 161.176 MiB
[MEMUSAGE] Rank 4:	 161.039 MiB
[MEMUSAGE] Rank 5:	 161.148 MiB
[MEMUSAGE] Rank 6:	 161.281 MiB
[MEMUSAGE] Rank 7:	 161.379 MiB
[MEMUSAGE] Rank 8:	 161.262 MiB
[MEMUSAGE] Rank 9:	 161.309 MiB
[MEMUSAGE] Rank 10:	 161.348 MiB
[MEMUSAGE] Rank 11:	 161.281 MiB
[MEMUSAGE] Rank 12:	 161.527 MiB
[MEMUSAGE] Rank 13:	 161.340 MiB
[MEMUSAGE] Rank 14:	 161.496 MiB
[MEMUSAGE] Rank 15:	 159.375 MiB
[MEMUSAGE] Rank 16:	 161.305 MiB
[MEMUSAGE] Rank 17:	 161.020 MiB
[MEMUSAGE] Rank 18:	 161.008 MiB
[MEMUSAGE] Rank 19:	 161.336 MiB
[MEMUSAGE] Rank 20:	 161.172 MiB
[MEMUSAGE] Rank 21:	 161.219 MiB
[MEMUSAGE] Rank 22:	 161.371 MiB
[MEMUSAGE] Rank 23:	 161.254 MiB
[MEMUSAGE] Rank 24:	 161.148 MiB
[MEMUSAGE] Rank 25:	 161.078 MiB
[MEMUSAGE] Rank 26:	 162.938 MiB
[MEMUSAGE] Rank 27:	 160.992 MiB
[MEMUSAGE] Rank 28:	 161.406 MiB
[MEMUSAGE] Rank 29:	 161.184 MiB
[MEMUSAGE] Rank 30:	 161.207 MiB
[MEMUSAGE] Rank 31:	 161.398 MiB
[MEMUSAGE] Rank 32:	 159.172 MiB
[MEMUSAGE] Rank 33:	 161.324 MiB
[MEMUSAGE] Rank 34:	 161.266 MiB
[MEMUSAGE] Rank 35:	 161.004 MiB
[MEMUSAGE] Rank 36:	 161.312 MiB
[MEMUSAGE] Rank 37:	 161.160 MiB
[MEMUSAGE] Rank 38:	 161.039 MiB
[MEMUSAGE] Rank 39:	 161.250 MiB
[MEMUSAGE] Rank 40:	 159.211 MiB
[MEMUSAGE] Rank 41:	 161.293 MiB
[MEMUSAGE] Rank 42:	 161.238 MiB
[MEMUSAGE] Rank 43:	 161.141 MiB
[MEMUSAGE] Rank 44:	 161.012 MiB
[MEMUSAGE] Rank 45:	 160.871 MiB
[MEMUSAGE] Rank 46:	 163.191 MiB
[MEMUSAGE] Rank 47:	 163.441 MiB
[MEMUSAGE] Rank 48:	 161.371 MiB
[MEMUSAGE] Rank 49:	 161.324 MiB
[MEMUSAGE] Rank 50:	 161.391 MiB
[MEMUSAGE] Rank 51:	 161.363 MiB
[MEMUSAGE] Rank 52:	 161.262 MiB
[MEMUSAGE] Rank 53:	 161.113 MiB
[MEMUSAGE] Rank 54:	 161.238 MiB
[MEMUSAGE] Rank 55:	 161.324 MiB
[MEMUSAGE] Rank 56:	 161.555 MiB
[MEMUSAGE] Rank 57:	 161.637 MiB
[MEMUSAGE] Rank 58:	 161.434 MiB
[MEMUSAGE] Rank 59:	 161.504 MiB
[MEMUSAGE] Rank 60:	 161.270 MiB
[MEMUSAGE] Rank 61:	 161.559 MiB
[MEMUSAGE] Rank 62:	 161.082 MiB
[MEMUSAGE] Rank 63:	 160.992 MiB
[MEMUSAGE] Rank 64:	 161.164 MiB
[MEMUSAGE] Rank 65:	 161.270 MiB
[MEMUSAGE] Rank 66:	 161.363 MiB
[MEMUSAGE] Rank 67:	 161.238 MiB
[MEMUSAGE] Rank 68:	 161.398 MiB
[MEMUSAGE] Rank 69:	 161.188 MiB
[MEMUSAGE] Rank 70:	 161.266 MiB
[MEMUSAGE] Rank 71:	 161.008 MiB
[MEMUSAGE] Rank 72:	 161.207 MiB
[MEMUSAGE] Rank 73:	 160.949 MiB
[MEMUSAGE] Rank 74:	 161.168 MiB
[MEMUSAGE] Rank 75:	 161.082 MiB
[MEMUSAGE] Rank 76:	 160.820 MiB
[MEMUSAGE] Rank 77:	 160.828 MiB
[MEMUSAGE] Rank 78:	 161.070 MiB
[MEMUSAGE] Rank 79:	 161.188 MiB
[MEMUSAGE] Rank 80:	 161.258 MiB
[MEMUSAGE] Rank 81:	 163.121 MiB
[MEMUSAGE] Rank 82:	 161.371 MiB
[MEMUSAGE] Rank 83:	 161.145 MiB
[MEMUSAGE] Rank 84:	 161.492 MiB
[MEMUSAGE] Rank 85:	 161.133 MiB
[MEMUSAGE] Rank 86:	 161.090 MiB
[MEMUSAGE] Rank 87:	 159.180 MiB
[MEMUSAGE] Rank 88:	 161.336 MiB
[MEMUSAGE] Rank 89:	 160.797 MiB
[MEMUSAGE] Rank 90:	 161.141 MiB
[MEMUSAGE] Rank 91:	 161.223 MiB
[MEMUSAGE] Rank 92:	 161.449 MiB
[MEMUSAGE] Rank 93:	 161.426 MiB
[MEMUSAGE] Rank 94:	 161.426 MiB
[MEMUSAGE] Rank 95:	 161.402 MiB
[MEMUSAGE] Rank 96:	 161.480 MiB
[MEMUSAGE] Rank 97:	 161.547 MiB
[MEMUSAGE] Rank 98:	 161.395 MiB
[MEMUSAGE] Rank 99:	 161.414 MiB
[MEMUSAGE] Rank 100:	 161.688 MiB
[MEMUSAGE] Rank 101:	 161.641 MiB
[MEMUSAGE] Rank 102:	 163.457 MiB
[MEMUSAGE] Rank 103:	 161.297 MiB
[MEMUSAGE] Rank 104:	 161.547 MiB
[MEMUSAGE] Rank 105:	 161.316 MiB
[MEMUSAGE] Rank 106:	 161.426 MiB
[MEMUSAGE] Rank 107:	 161.129 MiB
[MEMUSAGE] Rank 108:	 161.500 MiB
[MEMUSAGE] Rank 109:	 159.562 MiB
[MEMUSAGE] Rank 110:	 161.434 MiB
[MEMUSAGE] Rank 111:	 161.191 MiB
[MEMUSAGE] Rank 112:	 161.387 MiB
[MEMUSAGE] Rank 113:	 161.402 MiB
[MEMUSAGE] Rank 114:	 161.465 MiB
[MEMUSAGE] Rank 115:	 161.336 MiB
[MEMUSAGE] Rank 116:	 163.070 MiB
[MEMUSAGE] Rank 117:	 161.215 MiB
[MEMUSAGE] Rank 118:	 159.398 MiB
[MEMUSAGE] Rank 119:	 161.289 MiB
[MEMUSAGE] Rank 120:	 161.305 MiB
[MEMUSAGE] Rank 121:	 159.523 MiB
[MEMUSAGE] Rank 122:	 159.367 MiB
[MEMUSAGE] Rank 123:	 161.383 MiB
[MEMUSAGE] Rank 124:	 161.727 MiB
[MEMUSAGE] Rank 125:	 161.191 MiB
[MEMUSAGE] Rank 126:	 161.449 MiB
[MEMUSAGE] Rank 127:	 161.453 MiB
[MEMUSAGE] Rank 128:	 161.246 MiB
[MEMUSAGE] Rank 129:	 161.254 MiB
[MEMUSAGE] Rank 130:	 161.301 MiB
[MEMUSAGE] Rank 131:	 161.355 MiB
[MEMUSAGE] Rank 132:	 161.352 MiB
[MEMUSAGE] Rank 133:	 161.250 MiB
[MEMUSAGE] Rank 134:	 163.328 MiB
[MEMUSAGE] Rank 135:	 161.168 MiB
[MEMUSAGE] Rank 136:	 161.258 MiB
[MEMUSAGE] Rank 137:	 161.145 MiB
[MEMUSAGE] Rank 138:	 161.156 MiB
[MEMUSAGE] Rank 139:	 161.492 MiB
[MEMUSAGE] Rank 140:	 161.316 MiB
[MEMUSAGE] Rank 141:	 161.562 MiB
[MEMUSAGE] Rank 142:	 161.453 MiB
[MEMUSAGE] Rank 143:	 163.320 MiB
[MEMUSAGE] Rank 144:	 159.250 MiB
[MEMUSAGE] Rank 145:	 161.328 MiB
[MEMUSAGE] Rank 146:	 161.555 MiB
[MEMUSAGE] Rank 147:	 161.473 MiB
[MEMUSAGE] Rank 148:	 161.559 MiB
[MEMUSAGE] Rank 149:	 163.508 MiB
[MEMUSAGE] Rank 150:	 161.355 MiB
[MEMUSAGE] Rank 151:	 161.273 MiB
[MEMUSAGE] Rank 152:	 161.273 MiB
[MEMUSAGE] Rank 153:	 161.242 MiB
[MEMUSAGE] Rank 154:	 161.195 MiB
[MEMUSAGE] Rank 155:	 161.484 MiB
[MEMUSAGE] Rank 156:	 163.258 MiB
[MEMUSAGE] Rank 157:	 163.254 MiB
[MEMUSAGE] Rank 158:	 161.180 MiB
[MEMUSAGE] Rank 159:	 161.195 MiB
[MEMUSAGE] Rank 160:	 161.129 MiB
[MEMUSAGE] Rank 161:	 161.219 MiB
[MEMUSAGE] Rank 162:	 161.047 MiB
[MEMUSAGE] Rank 163:	 163.391 MiB
[MEMUSAGE] Rank 164:	 161.137 MiB
[MEMUSAGE] Rank 165:	 161.184 MiB
[MEMUSAGE] Rank 166:	 161.547 MiB
[MEMUSAGE] Rank 167:	 163.172 MiB
[MEMUSAGE] Rank 168:	 163.160 MiB
[MEMUSAGE] Rank 169:	 161.277 MiB
[MEMUSAGE] Rank 170:	 160.934 MiB
[MEMUSAGE] Rank 171:	 161.113 MiB
[MEMUSAGE] Rank 172:	 161.520 MiB
[MEMUSAGE] Rank 173:	 161.309 MiB
[MEMUSAGE] Rank 174:	 161.426 MiB
[MEMUSAGE] Rank 175:	 161.035 MiB
[MEMUSAGE] Rank 176:	 159.613 MiB
[MEMUSAGE] Rank 177:	 161.359 MiB
[MEMUSAGE] Rank 178:	 161.246 MiB
[MEMUSAGE] Rank 179:	 161.098 MiB
[MEMUSAGE] Rank 180:	 161.309 MiB
[MEMUSAGE] Rank 181:	 161.312 MiB
[MEMUSAGE] Rank 182:	 161.477 MiB
[MEMUSAGE] Rank 183:	 161.113 MiB
[MEMUSAGE] Rank 184:	 161.289 MiB
[MEMUSAGE] Rank 185:	 161.293 MiB
[MEMUSAGE] Rank 186:	 161.559 MiB
[MEMUSAGE] Rank 187:	 163.336 MiB
[MEMUSAGE] Rank 188:	 163.305 MiB
[MEMUSAGE] Rank 189:	 161.391 MiB
[MEMUSAGE] Rank 190:	 161.383 MiB
[MEMUSAGE] Rank 191:	 161.270 MiB
[MEMUSAGE] Rank 192:	 161.344 MiB
[MEMUSAGE] Rank 193:	 161.227 MiB
[MEMUSAGE] Rank 194:	 161.125 MiB
[MEMUSAGE] Rank 195:	 161.312 MiB
[MEMUSAGE] Rank 196:	 161.602 MiB
[MEMUSAGE] Rank 197:	 161.254 MiB
[MEMUSAGE] Rank 198:	 161.312 MiB
[MEMUSAGE] Rank 199:	 161.219 MiB
[MEMUSAGE] Rank 200:	 161.508 MiB
[MEMUSAGE] Rank 201:	 161.332 MiB
[MEMUSAGE] Rank 202:	 161.195 MiB
[MEMUSAGE] Rank 203:	 161.379 MiB
[MEMUSAGE] Rank 204:	 163.371 MiB
[MEMUSAGE] Rank 205:	 161.285 MiB
[MEMUSAGE] Rank 206:	 161.410 MiB
[MEMUSAGE] Rank 207:	 161.305 MiB
[MEMUSAGE] Rank 208:	 161.547 MiB
[MEMUSAGE] Rank 209:	 161.355 MiB
[MEMUSAGE] Rank 210:	 159.527 MiB
[MEMUSAGE] Rank 211:	 161.703 MiB
