PnMPI_result:
| jube_benchmark_id |          20 |          20 |          20 |          20 |          20 |          20 |          20 |
|        jube_wp_id |          39 |          40 |          41 |          42 |          43 |          44 |          45 |
|        RMA_target | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 |
|             tasks |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
|                   |             |             |             |             |             |             |             |
|             #Send |             |             |             |             |             |             |             |
|            #Isend |             |             |             |             |             |             |             |
|             #Recv |             |             |             |             |             |             |             |
|            #Irecv |             |             |             |             |             |             |             |
|         #Sendrecv |             |             |             |             |             |             |             |
|           #Reduce |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
|        #Allreduce |       54810 |      177472 |      439500 |      920808 |     1717401 |     2945024 |     4737042 |
|          #Scatter |             |             |             |             |             |             |             |
|          #Barrier |      164565 |      532736 |     1319125 |     2763504 |     5153918 |     8837632 |    14214771 |
|              #Put |             |             |             |             |             |             |             |
|              #Get |     1182358 |     4694544 |    13043108 |    29425480 |    57788820 |   102942812 |   170496664 |
|             #lock |             |             |             |             |             |             |             |
|           #unlock |             |             |             |             |             |             |             |
|         #lock_all |             |             |             |             |             |             |             |
|       #unlock_all |             |             |             |             |             |             |             |
|            #fence |      164592 |      532800 |     1319250 |     2763720 |     5154261 |     8838144 |    14215500 |
|            #flush |             |             |             |             |             |             |             |
|        #flush_all |             |             |             |             |             |             |             |
|       #Win_create |             |             |             |             |             |             |             |
|     #Win_allocate |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
|         #Win_free |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
