result:
| bench_id | wp_id |      must_branch | measurement | tasks | size | time_avg | time_std | verification |
|----------|-------|------------------|-------------|-------|------|----------|----------|--------------|
|       20 |     7 | feature/onesided |        base |    27 |   20 |   36.800 |    0.447 |      SUCCESS |
|       20 |    46 | feature/onesided |        must |    27 |   20 |  576.000 |    8.944 |      SUCCESS |
|       20 |     9 | feature/onesided |        base |    64 |   20 |   49.400 |    2.191 |      SUCCESS |
|       20 |    52 | feature/onesided |        must |    64 |   20 |  840.000 |   14.142 |      SUCCESS |
|       20 |    14 | feature/onesided |        base |   125 |   20 |   65.000 |    3.082 |      SUCCESS |
|       20 |    60 | feature/onesided |        must |   125 |   20 | 1200.000 |    0.000 |      SUCCESS |
|       20 |    22 | feature/onesided |        base |   216 |   20 |   86.000 |    2.345 |      SUCCESS |
|       20 |    61 | feature/onesided |        must |   216 |   20 | 1600.000 |    0.000 |      SUCCESS |
|       20 |    24 | feature/onesided |        base |   343 |   20 |  100.000 |    0.000 |      SUCCESS |
|       20 |    68 | feature/onesided |        must |   343 |   20 | 1900.000 |    0.000 |      SUCCESS |
|       20 |    30 | feature/onesided |        base |   512 |   20 |  122.000 |    4.472 |      SUCCESS |
|       20 |    71 | feature/onesided |        must |   512 |   20 | 2300.000 |    0.000 |      SUCCESS |
|       20 |    38 | feature/onesided |        base |   729 |   20 |  140.000 |    0.000 |      SUCCESS |
|       20 |    76 | feature/onesided |        must |   729 |   20 | 2700.000 |  122.474 |      SUCCESS |
