nodelist=n23m0150
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 48
Grid size              = 48000
Radius of stencil      = 1
Tiles in x/y-direction = 6/8
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 123910.700247  Avg time (s): 0.204517  Total time (s): 204.517350
[MEMUSAGE] Total Memory Consumption (max_rss): 38771.113 MiB
[MEMUSAGE] Rank 0:	 807.406 MiB
[MEMUSAGE] Rank 1:	 807.141 MiB
[MEMUSAGE] Rank 2:	 805.398 MiB
[MEMUSAGE] Rank 3:	 807.195 MiB
[MEMUSAGE] Rank 4:	 807.504 MiB
[MEMUSAGE] Rank 5:	 807.297 MiB
[MEMUSAGE] Rank 6:	 807.492 MiB
[MEMUSAGE] Rank 7:	 807.504 MiB
[MEMUSAGE] Rank 8:	 807.578 MiB
[MEMUSAGE] Rank 9:	 807.578 MiB
[MEMUSAGE] Rank 10:	 807.484 MiB
[MEMUSAGE] Rank 11:	 809.457 MiB
[MEMUSAGE] Rank 12:	 807.516 MiB
[MEMUSAGE] Rank 13:	 809.480 MiB
[MEMUSAGE] Rank 14:	 807.578 MiB
[MEMUSAGE] Rank 15:	 807.707 MiB
[MEMUSAGE] Rank 16:	 807.242 MiB
[MEMUSAGE] Rank 17:	 809.426 MiB
[MEMUSAGE] Rank 18:	 807.047 MiB
[MEMUSAGE] Rank 19:	 809.191 MiB
[MEMUSAGE] Rank 20:	 809.332 MiB
[MEMUSAGE] Rank 21:	 807.488 MiB
[MEMUSAGE] Rank 22:	 807.297 MiB
[MEMUSAGE] Rank 23:	 807.359 MiB
[MEMUSAGE] Rank 24:	 807.398 MiB
[MEMUSAGE] Rank 25:	 807.613 MiB
[MEMUSAGE] Rank 26:	 807.477 MiB
[MEMUSAGE] Rank 27:	 807.285 MiB
[MEMUSAGE] Rank 28:	 807.504 MiB
[MEMUSAGE] Rank 29:	 807.184 MiB
[MEMUSAGE] Rank 30:	 807.262 MiB
[MEMUSAGE] Rank 31:	 809.367 MiB
[MEMUSAGE] Rank 32:	 807.445 MiB
[MEMUSAGE] Rank 33:	 807.406 MiB
[MEMUSAGE] Rank 34:	 807.336 MiB
[MEMUSAGE] Rank 35:	 809.223 MiB
[MEMUSAGE] Rank 36:	 809.332 MiB
[MEMUSAGE] Rank 37:	 807.465 MiB
[MEMUSAGE] Rank 38:	 807.227 MiB
[MEMUSAGE] Rank 39:	 807.168 MiB
[MEMUSAGE] Rank 40:	 807.199 MiB
[MEMUSAGE] Rank 41:	 807.199 MiB
[MEMUSAGE] Rank 42:	 807.266 MiB
[MEMUSAGE] Rank 43:	 806.996 MiB
[MEMUSAGE] Rank 44:	 809.414 MiB
[MEMUSAGE] Rank 45:	 809.281 MiB
[MEMUSAGE] Rank 46:	 807.273 MiB
[MEMUSAGE] Rank 47:	 807.094 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
