nodelist=r23m[0149-0150,0152-0153]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 414557.323686  Avg time (s): 0.244530  Total time (s): 244.530178
[MEMUSAGE] Total Memory Consumption (max_rss): 167284.852 MiB
[MEMUSAGE] Rank 0:	 870.762 MiB
[MEMUSAGE] Rank 1:	 870.957 MiB
[MEMUSAGE] Rank 2:	 873.016 MiB
[MEMUSAGE] Rank 3:	 870.879 MiB
[MEMUSAGE] Rank 4:	 871.164 MiB
[MEMUSAGE] Rank 5:	 871.027 MiB
[MEMUSAGE] Rank 6:	 871.039 MiB
[MEMUSAGE] Rank 7:	 871.152 MiB
[MEMUSAGE] Rank 8:	 871.102 MiB
[MEMUSAGE] Rank 9:	 871.051 MiB
[MEMUSAGE] Rank 10:	 871.156 MiB
[MEMUSAGE] Rank 11:	 873.004 MiB
[MEMUSAGE] Rank 12:	 869.191 MiB
[MEMUSAGE] Rank 13:	 871.094 MiB
[MEMUSAGE] Rank 14:	 871.305 MiB
[MEMUSAGE] Rank 15:	 871.098 MiB
[MEMUSAGE] Rank 16:	 871.117 MiB
[MEMUSAGE] Rank 17:	 871.203 MiB
[MEMUSAGE] Rank 18:	 871.176 MiB
[MEMUSAGE] Rank 19:	 871.230 MiB
[MEMUSAGE] Rank 20:	 871.273 MiB
[MEMUSAGE] Rank 21:	 871.191 MiB
[MEMUSAGE] Rank 22:	 871.082 MiB
[MEMUSAGE] Rank 23:	 871.184 MiB
[MEMUSAGE] Rank 24:	 871.164 MiB
[MEMUSAGE] Rank 25:	 871.250 MiB
[MEMUSAGE] Rank 26:	 873.234 MiB
[MEMUSAGE] Rank 27:	 873.230 MiB
[MEMUSAGE] Rank 28:	 871.262 MiB
[MEMUSAGE] Rank 29:	 871.340 MiB
[MEMUSAGE] Rank 30:	 871.191 MiB
[MEMUSAGE] Rank 31:	 871.250 MiB
[MEMUSAGE] Rank 32:	 871.293 MiB
[MEMUSAGE] Rank 33:	 871.078 MiB
[MEMUSAGE] Rank 34:	 871.020 MiB
[MEMUSAGE] Rank 35:	 871.121 MiB
[MEMUSAGE] Rank 36:	 871.051 MiB
[MEMUSAGE] Rank 37:	 870.871 MiB
[MEMUSAGE] Rank 38:	 870.863 MiB
[MEMUSAGE] Rank 39:	 870.910 MiB
[MEMUSAGE] Rank 40:	 873.129 MiB
[MEMUSAGE] Rank 41:	 870.887 MiB
[MEMUSAGE] Rank 42:	 871.078 MiB
[MEMUSAGE] Rank 43:	 871.062 MiB
[MEMUSAGE] Rank 44:	 870.996 MiB
[MEMUSAGE] Rank 45:	 871.082 MiB
[MEMUSAGE] Rank 46:	 870.969 MiB
[MEMUSAGE] Rank 47:	 871.039 MiB
[MEMUSAGE] Rank 48:	 871.062 MiB
[MEMUSAGE] Rank 49:	 868.965 MiB
[MEMUSAGE] Rank 50:	 871.129 MiB
[MEMUSAGE] Rank 51:	 870.988 MiB
[MEMUSAGE] Rank 52:	 871.465 MiB
[MEMUSAGE] Rank 53:	 870.957 MiB
[MEMUSAGE] Rank 54:	 871.219 MiB
[MEMUSAGE] Rank 55:	 871.051 MiB
[MEMUSAGE] Rank 56:	 871.070 MiB
[MEMUSAGE] Rank 57:	 871.191 MiB
[MEMUSAGE] Rank 58:	 871.086 MiB
[MEMUSAGE] Rank 59:	 873.145 MiB
[MEMUSAGE] Rank 60:	 870.973 MiB
[MEMUSAGE] Rank 61:	 872.992 MiB
[MEMUSAGE] Rank 62:	 871.082 MiB
[MEMUSAGE] Rank 63:	 871.270 MiB
[MEMUSAGE] Rank 64:	 871.191 MiB
[MEMUSAGE] Rank 65:	 871.078 MiB
[MEMUSAGE] Rank 66:	 871.223 MiB
[MEMUSAGE] Rank 67:	 870.934 MiB
[MEMUSAGE] Rank 68:	 873.328 MiB
[MEMUSAGE] Rank 69:	 873.102 MiB
[MEMUSAGE] Rank 70:	 871.238 MiB
[MEMUSAGE] Rank 71:	 871.043 MiB
[MEMUSAGE] Rank 72:	 871.242 MiB
[MEMUSAGE] Rank 73:	 871.188 MiB
[MEMUSAGE] Rank 74:	 871.238 MiB
[MEMUSAGE] Rank 75:	 871.156 MiB
[MEMUSAGE] Rank 76:	 871.102 MiB
[MEMUSAGE] Rank 77:	 871.031 MiB
[MEMUSAGE] Rank 78:	 871.199 MiB
[MEMUSAGE] Rank 79:	 871.254 MiB
[MEMUSAGE] Rank 80:	 873.195 MiB
[MEMUSAGE] Rank 81:	 871.125 MiB
[MEMUSAGE] Rank 82:	 873.125 MiB
[MEMUSAGE] Rank 83:	 871.043 MiB
[MEMUSAGE] Rank 84:	 870.797 MiB
[MEMUSAGE] Rank 85:	 870.965 MiB
[MEMUSAGE] Rank 86:	 871.035 MiB
[MEMUSAGE] Rank 87:	 871.004 MiB
[MEMUSAGE] Rank 88:	 870.852 MiB
[MEMUSAGE] Rank 89:	 871.125 MiB
[MEMUSAGE] Rank 90:	 871.129 MiB
[MEMUSAGE] Rank 91:	 870.949 MiB
[MEMUSAGE] Rank 92:	 871.086 MiB
[MEMUSAGE] Rank 93:	 873.074 MiB
[MEMUSAGE] Rank 94:	 870.906 MiB
[MEMUSAGE] Rank 95:	 870.832 MiB
[MEMUSAGE] Rank 96:	 870.879 MiB
[MEMUSAGE] Rank 97:	 873.137 MiB
[MEMUSAGE] Rank 98:	 869.051 MiB
[MEMUSAGE] Rank 99:	 871.039 MiB
[MEMUSAGE] Rank 100:	 869.004 MiB
[MEMUSAGE] Rank 101:	 873.035 MiB
[MEMUSAGE] Rank 102:	 872.977 MiB
[MEMUSAGE] Rank 103:	 872.875 MiB
[MEMUSAGE] Rank 104:	 871.320 MiB
[MEMUSAGE] Rank 105:	 870.984 MiB
[MEMUSAGE] Rank 106:	 871.109 MiB
[MEMUSAGE] Rank 107:	 871.078 MiB
[MEMUSAGE] Rank 108:	 871.180 MiB
[MEMUSAGE] Rank 109:	 873.215 MiB
[MEMUSAGE] Rank 110:	 873.199 MiB
[MEMUSAGE] Rank 111:	 869.184 MiB
[MEMUSAGE] Rank 112:	 871.172 MiB
[MEMUSAGE] Rank 113:	 868.957 MiB
[MEMUSAGE] Rank 114:	 871.055 MiB
[MEMUSAGE] Rank 115:	 871.023 MiB
[MEMUSAGE] Rank 116:	 871.207 MiB
[MEMUSAGE] Rank 117:	 871.066 MiB
[MEMUSAGE] Rank 118:	 871.199 MiB
[MEMUSAGE] Rank 119:	 870.930 MiB
[MEMUSAGE] Rank 120:	 871.137 MiB
[MEMUSAGE] Rank 121:	 871.090 MiB
[MEMUSAGE] Rank 122:	 871.109 MiB
[MEMUSAGE] Rank 123:	 871.184 MiB
[MEMUSAGE] Rank 124:	 871.281 MiB
[MEMUSAGE] Rank 125:	 873.227 MiB
[MEMUSAGE] Rank 126:	 871.012 MiB
[MEMUSAGE] Rank 127:	 873.102 MiB
[MEMUSAGE] Rank 128:	 872.801 MiB
[MEMUSAGE] Rank 129:	 872.902 MiB
[MEMUSAGE] Rank 130:	 871.168 MiB
[MEMUSAGE] Rank 131:	 870.797 MiB
[MEMUSAGE] Rank 132:	 870.840 MiB
[MEMUSAGE] Rank 133:	 870.824 MiB
[MEMUSAGE] Rank 134:	 870.988 MiB
[MEMUSAGE] Rank 135:	 870.840 MiB
[MEMUSAGE] Rank 136:	 873.008 MiB
[MEMUSAGE] Rank 137:	 870.695 MiB
[MEMUSAGE] Rank 138:	 869.023 MiB
[MEMUSAGE] Rank 139:	 868.844 MiB
[MEMUSAGE] Rank 140:	 871.121 MiB
[MEMUSAGE] Rank 141:	 870.801 MiB
[MEMUSAGE] Rank 142:	 871.008 MiB
[MEMUSAGE] Rank 143:	 872.863 MiB
[MEMUSAGE] Rank 144:	 871.066 MiB
[MEMUSAGE] Rank 145:	 871.004 MiB
[MEMUSAGE] Rank 146:	 871.180 MiB
[MEMUSAGE] Rank 147:	 870.953 MiB
[MEMUSAGE] Rank 148:	 871.066 MiB
[MEMUSAGE] Rank 149:	 871.062 MiB
[MEMUSAGE] Rank 150:	 871.340 MiB
[MEMUSAGE] Rank 151:	 871.133 MiB
[MEMUSAGE] Rank 152:	 871.410 MiB
[MEMUSAGE] Rank 153:	 871.191 MiB
[MEMUSAGE] Rank 154:	 871.129 MiB
[MEMUSAGE] Rank 155:	 871.105 MiB
[MEMUSAGE] Rank 156:	 871.113 MiB
[MEMUSAGE] Rank 157:	 871.402 MiB
[MEMUSAGE] Rank 158:	 871.250 MiB
[MEMUSAGE] Rank 159:	 871.383 MiB
[MEMUSAGE] Rank 160:	 871.254 MiB
[MEMUSAGE] Rank 161:	 871.199 MiB
[MEMUSAGE] Rank 162:	 871.234 MiB
[MEMUSAGE] Rank 163:	 871.355 MiB
[MEMUSAGE] Rank 164:	 871.449 MiB
[MEMUSAGE] Rank 165:	 871.258 MiB
[MEMUSAGE] Rank 166:	 871.309 MiB
[MEMUSAGE] Rank 167:	 871.137 MiB
[MEMUSAGE] Rank 168:	 871.090 MiB
[MEMUSAGE] Rank 169:	 871.195 MiB
[MEMUSAGE] Rank 170:	 871.285 MiB
[MEMUSAGE] Rank 171:	 871.211 MiB
[MEMUSAGE] Rank 172:	 871.277 MiB
[MEMUSAGE] Rank 173:	 871.090 MiB
[MEMUSAGE] Rank 174:	 873.195 MiB
[MEMUSAGE] Rank 175:	 873.242 MiB
[MEMUSAGE] Rank 176:	 869.176 MiB
[MEMUSAGE] Rank 177:	 870.977 MiB
[MEMUSAGE] Rank 178:	 871.062 MiB
[MEMUSAGE] Rank 179:	 871.066 MiB
[MEMUSAGE] Rank 180:	 868.965 MiB
[MEMUSAGE] Rank 181:	 870.887 MiB
[MEMUSAGE] Rank 182:	 871.086 MiB
[MEMUSAGE] Rank 183:	 870.926 MiB
[MEMUSAGE] Rank 184:	 870.910 MiB
[MEMUSAGE] Rank 185:	 872.867 MiB
[MEMUSAGE] Rank 186:	 870.910 MiB
[MEMUSAGE] Rank 187:	 870.961 MiB
[MEMUSAGE] Rank 188:	 870.953 MiB
[MEMUSAGE] Rank 189:	 870.980 MiB
[MEMUSAGE] Rank 190:	 872.945 MiB
[MEMUSAGE] Rank 191:	 870.812 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
