nodelist=r23m[0068-0075]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 827516.816750  Avg time (s): 0.245007  Total time (s): 245.007122
[MEMUSAGE] Total Memory Consumption (max_rss): 335415.113 MiB
[MEMUSAGE] Rank 0:	 873.375 MiB
[MEMUSAGE] Rank 1:	 873.402 MiB
[MEMUSAGE] Rank 2:	 873.484 MiB
[MEMUSAGE] Rank 3:	 873.305 MiB
[MEMUSAGE] Rank 4:	 873.375 MiB
[MEMUSAGE] Rank 5:	 873.402 MiB
[MEMUSAGE] Rank 6:	 873.270 MiB
[MEMUSAGE] Rank 7:	 873.281 MiB
[MEMUSAGE] Rank 8:	 873.504 MiB
[MEMUSAGE] Rank 9:	 873.398 MiB
[MEMUSAGE] Rank 10:	 871.379 MiB
[MEMUSAGE] Rank 11:	 873.219 MiB
[MEMUSAGE] Rank 12:	 873.383 MiB
[MEMUSAGE] Rank 13:	 873.332 MiB
[MEMUSAGE] Rank 14:	 873.379 MiB
[MEMUSAGE] Rank 15:	 873.309 MiB
[MEMUSAGE] Rank 16:	 873.406 MiB
[MEMUSAGE] Rank 17:	 873.402 MiB
[MEMUSAGE] Rank 18:	 873.656 MiB
[MEMUSAGE] Rank 19:	 873.551 MiB
[MEMUSAGE] Rank 20:	 873.566 MiB
[MEMUSAGE] Rank 21:	 873.484 MiB
[MEMUSAGE] Rank 22:	 873.422 MiB
[MEMUSAGE] Rank 23:	 875.148 MiB
[MEMUSAGE] Rank 24:	 871.180 MiB
[MEMUSAGE] Rank 25:	 873.180 MiB
[MEMUSAGE] Rank 26:	 873.258 MiB
[MEMUSAGE] Rank 27:	 873.395 MiB
[MEMUSAGE] Rank 28:	 873.543 MiB
[MEMUSAGE] Rank 29:	 873.336 MiB
[MEMUSAGE] Rank 30:	 873.469 MiB
[MEMUSAGE] Rank 31:	 873.434 MiB
[MEMUSAGE] Rank 32:	 873.262 MiB
[MEMUSAGE] Rank 33:	 873.387 MiB
[MEMUSAGE] Rank 34:	 873.219 MiB
[MEMUSAGE] Rank 35:	 871.301 MiB
[MEMUSAGE] Rank 36:	 873.496 MiB
[MEMUSAGE] Rank 37:	 873.461 MiB
[MEMUSAGE] Rank 38:	 871.371 MiB
[MEMUSAGE] Rank 39:	 872.988 MiB
[MEMUSAGE] Rank 40:	 873.414 MiB
[MEMUSAGE] Rank 41:	 873.219 MiB
[MEMUSAGE] Rank 42:	 873.258 MiB
[MEMUSAGE] Rank 43:	 873.219 MiB
[MEMUSAGE] Rank 44:	 871.355 MiB
[MEMUSAGE] Rank 45:	 873.133 MiB
[MEMUSAGE] Rank 46:	 873.344 MiB
[MEMUSAGE] Rank 47:	 873.285 MiB
[MEMUSAGE] Rank 48:	 873.660 MiB
[MEMUSAGE] Rank 49:	 873.301 MiB
[MEMUSAGE] Rank 50:	 873.340 MiB
[MEMUSAGE] Rank 51:	 873.328 MiB
[MEMUSAGE] Rank 52:	 873.406 MiB
[MEMUSAGE] Rank 53:	 873.379 MiB
[MEMUSAGE] Rank 54:	 873.363 MiB
[MEMUSAGE] Rank 55:	 873.379 MiB
[MEMUSAGE] Rank 56:	 873.465 MiB
[MEMUSAGE] Rank 57:	 873.285 MiB
[MEMUSAGE] Rank 58:	 873.656 MiB
[MEMUSAGE] Rank 59:	 873.312 MiB
[MEMUSAGE] Rank 60:	 873.355 MiB
[MEMUSAGE] Rank 61:	 873.473 MiB
[MEMUSAGE] Rank 62:	 873.379 MiB
[MEMUSAGE] Rank 63:	 873.312 MiB
[MEMUSAGE] Rank 64:	 873.602 MiB
[MEMUSAGE] Rank 65:	 873.586 MiB
[MEMUSAGE] Rank 66:	 873.512 MiB
[MEMUSAGE] Rank 67:	 873.465 MiB
[MEMUSAGE] Rank 68:	 873.582 MiB
[MEMUSAGE] Rank 69:	 873.078 MiB
[MEMUSAGE] Rank 70:	 873.410 MiB
[MEMUSAGE] Rank 71:	 873.164 MiB
[MEMUSAGE] Rank 72:	 875.309 MiB
[MEMUSAGE] Rank 73:	 873.250 MiB
[MEMUSAGE] Rank 74:	 873.434 MiB
[MEMUSAGE] Rank 75:	 873.395 MiB
[MEMUSAGE] Rank 76:	 873.402 MiB
[MEMUSAGE] Rank 77:	 873.137 MiB
[MEMUSAGE] Rank 78:	 873.363 MiB
[MEMUSAGE] Rank 79:	 873.148 MiB
[MEMUSAGE] Rank 80:	 873.465 MiB
[MEMUSAGE] Rank 81:	 873.355 MiB
[MEMUSAGE] Rank 82:	 873.457 MiB
[MEMUSAGE] Rank 83:	 873.219 MiB
[MEMUSAGE] Rank 84:	 873.457 MiB
[MEMUSAGE] Rank 85:	 873.203 MiB
[MEMUSAGE] Rank 86:	 873.039 MiB
[MEMUSAGE] Rank 87:	 875.324 MiB
[MEMUSAGE] Rank 88:	 873.168 MiB
[MEMUSAGE] Rank 89:	 873.340 MiB
[MEMUSAGE] Rank 90:	 873.422 MiB
[MEMUSAGE] Rank 91:	 875.035 MiB
[MEMUSAGE] Rank 92:	 873.203 MiB
[MEMUSAGE] Rank 93:	 873.270 MiB
[MEMUSAGE] Rank 94:	 873.262 MiB
[MEMUSAGE] Rank 95:	 873.172 MiB
[MEMUSAGE] Rank 96:	 873.305 MiB
[MEMUSAGE] Rank 97:	 873.305 MiB
[MEMUSAGE] Rank 98:	 873.484 MiB
[MEMUSAGE] Rank 99:	 875.316 MiB
[MEMUSAGE] Rank 100:	 873.398 MiB
[MEMUSAGE] Rank 101:	 873.309 MiB
[MEMUSAGE] Rank 102:	 873.355 MiB
[MEMUSAGE] Rank 103:	 873.293 MiB
[MEMUSAGE] Rank 104:	 873.262 MiB
[MEMUSAGE] Rank 105:	 873.145 MiB
[MEMUSAGE] Rank 106:	 873.324 MiB
[MEMUSAGE] Rank 107:	 873.234 MiB
[MEMUSAGE] Rank 108:	 875.328 MiB
[MEMUSAGE] Rank 109:	 873.395 MiB
[MEMUSAGE] Rank 110:	 871.262 MiB
[MEMUSAGE] Rank 111:	 873.406 MiB
[MEMUSAGE] Rank 112:	 873.508 MiB
[MEMUSAGE] Rank 113:	 875.418 MiB
[MEMUSAGE] Rank 114:	 875.465 MiB
[MEMUSAGE] Rank 115:	 873.453 MiB
[MEMUSAGE] Rank 116:	 875.535 MiB
[MEMUSAGE] Rank 117:	 873.258 MiB
[MEMUSAGE] Rank 118:	 875.523 MiB
[MEMUSAGE] Rank 119:	 873.223 MiB
[MEMUSAGE] Rank 120:	 873.457 MiB
[MEMUSAGE] Rank 121:	 873.246 MiB
[MEMUSAGE] Rank 122:	 873.461 MiB
[MEMUSAGE] Rank 123:	 873.344 MiB
[MEMUSAGE] Rank 124:	 873.375 MiB
[MEMUSAGE] Rank 125:	 873.285 MiB
[MEMUSAGE] Rank 126:	 873.508 MiB
[MEMUSAGE] Rank 127:	 873.137 MiB
[MEMUSAGE] Rank 128:	 873.277 MiB
[MEMUSAGE] Rank 129:	 873.219 MiB
[MEMUSAGE] Rank 130:	 873.426 MiB
[MEMUSAGE] Rank 131:	 873.242 MiB
[MEMUSAGE] Rank 132:	 873.359 MiB
[MEMUSAGE] Rank 133:	 875.188 MiB
[MEMUSAGE] Rank 134:	 873.379 MiB
[MEMUSAGE] Rank 135:	 873.234 MiB
[MEMUSAGE] Rank 136:	 873.484 MiB
[MEMUSAGE] Rank 137:	 873.105 MiB
[MEMUSAGE] Rank 138:	 873.191 MiB
[MEMUSAGE] Rank 139:	 873.090 MiB
[MEMUSAGE] Rank 140:	 873.230 MiB
[MEMUSAGE] Rank 141:	 873.176 MiB
[MEMUSAGE] Rank 142:	 873.246 MiB
[MEMUSAGE] Rank 143:	 875.176 MiB
[MEMUSAGE] Rank 144:	 873.441 MiB
[MEMUSAGE] Rank 145:	 873.340 MiB
[MEMUSAGE] Rank 146:	 873.566 MiB
[MEMUSAGE] Rank 147:	 871.359 MiB
[MEMUSAGE] Rank 148:	 873.316 MiB
[MEMUSAGE] Rank 149:	 873.371 MiB
[MEMUSAGE] Rank 150:	 873.500 MiB
[MEMUSAGE] Rank 151:	 873.242 MiB
[MEMUSAGE] Rank 152:	 873.379 MiB
[MEMUSAGE] Rank 153:	 871.379 MiB
[MEMUSAGE] Rank 154:	 871.422 MiB
[MEMUSAGE] Rank 155:	 875.105 MiB
[MEMUSAGE] Rank 156:	 873.406 MiB
[MEMUSAGE] Rank 157:	 873.430 MiB
[MEMUSAGE] Rank 158:	 871.387 MiB
[MEMUSAGE] Rank 159:	 872.930 MiB
[MEMUSAGE] Rank 160:	 873.438 MiB
[MEMUSAGE] Rank 161:	 873.742 MiB
[MEMUSAGE] Rank 162:	 873.477 MiB
[MEMUSAGE] Rank 163:	 873.465 MiB
[MEMUSAGE] Rank 164:	 873.316 MiB
[MEMUSAGE] Rank 165:	 873.348 MiB
[MEMUSAGE] Rank 166:	 873.391 MiB
[MEMUSAGE] Rank 167:	 873.203 MiB
[MEMUSAGE] Rank 168:	 873.395 MiB
[MEMUSAGE] Rank 169:	 873.512 MiB
[MEMUSAGE] Rank 170:	 875.418 MiB
[MEMUSAGE] Rank 171:	 875.301 MiB
[MEMUSAGE] Rank 172:	 873.633 MiB
[MEMUSAGE] Rank 173:	 873.352 MiB
[MEMUSAGE] Rank 174:	 873.605 MiB
[MEMUSAGE] Rank 175:	 873.305 MiB
[MEMUSAGE] Rank 176:	 875.402 MiB
[MEMUSAGE] Rank 177:	 873.297 MiB
[MEMUSAGE] Rank 178:	 873.527 MiB
[MEMUSAGE] Rank 179:	 873.398 MiB
[MEMUSAGE] Rank 180:	 873.387 MiB
[MEMUSAGE] Rank 181:	 873.215 MiB
[MEMUSAGE] Rank 182:	 873.270 MiB
[MEMUSAGE] Rank 183:	 871.340 MiB
[MEMUSAGE] Rank 184:	 873.438 MiB
[MEMUSAGE] Rank 185:	 873.320 MiB
[MEMUSAGE] Rank 186:	 873.402 MiB
[MEMUSAGE] Rank 187:	 873.172 MiB
[MEMUSAGE] Rank 188:	 871.273 MiB
[MEMUSAGE] Rank 189:	 873.441 MiB
[MEMUSAGE] Rank 190:	 873.266 MiB
[MEMUSAGE] Rank 191:	 873.352 MiB
[MEMUSAGE] Rank 192:	 875.457 MiB
[MEMUSAGE] Rank 193:	 875.500 MiB
[MEMUSAGE] Rank 194:	 873.605 MiB
[MEMUSAGE] Rank 195:	 873.160 MiB
[MEMUSAGE] Rank 196:	 873.469 MiB
[MEMUSAGE] Rank 197:	 873.199 MiB
[MEMUSAGE] Rank 198:	 873.453 MiB
[MEMUSAGE] Rank 199:	 873.191 MiB
[MEMUSAGE] Rank 200:	 873.531 MiB
[MEMUSAGE] Rank 201:	 873.336 MiB
[MEMUSAGE] Rank 202:	 873.441 MiB
[MEMUSAGE] Rank 203:	 873.426 MiB
[MEMUSAGE] Rank 204:	 873.332 MiB
[MEMUSAGE] Rank 205:	 873.297 MiB
[MEMUSAGE] Rank 206:	 873.492 MiB
[MEMUSAGE] Rank 207:	 873.387 MiB
[MEMUSAGE] Rank 208:	 873.566 MiB
