nodelist=n23m[0059-0063,0204-0214]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1653272.878003  Avg time (s): 0.245268  Total time (s): 245.268375
[MEMUSAGE] Total Memory Consumption (max_rss): 674368.375 MiB
[MEMUSAGE] Rank 0:	 877.973 MiB
[MEMUSAGE] Rank 1:	 879.879 MiB
[MEMUSAGE] Rank 2:	 879.832 MiB
[MEMUSAGE] Rank 3:	 877.945 MiB
[MEMUSAGE] Rank 4:	 879.980 MiB
[MEMUSAGE] Rank 5:	 878.023 MiB
[MEMUSAGE] Rank 6:	 877.984 MiB
[MEMUSAGE] Rank 7:	 877.969 MiB
[MEMUSAGE] Rank 8:	 879.855 MiB
[MEMUSAGE] Rank 9:	 881.711 MiB
[MEMUSAGE] Rank 10:	 877.922 MiB
[MEMUSAGE] Rank 11:	 877.949 MiB
[MEMUSAGE] Rank 12:	 877.703 MiB
[MEMUSAGE] Rank 13:	 877.836 MiB
[MEMUSAGE] Rank 14:	 878.172 MiB
[MEMUSAGE] Rank 15:	 877.871 MiB
[MEMUSAGE] Rank 16:	 877.871 MiB
[MEMUSAGE] Rank 17:	 879.871 MiB
[MEMUSAGE] Rank 18:	 877.848 MiB
[MEMUSAGE] Rank 19:	 878.074 MiB
[MEMUSAGE] Rank 20:	 877.785 MiB
[MEMUSAGE] Rank 21:	 879.523 MiB
[MEMUSAGE] Rank 22:	 877.902 MiB
[MEMUSAGE] Rank 23:	 877.684 MiB
[MEMUSAGE] Rank 24:	 877.883 MiB
[MEMUSAGE] Rank 25:	 878.082 MiB
[MEMUSAGE] Rank 26:	 876.105 MiB
[MEMUSAGE] Rank 27:	 877.977 MiB
[MEMUSAGE] Rank 28:	 877.918 MiB
[MEMUSAGE] Rank 29:	 877.914 MiB
[MEMUSAGE] Rank 30:	 878.121 MiB
[MEMUSAGE] Rank 31:	 877.812 MiB
[MEMUSAGE] Rank 32:	 877.992 MiB
[MEMUSAGE] Rank 33:	 878.047 MiB
[MEMUSAGE] Rank 34:	 877.977 MiB
[MEMUSAGE] Rank 35:	 877.793 MiB
[MEMUSAGE] Rank 36:	 879.926 MiB
[MEMUSAGE] Rank 37:	 875.672 MiB
[MEMUSAGE] Rank 38:	 877.828 MiB
[MEMUSAGE] Rank 39:	 877.668 MiB
[MEMUSAGE] Rank 40:	 878.027 MiB
[MEMUSAGE] Rank 41:	 877.777 MiB
[MEMUSAGE] Rank 42:	 877.996 MiB
[MEMUSAGE] Rank 43:	 878.023 MiB
[MEMUSAGE] Rank 44:	 877.867 MiB
[MEMUSAGE] Rank 45:	 879.852 MiB
[MEMUSAGE] Rank 46:	 877.855 MiB
[MEMUSAGE] Rank 47:	 877.926 MiB
[MEMUSAGE] Rank 48:	 877.887 MiB
[MEMUSAGE] Rank 49:	 878.082 MiB
[MEMUSAGE] Rank 50:	 878.105 MiB
[MEMUSAGE] Rank 51:	 877.828 MiB
[MEMUSAGE] Rank 52:	 878.234 MiB
[MEMUSAGE] Rank 53:	 875.977 MiB
[MEMUSAGE] Rank 54:	 876.133 MiB
[MEMUSAGE] Rank 55:	 877.840 MiB
[MEMUSAGE] Rank 56:	 880.078 MiB
[MEMUSAGE] Rank 57:	 877.891 MiB
[MEMUSAGE] Rank 58:	 877.988 MiB
[MEMUSAGE] Rank 59:	 877.898 MiB
[MEMUSAGE] Rank 60:	 878.098 MiB
[MEMUSAGE] Rank 61:	 877.934 MiB
[MEMUSAGE] Rank 62:	 877.980 MiB
[MEMUSAGE] Rank 63:	 879.934 MiB
[MEMUSAGE] Rank 64:	 878.059 MiB
