nodelist=r23m[0210-0213]
[MUST] MUST configuration ... centralized checks with fall-back application crash handling (very slow)
[MUST] Using prebuilt infrastructure at /home/ss540294/.cache/must/prebuilds/92d58bdee39116cfafb401fa88d652eb
[MUST] Weaver ... success
[MUST] Generating P^nMPI configuration ... success
[MUST] Infrastructure in "/home/ss540294/.cache/must/prebuilds/92d58bdee39116cfafb401fa88d652eb" is present and used.
[MUST] Search for linked P^nMPI ... not found ... using LD_PRELOAD to load P^nMPI ... success
[MUST] Note: MPI RMA support requires the application to be built with Clang >= 15.Executing application:
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 372382.599310  Avg time (s): 0.272225  Total time (s): 272.224793
[GTI] Total Memory Consumption Layer 1 (max_rss): 190181.078 MiB
[GTI] Rank 0, Layer 1:	985.914 MiB 
[GTI] Rank 1, Layer 1:	987.344 MiB 
[GTI] Rank 2, Layer 1:	986.938 MiB 
[GTI] Rank 3, Layer 1:	988.598 MiB 
[GTI] Rank 4, Layer 1:	987.559 MiB 
[GTI] Rank 5, Layer 1:	988.363 MiB 
[GTI] Rank 6, Layer 1:	989.684 MiB 
[GTI] Rank 7, Layer 1:	991.457 MiB 
[GTI] Rank 8, Layer 1:	988.676 MiB 
[GTI] Rank 9, Layer 1:	988.445 MiB 
[GTI] Rank 10, Layer 1:	990.941 MiB 
[GTI] Rank 11, Layer 1:	989.082 MiB 
[GTI] Rank 12, Layer 1:	990.465 MiB 
[GTI] Rank 13, Layer 1:	990.887 MiB 
[GTI] Rank 14, Layer 1:	988.371 MiB 
[GTI] Rank 15, Layer 1:	989.695 MiB 
[GTI] Rank 16, Layer 1:	989.875 MiB 
[GTI] Rank 17, Layer 1:	991.086 MiB 
[GTI] Rank 18, Layer 1:	993.285 MiB 
[GTI] Rank 19, Layer 1:	991.176 MiB 
[GTI] Rank 20, Layer 1:	991.309 MiB 
[GTI] Rank 21, Layer 1:	990.402 MiB 
[GTI] Rank 22, Layer 1:	990.523 MiB 
[GTI] Rank 23, Layer 1:	989.188 MiB 
[GTI] Rank 24, Layer 1:	990.398 MiB 
[GTI] Rank 25, Layer 1:	990.523 MiB 
[GTI] Rank 26, Layer 1:	991.289 MiB 
[GTI] Rank 27, Layer 1:	991.449 MiB 
[GTI] Rank 28, Layer 1:	993.168 MiB 
[GTI] Rank 29, Layer 1:	990.352 MiB 
[GTI] Rank 30, Layer 1:	991.477 MiB 
[GTI] Rank 31, Layer 1:	991.531 MiB 
[GTI] Rank 32, Layer 1:	992.754 MiB 
[GTI] Rank 33, Layer 1:	990.914 MiB 
[GTI] Rank 34, Layer 1:	990.660 MiB 
[GTI] Rank 35, Layer 1:	988.875 MiB 
[GTI] Rank 36, Layer 1:	987.082 MiB 
[GTI] Rank 37, Layer 1:	990.375 MiB 
[GTI] Rank 38, Layer 1:	989.234 MiB 
[GTI] Rank 39, Layer 1:	989.820 MiB 
[GTI] Rank 40, Layer 1:	991.531 MiB 
[GTI] Rank 41, Layer 1:	990.508 MiB 
[GTI] Rank 42, Layer 1:	991.008 MiB 
[GTI] Rank 43, Layer 1:	990.234 MiB 
[GTI] Rank 44, Layer 1:	990.789 MiB 
[GTI] Rank 45, Layer 1:	990.012 MiB 
[GTI] Rank 46, Layer 1:	991.207 MiB 
[GTI] Rank 47, Layer 1:	989.035 MiB 
[GTI] Rank 48, Layer 1:	991.164 MiB 
[GTI] Rank 49, Layer 1:	989.855 MiB 
[GTI] Rank 50, Layer 1:	988.391 MiB 
[GTI] Rank 51, Layer 1:	989.867 MiB 
[GTI] Rank 52, Layer 1:	993.445 MiB 
[GTI] Rank 53, Layer 1:	992.938 MiB 
[GTI] Rank 54, Layer 1:	992.969 MiB 
[GTI] Rank 55, Layer 1:	988.363 MiB 
[GTI] Rank 56, Layer 1:	991.441 MiB 
[GTI] Rank 57, Layer 1:	990.012 MiB 
[GTI] Rank 58, Layer 1:	990.887 MiB 
[GTI] Rank 59, Layer 1:	989.324 MiB 
[GTI] Rank 60, Layer 1:	987.781 MiB 
[GTI] Rank 61, Layer 1:	991.434 MiB 
[GTI] Rank 62, Layer 1:	991.551 MiB 
[GTI] Rank 63, Layer 1:	990.902 MiB 
[GTI] Rank 64, Layer 1:	995.207 MiB 
[GTI] Rank 65, Layer 1:	990.754 MiB 
[GTI] Rank 66, Layer 1:	990.832 MiB 
[GTI] Rank 67, Layer 1:	990.867 MiB 
[GTI] Rank 68, Layer 1:	989.637 MiB 
[GTI] Rank 69, Layer 1:	992.641 MiB 
[GTI] Rank 70, Layer 1:	988.520 MiB 
[GTI] Rank 71, Layer 1:	986.582 MiB 
[GTI] Rank 72, Layer 1:	991.809 MiB 
[GTI] Rank 73, Layer 1:	988.949 MiB 
