nodelist=r23m[0218-0220]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 125
# Total number of elements: 1000000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  125
   Iteration count     =  3517
   Final Origin Energy =  1.791828e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 1.135049e-09
        TotalAbsDiff = 1.028366e-08
        MaxRelDiff   = 2.474559e-14

Elapsed time         =         65 (s)
Grind time (us/z/c)  =  2.3176435 (per dom)  ( 65.209216 overall)
FOM                  =  53934.094 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 19084.812 MiB
[MEMUSAGE] Rank 0:	 144.422 MiB
[MEMUSAGE] Rank 1:	 144.207 MiB
[MEMUSAGE] Rank 2:	 144.352 MiB
[MEMUSAGE] Rank 3:	 144.559 MiB
[MEMUSAGE] Rank 4:	 144.102 MiB
[MEMUSAGE] Rank 5:	 144.371 MiB
[MEMUSAGE] Rank 6:	 144.551 MiB
[MEMUSAGE] Rank 7:	 144.414 MiB
[MEMUSAGE] Rank 8:	 144.410 MiB
[MEMUSAGE] Rank 9:	 144.348 MiB
[MEMUSAGE] Rank 10:	 144.523 MiB
[MEMUSAGE] Rank 11:	 154.598 MiB
[MEMUSAGE] Rank 12:	 154.441 MiB
[MEMUSAGE] Rank 13:	 154.539 MiB
[MEMUSAGE] Rank 14:	 154.453 MiB
[MEMUSAGE] Rank 15:	 154.406 MiB
[MEMUSAGE] Rank 16:	 154.480 MiB
[MEMUSAGE] Rank 17:	 154.438 MiB
[MEMUSAGE] Rank 18:	 154.473 MiB
[MEMUSAGE] Rank 19:	 154.312 MiB
[MEMUSAGE] Rank 20:	 154.301 MiB
[MEMUSAGE] Rank 21:	 154.246 MiB
[MEMUSAGE] Rank 22:	 154.387 MiB
[MEMUSAGE] Rank 23:	 154.254 MiB
[MEMUSAGE] Rank 24:	 154.324 MiB
[MEMUSAGE] Rank 25:	 154.191 MiB
[MEMUSAGE] Rank 26:	 154.262 MiB
[MEMUSAGE] Rank 27:	 154.340 MiB
[MEMUSAGE] Rank 28:	 154.426 MiB
[MEMUSAGE] Rank 29:	 154.145 MiB
[MEMUSAGE] Rank 30:	 154.176 MiB
[MEMUSAGE] Rank 31:	 154.395 MiB
[MEMUSAGE] Rank 32:	 154.391 MiB
[MEMUSAGE] Rank 33:	 154.434 MiB
[MEMUSAGE] Rank 34:	 154.281 MiB
[MEMUSAGE] Rank 35:	 154.344 MiB
[MEMUSAGE] Rank 36:	 154.398 MiB
[MEMUSAGE] Rank 37:	 154.488 MiB
[MEMUSAGE] Rank 38:	 154.410 MiB
[MEMUSAGE] Rank 39:	 154.168 MiB
[MEMUSAGE] Rank 40:	 154.207 MiB
[MEMUSAGE] Rank 41:	 154.352 MiB
[MEMUSAGE] Rank 42:	 154.477 MiB
[MEMUSAGE] Rank 43:	 154.352 MiB
[MEMUSAGE] Rank 44:	 154.176 MiB
[MEMUSAGE] Rank 45:	 153.785 MiB
[MEMUSAGE] Rank 46:	 154.094 MiB
[MEMUSAGE] Rank 47:	 154.426 MiB
[MEMUSAGE] Rank 48:	 154.223 MiB
[MEMUSAGE] Rank 49:	 154.223 MiB
[MEMUSAGE] Rank 50:	 154.348 MiB
[MEMUSAGE] Rank 51:	 154.402 MiB
[MEMUSAGE] Rank 52:	 154.242 MiB
[MEMUSAGE] Rank 53:	 154.051 MiB
[MEMUSAGE] Rank 54:	 154.051 MiB
[MEMUSAGE] Rank 55:	 154.195 MiB
[MEMUSAGE] Rank 56:	 154.340 MiB
[MEMUSAGE] Rank 57:	 154.477 MiB
[MEMUSAGE] Rank 58:	 154.324 MiB
[MEMUSAGE] Rank 59:	 154.113 MiB
[MEMUSAGE] Rank 60:	 154.207 MiB
[MEMUSAGE] Rank 61:	 154.223 MiB
[MEMUSAGE] Rank 62:	 154.285 MiB
[MEMUSAGE] Rank 63:	 154.273 MiB
[MEMUSAGE] Rank 64:	 154.066 MiB
[MEMUSAGE] Rank 65:	 154.262 MiB
[MEMUSAGE] Rank 66:	 154.250 MiB
[MEMUSAGE] Rank 67:	 154.219 MiB
[MEMUSAGE] Rank 68:	 156.234 MiB
[MEMUSAGE] Rank 69:	 154.035 MiB
[MEMUSAGE] Rank 70:	 155.863 MiB
[MEMUSAGE] Rank 71:	 154.246 MiB
[MEMUSAGE] Rank 72:	 156.031 MiB
[MEMUSAGE] Rank 73:	 154.293 MiB
[MEMUSAGE] Rank 74:	 154.148 MiB
[MEMUSAGE] Rank 75:	 156.258 MiB
[MEMUSAGE] Rank 76:	 156.141 MiB
[MEMUSAGE] Rank 77:	 154.281 MiB
[MEMUSAGE] Rank 78:	 154.098 MiB
[MEMUSAGE] Rank 79:	 154.004 MiB
[MEMUSAGE] Rank 80:	 154.148 MiB
[MEMUSAGE] Rank 81:	 154.285 MiB
[MEMUSAGE] Rank 82:	 154.223 MiB
[MEMUSAGE] Rank 83:	 154.031 MiB
[MEMUSAGE] Rank 84:	 154.395 MiB
[MEMUSAGE] Rank 85:	 154.363 MiB
[MEMUSAGE] Rank 86:	 154.449 MiB
[MEMUSAGE] Rank 87:	 154.355 MiB
[MEMUSAGE] Rank 88:	 154.445 MiB
[MEMUSAGE] Rank 89:	 154.281 MiB
[MEMUSAGE] Rank 90:	 154.191 MiB
[MEMUSAGE] Rank 91:	 154.270 MiB
[MEMUSAGE] Rank 92:	 154.410 MiB
[MEMUSAGE] Rank 93:	 154.281 MiB
[MEMUSAGE] Rank 94:	 154.051 MiB
[MEMUSAGE] Rank 95:	 154.000 MiB
[MEMUSAGE] Rank 96:	 155.984 MiB
[MEMUSAGE] Rank 97:	 154.141 MiB
[MEMUSAGE] Rank 98:	 154.117 MiB
[MEMUSAGE] Rank 99:	 154.062 MiB
[MEMUSAGE] Rank 100:	 154.195 MiB
[MEMUSAGE] Rank 101:	 156.082 MiB
[MEMUSAGE] Rank 102:	 154.039 MiB
[MEMUSAGE] Rank 103:	 154.184 MiB
[MEMUSAGE] Rank 104:	 155.945 MiB
[MEMUSAGE] Rank 105:	 154.098 MiB
[MEMUSAGE] Rank 106:	 154.164 MiB
[MEMUSAGE] Rank 107:	 154.117 MiB
[MEMUSAGE] Rank 108:	 154.363 MiB
[MEMUSAGE] Rank 109:	 154.121 MiB
[MEMUSAGE] Rank 110:	 154.090 MiB
[MEMUSAGE] Rank 111:	 154.137 MiB
[MEMUSAGE] Rank 112:	 154.059 MiB
[MEMUSAGE] Rank 113:	 154.219 MiB
[MEMUSAGE] Rank 114:	 154.164 MiB
[MEMUSAGE] Rank 115:	 144.156 MiB
[MEMUSAGE] Rank 116:	 144.168 MiB
[MEMUSAGE] Rank 117:	 144.270 MiB
[MEMUSAGE] Rank 118:	 142.250 MiB
[MEMUSAGE] Rank 119:	 144.172 MiB
[MEMUSAGE] Rank 120:	 144.078 MiB
[MEMUSAGE] Rank 121:	 144.211 MiB
[MEMUSAGE] Rank 122:	 144.070 MiB
[MEMUSAGE] Rank 123:	 144.102 MiB
[MEMUSAGE] Rank 124:	 143.844 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
