nodelist=r23m[0133-0145,0147-0149]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 729
# Total number of elements: 5832000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  729
   Iteration count     =  6499
   Final Origin Energy =  5.162211e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 3.288733e-09
        TotalAbsDiff = 4.116191e-08
        MaxRelDiff   = 3.075683e-14

Elapsed time         =    1.3e+02 (s)
Grind time (us/z/c)  =  2.5882779 (per dom)  ( 134.56975 overall)
FOM                  =  281654.45 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 117702.930 MiB
[MEMUSAGE] Rank 0:	 159.285 MiB
[MEMUSAGE] Rank 1:	 161.066 MiB
[MEMUSAGE] Rank 2:	 165.312 MiB
[MEMUSAGE] Rank 3:	 161.133 MiB
[MEMUSAGE] Rank 4:	 161.211 MiB
[MEMUSAGE] Rank 5:	 163.258 MiB
[MEMUSAGE] Rank 6:	 161.418 MiB
[MEMUSAGE] Rank 7:	 163.090 MiB
[MEMUSAGE] Rank 8:	 163.242 MiB
[MEMUSAGE] Rank 9:	 161.242 MiB
[MEMUSAGE] Rank 10:	 163.688 MiB
[MEMUSAGE] Rank 11:	 161.547 MiB
[MEMUSAGE] Rank 12:	 161.445 MiB
[MEMUSAGE] Rank 13:	 161.289 MiB
[MEMUSAGE] Rank 14:	 161.699 MiB
[MEMUSAGE] Rank 15:	 161.609 MiB
[MEMUSAGE] Rank 16:	 159.660 MiB
[MEMUSAGE] Rank 17:	 161.199 MiB
[MEMUSAGE] Rank 18:	 161.473 MiB
[MEMUSAGE] Rank 19:	 161.520 MiB
[MEMUSAGE] Rank 20:	 161.590 MiB
[MEMUSAGE] Rank 21:	 161.438 MiB
