bench_id;wp_id;compile;measurement;tasks;CLASS;time_avg;time_std;verification
27;35;base;base;49;D;337.86;0.40379450219491664;SUCCESSFUL
27;61;tsan-opt;must;49;D;783.868;2.1338509788521183;SUCCESSFUL
27;40;base;base;100;D;165.622;0.17725687576683555;SUCCESSFUL
27;66;tsan-opt;must;100;D;461.14799999999997;1.2869809633663403;SUCCESSFUL
27;46;base;base;196;D;83.28;0.14370107863334597;SUCCESSFUL
27;70;tsan-opt;must;196;D;310.964;1.6871366275496507;SUCCESSFUL
27;51;base;base;225;D;75.31200000000001;0.5192976025334121;SUCCESSFUL
27;75;tsan-opt;must;225;D;286.07;0.5929586832225809;SUCCESSFUL
27;56;base;base;361;D;48.410000000000004;0.3322649545160792;SUCCESSFUL
27;80;tsan-opt;must;361;D;217.76400000000004;2.6147045722195443;SUCCESSFUL
