result:
| bench_id | wp_id |      must_branch | measurement | tasks | CLASS | SOLVER | EXCHG | time_avg | time_std | verification |
|----------|-------|------------------|-------------|-------|-------|--------|-------|----------|----------|--------------|
|      144 |     8 | feature/onesided |        base |    49 |     D |  FENCE | FENCE |  310.334 |    0.157 |   SUCCESSFUL |
|      144 |    34 | feature/onesided |        must |    49 |     D |  FENCE | FENCE | 2069.074 |    7.378 |   SUCCESSFUL |
|      144 |     9 | feature/onesided |        base |   100 |     D |  FENCE | FENCE |  150.344 |   10.632 |   SUCCESSFUL |
|      144 |    41 | feature/onesided |        must |   100 |     D |  FENCE | FENCE | 1182.248 |    1.371 |   SUCCESSFUL |
|      144 |    15 | feature/onesided |        base |   196 |     D |  FENCE | FENCE |   74.410 |    1.432 |   SUCCESSFUL |
|      144 |    47 | feature/onesided |        must |   196 |     D |  FENCE | FENCE |  753.816 |    4.923 |   SUCCESSFUL |
|      144 |    21 | feature/onesided |        base |   225 |     D |  FENCE | FENCE |   65.100 |    0.148 |   SUCCESSFUL |
|      144 |    49 | feature/onesided |        must |   225 |     D |  FENCE | FENCE |  757.904 |    3.098 |   SUCCESSFUL |
|      144 |    28 | feature/onesided |        base |   361 |     D |  FENCE | FENCE |   43.458 |    1.016 |   SUCCESSFUL |
|      144 |    54 | feature/onesided |        must |   361 |     D |  FENCE | FENCE |  650.764 |   10.789 |   SUCCESSFUL |
|      144 |    29 | feature/onesided |        base |   729 |     D |  FENCE | FENCE |   23.664 |    0.177 |   SUCCESSFUL |
|      144 |    60 | feature/onesided |        must |   729 |     D |  FENCE | FENCE |  815.880 |   17.446 |   SUCCESSFUL |
