nodelist=n23m0248
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 48
Grid size              = 48000
Radius of stencil      = 1
Tiles in x/y-direction = 6/8
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 103499.641933  Avg time (s): 0.244850  Total time (s): 97.940003
[MEMUSAGE] Total Memory Consumption (max_rss): 38774.641 MiB
[MEMUSAGE] Rank 0:	 807.625 MiB
[MEMUSAGE] Rank 1:	 809.402 MiB
[MEMUSAGE] Rank 2:	 807.406 MiB
[MEMUSAGE] Rank 3:	 807.387 MiB
[MEMUSAGE] Rank 4:	 807.469 MiB
[MEMUSAGE] Rank 5:	 809.262 MiB
[MEMUSAGE] Rank 6:	 807.289 MiB
[MEMUSAGE] Rank 7:	 809.457 MiB
[MEMUSAGE] Rank 8:	 807.633 MiB
[MEMUSAGE] Rank 9:	 809.562 MiB
[MEMUSAGE] Rank 10:	 807.578 MiB
[MEMUSAGE] Rank 11:	 807.699 MiB
[MEMUSAGE] Rank 12:	 807.730 MiB
[MEMUSAGE] Rank 13:	 807.809 MiB
[MEMUSAGE] Rank 14:	 809.422 MiB
[MEMUSAGE] Rank 15:	 807.828 MiB
[MEMUSAGE] Rank 16:	 809.578 MiB
[MEMUSAGE] Rank 17:	 807.461 MiB
[MEMUSAGE] Rank 18:	 807.398 MiB
[MEMUSAGE] Rank 19:	 809.418 MiB
[MEMUSAGE] Rank 20:	 809.301 MiB
[MEMUSAGE] Rank 21:	 807.309 MiB
[MEMUSAGE] Rank 22:	 807.387 MiB
[MEMUSAGE] Rank 23:	 807.363 MiB
[MEMUSAGE] Rank 24:	 807.438 MiB
[MEMUSAGE] Rank 25:	 807.590 MiB
[MEMUSAGE] Rank 26:	 807.633 MiB
[MEMUSAGE] Rank 27:	 809.418 MiB
[MEMUSAGE] Rank 28:	 807.262 MiB
[MEMUSAGE] Rank 29:	 807.500 MiB
[MEMUSAGE] Rank 30:	 807.434 MiB
[MEMUSAGE] Rank 31:	 807.230 MiB
[MEMUSAGE] Rank 32:	 807.500 MiB
[MEMUSAGE] Rank 33:	 807.316 MiB
[MEMUSAGE] Rank 34:	 807.312 MiB
[MEMUSAGE] Rank 35:	 807.301 MiB
[MEMUSAGE] Rank 36:	 807.520 MiB
[MEMUSAGE] Rank 37:	 807.512 MiB
[MEMUSAGE] Rank 38:	 807.309 MiB
[MEMUSAGE] Rank 39:	 807.410 MiB
[MEMUSAGE] Rank 40:	 807.457 MiB
[MEMUSAGE] Rank 41:	 807.277 MiB
[MEMUSAGE] Rank 42:	 805.203 MiB
[MEMUSAGE] Rank 43:	 807.285 MiB
[MEMUSAGE] Rank 44:	 807.137 MiB
[MEMUSAGE] Rank 45:	 807.211 MiB
[MEMUSAGE] Rank 46:	 809.203 MiB
[MEMUSAGE] Rank 47:	 807.410 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
