nodelist=n23m[0211-0214]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 413506.834694  Avg time (s): 0.245151  Total time (s): 98.060557
[MEMUSAGE] Total Memory Consumption (max_rss): 167268.699 MiB
[MEMUSAGE] Rank 0:	 871.234 MiB
[MEMUSAGE] Rank 1:	 871.094 MiB
[MEMUSAGE] Rank 2:	 870.910 MiB
[MEMUSAGE] Rank 3:	 871.031 MiB
[MEMUSAGE] Rank 4:	 871.156 MiB
[MEMUSAGE] Rank 5:	 871.113 MiB
[MEMUSAGE] Rank 6:	 871.242 MiB
[MEMUSAGE] Rank 7:	 871.066 MiB
[MEMUSAGE] Rank 8:	 873.000 MiB
[MEMUSAGE] Rank 9:	 870.941 MiB
[MEMUSAGE] Rank 10:	 871.316 MiB
[MEMUSAGE] Rank 11:	 870.977 MiB
[MEMUSAGE] Rank 12:	 873.336 MiB
[MEMUSAGE] Rank 13:	 871.188 MiB
[MEMUSAGE] Rank 14:	 870.992 MiB
[MEMUSAGE] Rank 15:	 871.238 MiB
[MEMUSAGE] Rank 16:	 871.410 MiB
[MEMUSAGE] Rank 17:	 871.273 MiB
[MEMUSAGE] Rank 18:	 871.121 MiB
[MEMUSAGE] Rank 19:	 871.406 MiB
[MEMUSAGE] Rank 20:	 873.273 MiB
[MEMUSAGE] Rank 21:	 869.395 MiB
[MEMUSAGE] Rank 22:	 871.207 MiB
[MEMUSAGE] Rank 23:	 871.289 MiB
[MEMUSAGE] Rank 24:	 873.000 MiB
[MEMUSAGE] Rank 25:	 871.020 MiB
[MEMUSAGE] Rank 26:	 871.199 MiB
[MEMUSAGE] Rank 27:	 871.406 MiB
[MEMUSAGE] Rank 28:	 871.078 MiB
[MEMUSAGE] Rank 29:	 870.863 MiB
[MEMUSAGE] Rank 30:	 871.371 MiB
[MEMUSAGE] Rank 31:	 869.137 MiB
[MEMUSAGE] Rank 32:	 871.137 MiB
[MEMUSAGE] Rank 33:	 871.184 MiB
[MEMUSAGE] Rank 34:	 871.223 MiB
[MEMUSAGE] Rank 35:	 871.148 MiB
[MEMUSAGE] Rank 36:	 870.949 MiB
[MEMUSAGE] Rank 37:	 872.820 MiB
[MEMUSAGE] Rank 38:	 871.035 MiB
[MEMUSAGE] Rank 39:	 871.066 MiB
[MEMUSAGE] Rank 40:	 871.258 MiB
[MEMUSAGE] Rank 41:	 871.285 MiB
[MEMUSAGE] Rank 42:	 871.012 MiB
[MEMUSAGE] Rank 43:	 871.277 MiB
[MEMUSAGE] Rank 44:	 873.020 MiB
[MEMUSAGE] Rank 45:	 870.934 MiB
[MEMUSAGE] Rank 46:	 868.961 MiB
[MEMUSAGE] Rank 47:	 870.977 MiB
[MEMUSAGE] Rank 48:	 873.043 MiB
[MEMUSAGE] Rank 49:	 871.102 MiB
[MEMUSAGE] Rank 50:	 871.223 MiB
[MEMUSAGE] Rank 51:	 870.855 MiB
[MEMUSAGE] Rank 52:	 871.102 MiB
[MEMUSAGE] Rank 53:	 873.062 MiB
[MEMUSAGE] Rank 54:	 871.094 MiB
[MEMUSAGE] Rank 55:	 871.289 MiB
[MEMUSAGE] Rank 56:	 871.164 MiB
[MEMUSAGE] Rank 57:	 871.219 MiB
[MEMUSAGE] Rank 58:	 869.004 MiB
[MEMUSAGE] Rank 59:	 871.172 MiB
[MEMUSAGE] Rank 60:	 871.094 MiB
[MEMUSAGE] Rank 61:	 871.027 MiB
[MEMUSAGE] Rank 62:	 871.180 MiB
[MEMUSAGE] Rank 63:	 871.312 MiB
[MEMUSAGE] Rank 64:	 873.051 MiB
[MEMUSAGE] Rank 65:	 873.043 MiB
[MEMUSAGE] Rank 66:	 873.418 MiB
[MEMUSAGE] Rank 67:	 871.121 MiB
[MEMUSAGE] Rank 68:	 871.145 MiB
[MEMUSAGE] Rank 69:	 871.090 MiB
[MEMUSAGE] Rank 70:	 871.125 MiB
[MEMUSAGE] Rank 71:	 871.152 MiB
[MEMUSAGE] Rank 72:	 871.078 MiB
[MEMUSAGE] Rank 73:	 871.141 MiB
[MEMUSAGE] Rank 74:	 871.039 MiB
[MEMUSAGE] Rank 75:	 871.137 MiB
[MEMUSAGE] Rank 76:	 873.145 MiB
[MEMUSAGE] Rank 77:	 873.059 MiB
[MEMUSAGE] Rank 78:	 871.305 MiB
[MEMUSAGE] Rank 79:	 871.051 MiB
[MEMUSAGE] Rank 80:	 873.000 MiB
[MEMUSAGE] Rank 81:	 871.070 MiB
[MEMUSAGE] Rank 82:	 870.980 MiB
[MEMUSAGE] Rank 83:	 871.023 MiB
[MEMUSAGE] Rank 84:	 871.098 MiB
[MEMUSAGE] Rank 85:	 871.031 MiB
[MEMUSAGE] Rank 86:	 869.289 MiB
[MEMUSAGE] Rank 87:	 871.164 MiB
[MEMUSAGE] Rank 88:	 871.043 MiB
[MEMUSAGE] Rank 89:	 870.992 MiB
[MEMUSAGE] Rank 90:	 872.863 MiB
[MEMUSAGE] Rank 91:	 870.848 MiB
[MEMUSAGE] Rank 92:	 870.848 MiB
[MEMUSAGE] Rank 93:	 871.004 MiB
[MEMUSAGE] Rank 94:	 871.168 MiB
[MEMUSAGE] Rank 95:	 871.039 MiB
[MEMUSAGE] Rank 96:	 871.141 MiB
[MEMUSAGE] Rank 97:	 870.840 MiB
[MEMUSAGE] Rank 98:	 871.301 MiB
[MEMUSAGE] Rank 99:	 871.039 MiB
[MEMUSAGE] Rank 100:	 871.195 MiB
[MEMUSAGE] Rank 101:	 871.383 MiB
[MEMUSAGE] Rank 102:	 871.059 MiB
[MEMUSAGE] Rank 103:	 871.336 MiB
[MEMUSAGE] Rank 104:	 870.965 MiB
[MEMUSAGE] Rank 105:	 871.211 MiB
[MEMUSAGE] Rank 106:	 871.004 MiB
[MEMUSAGE] Rank 107:	 871.078 MiB
[MEMUSAGE] Rank 108:	 871.238 MiB
[MEMUSAGE] Rank 109:	 868.910 MiB
[MEMUSAGE] Rank 110:	 871.430 MiB
[MEMUSAGE] Rank 111:	 869.215 MiB
[MEMUSAGE] Rank 112:	 871.441 MiB
[MEMUSAGE] Rank 113:	 869.020 MiB
[MEMUSAGE] Rank 114:	 871.449 MiB
[MEMUSAGE] Rank 115:	 869.266 MiB
[MEMUSAGE] Rank 116:	 873.418 MiB
[MEMUSAGE] Rank 117:	 869.035 MiB
[MEMUSAGE] Rank 118:	 871.094 MiB
[MEMUSAGE] Rank 119:	 869.141 MiB
[MEMUSAGE] Rank 120:	 870.977 MiB
[MEMUSAGE] Rank 121:	 872.902 MiB
[MEMUSAGE] Rank 122:	 871.250 MiB
[MEMUSAGE] Rank 123:	 871.102 MiB
[MEMUSAGE] Rank 124:	 870.965 MiB
[MEMUSAGE] Rank 125:	 872.961 MiB
[MEMUSAGE] Rank 126:	 871.387 MiB
[MEMUSAGE] Rank 127:	 870.969 MiB
[MEMUSAGE] Rank 128:	 871.211 MiB
[MEMUSAGE] Rank 129:	 869.016 MiB
[MEMUSAGE] Rank 130:	 871.340 MiB
[MEMUSAGE] Rank 131:	 871.180 MiB
[MEMUSAGE] Rank 132:	 871.035 MiB
[MEMUSAGE] Rank 133:	 869.098 MiB
[MEMUSAGE] Rank 134:	 870.977 MiB
[MEMUSAGE] Rank 135:	 871.027 MiB
[MEMUSAGE] Rank 136:	 871.203 MiB
[MEMUSAGE] Rank 137:	 870.969 MiB
[MEMUSAGE] Rank 138:	 871.094 MiB
[MEMUSAGE] Rank 139:	 870.855 MiB
[MEMUSAGE] Rank 140:	 869.289 MiB
[MEMUSAGE] Rank 141:	 871.156 MiB
[MEMUSAGE] Rank 142:	 872.828 MiB
[MEMUSAGE] Rank 143:	 870.883 MiB
[MEMUSAGE] Rank 144:	 871.168 MiB
[MEMUSAGE] Rank 145:	 871.102 MiB
[MEMUSAGE] Rank 146:	 871.129 MiB
[MEMUSAGE] Rank 147:	 871.129 MiB
[MEMUSAGE] Rank 148:	 871.348 MiB
[MEMUSAGE] Rank 149:	 871.078 MiB
[MEMUSAGE] Rank 150:	 873.055 MiB
[MEMUSAGE] Rank 151:	 870.973 MiB
[MEMUSAGE] Rank 152:	 871.070 MiB
[MEMUSAGE] Rank 153:	 873.027 MiB
[MEMUSAGE] Rank 154:	 871.012 MiB
[MEMUSAGE] Rank 155:	 871.211 MiB
[MEMUSAGE] Rank 156:	 869.137 MiB
[MEMUSAGE] Rank 157:	 871.141 MiB
[MEMUSAGE] Rank 158:	 870.859 MiB
[MEMUSAGE] Rank 159:	 871.141 MiB
[MEMUSAGE] Rank 160:	 871.168 MiB
[MEMUSAGE] Rank 161:	 871.016 MiB
[MEMUSAGE] Rank 162:	 871.055 MiB
[MEMUSAGE] Rank 163:	 871.273 MiB
[MEMUSAGE] Rank 164:	 871.086 MiB
[MEMUSAGE] Rank 165:	 871.234 MiB
[MEMUSAGE] Rank 166:	 870.934 MiB
[MEMUSAGE] Rank 167:	 871.035 MiB
[MEMUSAGE] Rank 168:	 870.996 MiB
[MEMUSAGE] Rank 169:	 871.055 MiB
[MEMUSAGE] Rank 170:	 871.031 MiB
[MEMUSAGE] Rank 171:	 873.074 MiB
[MEMUSAGE] Rank 172:	 871.211 MiB
[MEMUSAGE] Rank 173:	 871.070 MiB
[MEMUSAGE] Rank 174:	 871.242 MiB
[MEMUSAGE] Rank 175:	 871.211 MiB
[MEMUSAGE] Rank 176:	 871.254 MiB
[MEMUSAGE] Rank 177:	 870.965 MiB
[MEMUSAGE] Rank 178:	 871.070 MiB
[MEMUSAGE] Rank 179:	 871.148 MiB
[MEMUSAGE] Rank 180:	 871.152 MiB
[MEMUSAGE] Rank 181:	 870.867 MiB
[MEMUSAGE] Rank 182:	 871.199 MiB
[MEMUSAGE] Rank 183:	 872.855 MiB
[MEMUSAGE] Rank 184:	 869.188 MiB
[MEMUSAGE] Rank 185:	 870.750 MiB
[MEMUSAGE] Rank 186:	 871.297 MiB
[MEMUSAGE] Rank 187:	 870.922 MiB
[MEMUSAGE] Rank 188:	 871.262 MiB
[MEMUSAGE] Rank 189:	 872.738 MiB
[MEMUSAGE] Rank 190:	 870.828 MiB
[MEMUSAGE] Rank 191:	 870.984 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
