nodelist=n23m[0173-0179,0181]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 826416.167511  Avg time (s): 0.245333  Total time (s): 98.133372
[MEMUSAGE] Total Memory Consumption (max_rss): 335428.672 MiB
[MEMUSAGE] Rank 0:	 873.293 MiB
[MEMUSAGE] Rank 1:	 873.328 MiB
[MEMUSAGE] Rank 2:	 873.555 MiB
[MEMUSAGE] Rank 3:	 873.559 MiB
[MEMUSAGE] Rank 4:	 873.340 MiB
[MEMUSAGE] Rank 5:	 873.324 MiB
[MEMUSAGE] Rank 6:	 871.363 MiB
[MEMUSAGE] Rank 7:	 873.176 MiB
[MEMUSAGE] Rank 8:	 873.535 MiB
[MEMUSAGE] Rank 9:	 873.227 MiB
[MEMUSAGE] Rank 10:	 873.539 MiB
[MEMUSAGE] Rank 11:	 873.289 MiB
[MEMUSAGE] Rank 12:	 873.617 MiB
[MEMUSAGE] Rank 13:	 873.145 MiB
[MEMUSAGE] Rank 14:	 873.336 MiB
[MEMUSAGE] Rank 15:	 873.230 MiB
[MEMUSAGE] Rank 16:	 873.535 MiB
[MEMUSAGE] Rank 17:	 873.289 MiB
[MEMUSAGE] Rank 18:	 873.625 MiB
[MEMUSAGE] Rank 19:	 873.723 MiB
[MEMUSAGE] Rank 20:	 873.594 MiB
[MEMUSAGE] Rank 21:	 873.445 MiB
[MEMUSAGE] Rank 22:	 873.508 MiB
[MEMUSAGE] Rank 23:	 873.477 MiB
[MEMUSAGE] Rank 24:	 875.559 MiB
[MEMUSAGE] Rank 25:	 873.367 MiB
[MEMUSAGE] Rank 26:	 873.719 MiB
[MEMUSAGE] Rank 27:	 873.469 MiB
[MEMUSAGE] Rank 28:	 875.301 MiB
[MEMUSAGE] Rank 29:	 873.426 MiB
[MEMUSAGE] Rank 30:	 873.379 MiB
[MEMUSAGE] Rank 31:	 873.395 MiB
[MEMUSAGE] Rank 32:	 873.430 MiB
[MEMUSAGE] Rank 33:	 875.539 MiB
[MEMUSAGE] Rank 34:	 871.363 MiB
[MEMUSAGE] Rank 35:	 873.398 MiB
[MEMUSAGE] Rank 36:	 873.730 MiB
[MEMUSAGE] Rank 37:	 875.188 MiB
[MEMUSAGE] Rank 38:	 873.512 MiB
[MEMUSAGE] Rank 39:	 873.230 MiB
[MEMUSAGE] Rank 40:	 873.500 MiB
[MEMUSAGE] Rank 41:	 873.152 MiB
[MEMUSAGE] Rank 42:	 873.527 MiB
[MEMUSAGE] Rank 43:	 875.238 MiB
[MEMUSAGE] Rank 44:	 873.496 MiB
[MEMUSAGE] Rank 45:	 873.430 MiB
[MEMUSAGE] Rank 46:	 873.383 MiB
[MEMUSAGE] Rank 47:	 873.215 MiB
[MEMUSAGE] Rank 48:	 873.449 MiB
[MEMUSAGE] Rank 49:	 873.645 MiB
[MEMUSAGE] Rank 50:	 873.266 MiB
[MEMUSAGE] Rank 51:	 871.148 MiB
[MEMUSAGE] Rank 52:	 873.762 MiB
[MEMUSAGE] Rank 53:	 873.164 MiB
[MEMUSAGE] Rank 54:	 873.391 MiB
[MEMUSAGE] Rank 55:	 873.180 MiB
[MEMUSAGE] Rank 56:	 873.176 MiB
[MEMUSAGE] Rank 57:	 873.359 MiB
[MEMUSAGE] Rank 58:	 873.703 MiB
[MEMUSAGE] Rank 59:	 873.188 MiB
[MEMUSAGE] Rank 60:	 873.223 MiB
[MEMUSAGE] Rank 61:	 873.125 MiB
[MEMUSAGE] Rank 62:	 873.391 MiB
[MEMUSAGE] Rank 63:	 873.359 MiB
[MEMUSAGE] Rank 64:	 873.355 MiB
[MEMUSAGE] Rank 65:	 873.348 MiB
[MEMUSAGE] Rank 66:	 873.766 MiB
[MEMUSAGE] Rank 67:	 873.461 MiB
[MEMUSAGE] Rank 68:	 873.566 MiB
[MEMUSAGE] Rank 69:	 873.414 MiB
[MEMUSAGE] Rank 70:	 873.562 MiB
[MEMUSAGE] Rank 71:	 873.555 MiB
[MEMUSAGE] Rank 72:	 873.477 MiB
[MEMUSAGE] Rank 73:	 875.492 MiB
[MEMUSAGE] Rank 74:	 875.402 MiB
[MEMUSAGE] Rank 75:	 873.539 MiB
[MEMUSAGE] Rank 76:	 873.348 MiB
[MEMUSAGE] Rank 77:	 873.504 MiB
[MEMUSAGE] Rank 78:	 873.246 MiB
[MEMUSAGE] Rank 79:	 873.355 MiB
[MEMUSAGE] Rank 80:	 875.246 MiB
[MEMUSAGE] Rank 81:	 873.211 MiB
[MEMUSAGE] Rank 82:	 873.258 MiB
[MEMUSAGE] Rank 83:	 873.328 MiB
[MEMUSAGE] Rank 84:	 873.285 MiB
[MEMUSAGE] Rank 85:	 873.062 MiB
[MEMUSAGE] Rank 86:	 873.562 MiB
[MEMUSAGE] Rank 87:	 875.367 MiB
[MEMUSAGE] Rank 88:	 873.527 MiB
[MEMUSAGE] Rank 89:	 873.164 MiB
[MEMUSAGE] Rank 90:	 873.621 MiB
[MEMUSAGE] Rank 91:	 875.297 MiB
[MEMUSAGE] Rank 92:	 873.203 MiB
[MEMUSAGE] Rank 93:	 873.242 MiB
[MEMUSAGE] Rank 94:	 873.309 MiB
[MEMUSAGE] Rank 95:	 875.004 MiB
[MEMUSAGE] Rank 96:	 875.363 MiB
[MEMUSAGE] Rank 97:	 873.375 MiB
[MEMUSAGE] Rank 98:	 873.230 MiB
[MEMUSAGE] Rank 99:	 873.527 MiB
[MEMUSAGE] Rank 100:	 873.336 MiB
[MEMUSAGE] Rank 101:	 873.270 MiB
[MEMUSAGE] Rank 102:	 873.500 MiB
[MEMUSAGE] Rank 103:	 875.293 MiB
[MEMUSAGE] Rank 104:	 873.492 MiB
[MEMUSAGE] Rank 105:	 873.379 MiB
[MEMUSAGE] Rank 106:	 873.453 MiB
[MEMUSAGE] Rank 107:	 873.195 MiB
[MEMUSAGE] Rank 108:	 873.500 MiB
[MEMUSAGE] Rank 109:	 873.219 MiB
[MEMUSAGE] Rank 110:	 873.617 MiB
[MEMUSAGE] Rank 111:	 873.020 MiB
[MEMUSAGE] Rank 112:	 873.410 MiB
[MEMUSAGE] Rank 113:	 873.477 MiB
[MEMUSAGE] Rank 114:	 875.531 MiB
[MEMUSAGE] Rank 115:	 873.391 MiB
[MEMUSAGE] Rank 116:	 873.566 MiB
[MEMUSAGE] Rank 117:	 871.211 MiB
[MEMUSAGE] Rank 118:	 873.328 MiB
[MEMUSAGE] Rank 119:	 873.305 MiB
[MEMUSAGE] Rank 120:	 873.246 MiB
[MEMUSAGE] Rank 121:	 873.145 MiB
[MEMUSAGE] Rank 122:	 873.207 MiB
[MEMUSAGE] Rank 123:	 873.410 MiB
[MEMUSAGE] Rank 124:	 873.379 MiB
[MEMUSAGE] Rank 125:	 873.402 MiB
[MEMUSAGE] Rank 126:	 873.637 MiB
[MEMUSAGE] Rank 127:	 873.125 MiB
[MEMUSAGE] Rank 128:	 875.363 MiB
[MEMUSAGE] Rank 129:	 873.246 MiB
[MEMUSAGE] Rank 130:	 873.445 MiB
[MEMUSAGE] Rank 131:	 873.316 MiB
[MEMUSAGE] Rank 132:	 873.531 MiB
[MEMUSAGE] Rank 133:	 873.027 MiB
[MEMUSAGE] Rank 134:	 873.402 MiB
[MEMUSAGE] Rank 135:	 873.254 MiB
[MEMUSAGE] Rank 136:	 873.402 MiB
[MEMUSAGE] Rank 137:	 873.285 MiB
[MEMUSAGE] Rank 138:	 873.582 MiB
[MEMUSAGE] Rank 139:	 873.375 MiB
[MEMUSAGE] Rank 140:	 873.492 MiB
[MEMUSAGE] Rank 141:	 873.289 MiB
[MEMUSAGE] Rank 142:	 873.285 MiB
[MEMUSAGE] Rank 143:	 873.051 MiB
[MEMUSAGE] Rank 144:	 873.328 MiB
[MEMUSAGE] Rank 145:	 875.195 MiB
[MEMUSAGE] Rank 146:	 873.316 MiB
[MEMUSAGE] Rank 147:	 873.312 MiB
[MEMUSAGE] Rank 148:	 873.434 MiB
[MEMUSAGE] Rank 149:	 873.172 MiB
[MEMUSAGE] Rank 150:	 873.316 MiB
[MEMUSAGE] Rank 151:	 873.309 MiB
[MEMUSAGE] Rank 152:	 873.438 MiB
[MEMUSAGE] Rank 153:	 873.332 MiB
[MEMUSAGE] Rank 154:	 873.621 MiB
[MEMUSAGE] Rank 155:	 873.270 MiB
[MEMUSAGE] Rank 156:	 873.570 MiB
[MEMUSAGE] Rank 157:	 875.383 MiB
[MEMUSAGE] Rank 158:	 873.352 MiB
