nodelist=n23m[0340,0342,0351-0356]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 826463.227100  Avg time (s): 0.245319  Total time (s): 98.127785
[MEMUSAGE] Total Memory Consumption (max_rss): 335422.781 MiB
[MEMUSAGE] Rank 0:	 873.504 MiB
[MEMUSAGE] Rank 1:	 873.477 MiB
[MEMUSAGE] Rank 2:	 873.430 MiB
[MEMUSAGE] Rank 3:	 873.406 MiB
[MEMUSAGE] Rank 4:	 873.520 MiB
[MEMUSAGE] Rank 5:	 873.332 MiB
[MEMUSAGE] Rank 6:	 873.180 MiB
[MEMUSAGE] Rank 7:	 875.055 MiB
[MEMUSAGE] Rank 8:	 873.504 MiB
[MEMUSAGE] Rank 9:	 873.371 MiB
[MEMUSAGE] Rank 10:	 873.238 MiB
[MEMUSAGE] Rank 11:	 873.238 MiB
[MEMUSAGE] Rank 12:	 873.328 MiB
[MEMUSAGE] Rank 13:	 873.359 MiB
[MEMUSAGE] Rank 14:	 873.410 MiB
[MEMUSAGE] Rank 15:	 873.328 MiB
[MEMUSAGE] Rank 16:	 873.500 MiB
[MEMUSAGE] Rank 17:	 873.684 MiB
[MEMUSAGE] Rank 18:	 873.633 MiB
[MEMUSAGE] Rank 19:	 871.246 MiB
[MEMUSAGE] Rank 20:	 873.301 MiB
[MEMUSAGE] Rank 21:	 873.477 MiB
[MEMUSAGE] Rank 22:	 873.359 MiB
[MEMUSAGE] Rank 23:	 873.465 MiB
[MEMUSAGE] Rank 24:	 873.488 MiB
[MEMUSAGE] Rank 25:	 873.344 MiB
[MEMUSAGE] Rank 26:	 873.594 MiB
[MEMUSAGE] Rank 27:	 873.336 MiB
[MEMUSAGE] Rank 28:	 873.355 MiB
[MEMUSAGE] Rank 29:	 875.371 MiB
[MEMUSAGE] Rank 30:	 873.363 MiB
[MEMUSAGE] Rank 31:	 873.344 MiB
