result:
| bench_id | wp_id |      must_branch | measurement | tasks | num_iters | grid_size | time_avg | time_std |    rate (MFlops/s) | memory total (MiB) | verification |
|----------|-------|------------------|-------------|-------|-----------|-----------|----------|----------|--------------------|--------------------|--------------|
|       11 |     5 | feature/onesided |        base |    48 |       400 |     48000 |   97.934 |    0.023 | 103505.64770140001 |          38757.922 |      SUCCESS |
|       11 |    34 | feature/onesided |        must |    48 |       400 |     48000 | 1644.353 |   21.922 |       6165.4607342 |         112413.133 |      SUCCESS |
|       11 |     9 | feature/onesided |        base |    96 |       400 |     67883 |   97.991 |    0.017 |     206900.7503108 |          83549.504 |      SUCCESS |
|       11 |    39 | feature/onesided |        must |    96 |       400 |     67883 | 1714.905 |   23.719 |      11824.2779224 |         230065.262 |      SUCCESS |
|       11 |    17 | feature/onesided |        base |   192 |       400 |     96000 |   99.016 |    2.101 |     409659.0671912 |         167268.699 |      SUCCESS |
|       11 |    46 | feature/onesided |        must |   192 |       400 |     96000 | 1797.762 |   52.326 |      22569.8300706 |         455203.996 |      SUCCESS |
|       11 |    19 | feature/onesided |        base |   384 |       400 |    135765 |   99.990 |    2.564 |     811492.2957406 |         335430.375 |      SUCCESS |
|       11 |    49 | feature/onesided |        must |   384 |       400 |    135765 | 1840.110 |   64.097 | 44115.218649799994 |         913416.504 |      SUCCESS |
|       11 |    24 | feature/onesided |        base |   768 |       400 |    192000 |   98.622 |    1.020 |    1644791.4935038 |         674420.012 |      SUCCESS |
|       11 |    58 | feature/onesided |        must |   768 |       400 |    192000 | 1846.461 |   45.790 |  87884.63165759998 |        1812224.762 |      SUCCESS |
