PnMPI_result:
| jube_benchmark_id |    11 |     11 |     11 |     11 |      11 |
|        jube_wp_id |    29 |     30 |     31 |     32 |      33 |
|        RMA_target |       |        |        |        |         |
|             tasks |    48 |     96 |    192 |    384 |     768 |
|                   |       |        |        |        |         |
|             #Send |       |        |        |        |         |
|            #Isend |       |        |        |        |         |
|             #Recv |       |        |        |        |         |
|            #Irecv |       |        |        |        |         |
|         #Sendrecv |       |        |        |        |         |
|           #Reduce |    96 |    192 |    384 |    768 |    1536 |
|        #Allreduce |   384 |    768 |   1536 |   3072 |    6144 |
|          #Scatter |       |        |        |        |         |
|          #Barrier |    48 |     96 |    192 |    384 |     768 |
|              #Put | 65764 | 137944 | 285512 | 583856 | 1186960 |
|              #Get |       |        |        |        |         |
|             #lock |       |        |        |        |         |
|           #unlock |       |        |        |        |         |
|         #lock_all |       |        |        |        |         |
|       #unlock_all |       |        |        |        |         |
|            #fence | 76992 | 153984 | 307968 | 615936 | 1231872 |
|            #flush |       |        |        |        |         |
|        #flush_all |       |        |        |        |         |
|       #Win_create |       |        |        |        |         |
|     #Win_allocate |    96 |    192 |    384 |    768 |    1536 |
|         #Win_free |    96 |    192 |    384 |    768 |    1536 |
