nodelist=r23m[0137-0141]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 216
# Total number of elements: 1728000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  216
   Iteration count     =  4264
   Final Origin Energy =  2.489232e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.270099e-09
        TotalAbsDiff = 1.747094e-08
        MaxRelDiff   = 4.423149e-14

Elapsed time         =         85 (s)
Grind time (us/z/c)  =  2.4828508 (per dom)  ( 84.695006 overall)
FOM                  =   86996.77 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 33546.102 MiB
[MEMUSAGE] Rank 0:	 147.227 MiB
[MEMUSAGE] Rank 1:	 155.008 MiB
[MEMUSAGE] Rank 2:	 157.145 MiB
[MEMUSAGE] Rank 3:	 157.141 MiB
[MEMUSAGE] Rank 4:	 155.301 MiB
[MEMUSAGE] Rank 5:	 154.980 MiB
[MEMUSAGE] Rank 6:	 155.277 MiB
[MEMUSAGE] Rank 7:	 155.219 MiB
[MEMUSAGE] Rank 8:	 155.570 MiB
[MEMUSAGE] Rank 9:	 155.270 MiB
[MEMUSAGE] Rank 10:	 155.500 MiB
[MEMUSAGE] Rank 11:	 155.254 MiB
[MEMUSAGE] Rank 12:	 155.512 MiB
[MEMUSAGE] Rank 13:	 155.379 MiB
[MEMUSAGE] Rank 14:	 155.105 MiB
[MEMUSAGE] Rank 15:	 155.254 MiB
[MEMUSAGE] Rank 16:	 155.258 MiB
[MEMUSAGE] Rank 17:	 157.113 MiB
[MEMUSAGE] Rank 18:	 153.379 MiB
[MEMUSAGE] Rank 19:	 155.273 MiB
[MEMUSAGE] Rank 20:	 155.316 MiB
[MEMUSAGE] Rank 21:	 155.414 MiB
[MEMUSAGE] Rank 22:	 157.402 MiB
[MEMUSAGE] Rank 23:	 155.328 MiB
[MEMUSAGE] Rank 24:	 155.215 MiB
[MEMUSAGE] Rank 25:	 155.211 MiB
[MEMUSAGE] Rank 26:	 153.199 MiB
[MEMUSAGE] Rank 27:	 155.543 MiB
[MEMUSAGE] Rank 28:	 155.289 MiB
[MEMUSAGE] Rank 29:	 155.059 MiB
[MEMUSAGE] Rank 30:	 154.867 MiB
[MEMUSAGE] Rank 31:	 155.145 MiB
[MEMUSAGE] Rank 32:	 154.996 MiB
[MEMUSAGE] Rank 33:	 155.223 MiB
[MEMUSAGE] Rank 34:	 153.113 MiB
[MEMUSAGE] Rank 35:	 155.102 MiB
[MEMUSAGE] Rank 36:	 154.930 MiB
[MEMUSAGE] Rank 37:	 155.309 MiB
[MEMUSAGE] Rank 38:	 155.371 MiB
[MEMUSAGE] Rank 39:	 155.230 MiB
[MEMUSAGE] Rank 40:	 155.133 MiB
[MEMUSAGE] Rank 41:	 154.996 MiB
[MEMUSAGE] Rank 42:	 157.020 MiB
[MEMUSAGE] Rank 43:	 155.121 MiB
[MEMUSAGE] Rank 44:	 155.125 MiB
[MEMUSAGE] Rank 45:	 155.008 MiB
[MEMUSAGE] Rank 46:	 155.277 MiB
