nodelist=n23m[0327-0337]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6405344 (per dom)  ( 121.52796 overall)
FOM                  =  193900.14 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81392.871 MiB
[MEMUSAGE] Rank 0:	 158.887 MiB
[MEMUSAGE] Rank 1:	 158.633 MiB
[MEMUSAGE] Rank 2:	 158.949 MiB
[MEMUSAGE] Rank 3:	 158.637 MiB
[MEMUSAGE] Rank 4:	 156.828 MiB
[MEMUSAGE] Rank 5:	 158.613 MiB
[MEMUSAGE] Rank 6:	 158.793 MiB
[MEMUSAGE] Rank 7:	 158.777 MiB
[MEMUSAGE] Rank 8:	 158.957 MiB
[MEMUSAGE] Rank 9:	 158.875 MiB
[MEMUSAGE] Rank 10:	 158.848 MiB
[MEMUSAGE] Rank 11:	 158.820 MiB
[MEMUSAGE] Rank 12:	 158.852 MiB
[MEMUSAGE] Rank 13:	 158.695 MiB
[MEMUSAGE] Rank 14:	 158.844 MiB
[MEMUSAGE] Rank 15:	 158.762 MiB
[MEMUSAGE] Rank 16:	 159.000 MiB
[MEMUSAGE] Rank 17:	 160.727 MiB
[MEMUSAGE] Rank 18:	 157.129 MiB
[MEMUSAGE] Rank 19:	 158.930 MiB
[MEMUSAGE] Rank 20:	 160.801 MiB
[MEMUSAGE] Rank 21:	 158.723 MiB
[MEMUSAGE] Rank 22:	 158.797 MiB
[MEMUSAGE] Rank 23:	 158.641 MiB
[MEMUSAGE] Rank 24:	 158.637 MiB
[MEMUSAGE] Rank 25:	 158.840 MiB
[MEMUSAGE] Rank 26:	 158.805 MiB
[MEMUSAGE] Rank 27:	 158.715 MiB
[MEMUSAGE] Rank 28:	 160.930 MiB
[MEMUSAGE] Rank 29:	 158.641 MiB
[MEMUSAGE] Rank 30:	 158.934 MiB
[MEMUSAGE] Rank 31:	 158.562 MiB
[MEMUSAGE] Rank 32:	 158.785 MiB
[MEMUSAGE] Rank 33:	 160.676 MiB
[MEMUSAGE] Rank 34:	 156.648 MiB
[MEMUSAGE] Rank 35:	 158.453 MiB
[MEMUSAGE] Rank 36:	 158.766 MiB
[MEMUSAGE] Rank 37:	 158.781 MiB
[MEMUSAGE] Rank 38:	 158.824 MiB
[MEMUSAGE] Rank 39:	 158.520 MiB
[MEMUSAGE] Rank 40:	 158.742 MiB
[MEMUSAGE] Rank 41:	 158.559 MiB
[MEMUSAGE] Rank 42:	 158.695 MiB
[MEMUSAGE] Rank 43:	 158.625 MiB
[MEMUSAGE] Rank 44:	 158.719 MiB
[MEMUSAGE] Rank 45:	 158.738 MiB
[MEMUSAGE] Rank 46:	 158.590 MiB
[MEMUSAGE] Rank 47:	 158.621 MiB
[MEMUSAGE] Rank 48:	 158.891 MiB
[MEMUSAGE] Rank 49:	 160.832 MiB
[MEMUSAGE] Rank 50:	 158.617 MiB
[MEMUSAGE] Rank 51:	 158.625 MiB
