nodelist=n23m[0338-0340,0342,0351-0357]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6223653 (per dom)  ( 120.69174 overall)
FOM                  =  195243.58 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81420.812 MiB
[MEMUSAGE] Rank 0:	 158.848 MiB
[MEMUSAGE] Rank 1:	 158.750 MiB
[MEMUSAGE] Rank 2:	 158.840 MiB
[MEMUSAGE] Rank 3:	 158.691 MiB
[MEMUSAGE] Rank 4:	 158.793 MiB
[MEMUSAGE] Rank 5:	 158.617 MiB
[MEMUSAGE] Rank 6:	 158.699 MiB
[MEMUSAGE] Rank 7:	 158.633 MiB
[MEMUSAGE] Rank 8:	 158.598 MiB
[MEMUSAGE] Rank 9:	 158.984 MiB
[MEMUSAGE] Rank 10:	 158.875 MiB
[MEMUSAGE] Rank 11:	 158.629 MiB
[MEMUSAGE] Rank 12:	 158.781 MiB
[MEMUSAGE] Rank 13:	 158.758 MiB
[MEMUSAGE] Rank 14:	 158.984 MiB
[MEMUSAGE] Rank 15:	 158.930 MiB
[MEMUSAGE] Rank 16:	 158.852 MiB
[MEMUSAGE] Rank 17:	 158.590 MiB
[MEMUSAGE] Rank 18:	 158.711 MiB
[MEMUSAGE] Rank 19:	 158.660 MiB
[MEMUSAGE] Rank 20:	 158.652 MiB
[MEMUSAGE] Rank 21:	 158.672 MiB
[MEMUSAGE] Rank 22:	 158.746 MiB
[MEMUSAGE] Rank 23:	 160.406 MiB
[MEMUSAGE] Rank 24:	 158.590 MiB
[MEMUSAGE] Rank 25:	 158.539 MiB
[MEMUSAGE] Rank 26:	 158.828 MiB
[MEMUSAGE] Rank 27:	 158.621 MiB
[MEMUSAGE] Rank 28:	 158.770 MiB
[MEMUSAGE] Rank 29:	 158.660 MiB
[MEMUSAGE] Rank 30:	 158.770 MiB
[MEMUSAGE] Rank 31:	 160.438 MiB
[MEMUSAGE] Rank 32:	 158.602 MiB
[MEMUSAGE] Rank 33:	 160.648 MiB
[MEMUSAGE] Rank 34:	 158.820 MiB
[MEMUSAGE] Rank 35:	 158.855 MiB
[MEMUSAGE] Rank 36:	 158.688 MiB
[MEMUSAGE] Rank 37:	 158.918 MiB
[MEMUSAGE] Rank 38:	 158.914 MiB
[MEMUSAGE] Rank 39:	 158.594 MiB
[MEMUSAGE] Rank 40:	 158.676 MiB
[MEMUSAGE] Rank 41:	 158.641 MiB
[MEMUSAGE] Rank 42:	 158.695 MiB
[MEMUSAGE] Rank 43:	 158.574 MiB
[MEMUSAGE] Rank 44:	 160.582 MiB
[MEMUSAGE] Rank 45:	 158.719 MiB
[MEMUSAGE] Rank 46:	 160.578 MiB
[MEMUSAGE] Rank 47:	 160.621 MiB
[MEMUSAGE] Rank 48:	 158.723 MiB
[MEMUSAGE] Rank 49:	 158.738 MiB
[MEMUSAGE] Rank 50:	 158.711 MiB
[MEMUSAGE] Rank 51:	 160.473 MiB
[MEMUSAGE] Rank 52:	 158.836 MiB
[MEMUSAGE] Rank 53:	 158.594 MiB
[MEMUSAGE] Rank 54:	 158.738 MiB
[MEMUSAGE] Rank 55:	 158.457 MiB
[MEMUSAGE] Rank 56:	 158.664 MiB
[MEMUSAGE] Rank 57:	 158.543 MiB
[MEMUSAGE] Rank 58:	 156.715 MiB
[MEMUSAGE] Rank 59:	 158.570 MiB
[MEMUSAGE] Rank 60:	 158.742 MiB
[MEMUSAGE] Rank 61:	 162.273 MiB
[MEMUSAGE] Rank 62:	 158.598 MiB
[MEMUSAGE] Rank 63:	 158.301 MiB
[MEMUSAGE] Rank 64:	 158.555 MiB
[MEMUSAGE] Rank 65:	 158.797 MiB
[MEMUSAGE] Rank 66:	 158.676 MiB
[MEMUSAGE] Rank 67:	 158.469 MiB
[MEMUSAGE] Rank 68:	 160.840 MiB
[MEMUSAGE] Rank 69:	 158.715 MiB
[MEMUSAGE] Rank 70:	 158.559 MiB
[MEMUSAGE] Rank 71:	 160.637 MiB
[MEMUSAGE] Rank 72:	 162.738 MiB
[MEMUSAGE] Rank 73:	 158.746 MiB
[MEMUSAGE] Rank 74:	 158.820 MiB
[MEMUSAGE] Rank 75:	 158.867 MiB
[MEMUSAGE] Rank 76:	 158.863 MiB
[MEMUSAGE] Rank 77:	 158.883 MiB
[MEMUSAGE] Rank 78:	 158.652 MiB
[MEMUSAGE] Rank 79:	 158.648 MiB
[MEMUSAGE] Rank 80:	 158.812 MiB
[MEMUSAGE] Rank 81:	 159.035 MiB
[MEMUSAGE] Rank 82:	 158.992 MiB
[MEMUSAGE] Rank 83:	 158.871 MiB
[MEMUSAGE] Rank 84:	 158.965 MiB
[MEMUSAGE] Rank 85:	 158.973 MiB
[MEMUSAGE] Rank 86:	 158.824 MiB
[MEMUSAGE] Rank 87:	 158.812 MiB
[MEMUSAGE] Rank 88:	 159.012 MiB
[MEMUSAGE] Rank 89:	 156.797 MiB
[MEMUSAGE] Rank 90:	 158.906 MiB
[MEMUSAGE] Rank 91:	 158.750 MiB
[MEMUSAGE] Rank 92:	 160.789 MiB
[MEMUSAGE] Rank 93:	 158.738 MiB
[MEMUSAGE] Rank 94:	 158.645 MiB
[MEMUSAGE] Rank 95:	 158.504 MiB
[MEMUSAGE] Rank 96:	 158.906 MiB
[MEMUSAGE] Rank 97:	 159.059 MiB
[MEMUSAGE] Rank 98:	 158.992 MiB
[MEMUSAGE] Rank 99:	 158.852 MiB
[MEMUSAGE] Rank 100:	 158.922 MiB
[MEMUSAGE] Rank 101:	 158.777 MiB
[MEMUSAGE] Rank 102:	 160.922 MiB
[MEMUSAGE] Rank 103:	 158.684 MiB
[MEMUSAGE] Rank 104:	 158.898 MiB
[MEMUSAGE] Rank 105:	 159.004 MiB
[MEMUSAGE] Rank 106:	 158.934 MiB
[MEMUSAGE] Rank 107:	 158.875 MiB
[MEMUSAGE] Rank 108:	 158.898 MiB
[MEMUSAGE] Rank 109:	 158.707 MiB
[MEMUSAGE] Rank 110:	 158.891 MiB
[MEMUSAGE] Rank 111:	 158.734 MiB
[MEMUSAGE] Rank 112:	 158.883 MiB
[MEMUSAGE] Rank 113:	 158.879 MiB
[MEMUSAGE] Rank 114:	 161.035 MiB
[MEMUSAGE] Rank 115:	 159.090 MiB
[MEMUSAGE] Rank 116:	 159.055 MiB
[MEMUSAGE] Rank 117:	 156.914 MiB
[MEMUSAGE] Rank 118:	 158.766 MiB
[MEMUSAGE] Rank 119:	 158.922 MiB
[MEMUSAGE] Rank 120:	 160.828 MiB
[MEMUSAGE] Rank 121:	 158.930 MiB
[MEMUSAGE] Rank 122:	 158.742 MiB
[MEMUSAGE] Rank 123:	 158.879 MiB
[MEMUSAGE] Rank 124:	 160.727 MiB
[MEMUSAGE] Rank 125:	 158.602 MiB
[MEMUSAGE] Rank 126:	 158.723 MiB
[MEMUSAGE] Rank 127:	 158.742 MiB
[MEMUSAGE] Rank 128:	 158.820 MiB
[MEMUSAGE] Rank 129:	 160.684 MiB
[MEMUSAGE] Rank 130:	 156.906 MiB
[MEMUSAGE] Rank 131:	 158.801 MiB
[MEMUSAGE] Rank 132:	 156.895 MiB
[MEMUSAGE] Rank 133:	 158.586 MiB
[MEMUSAGE] Rank 134:	 160.547 MiB
[MEMUSAGE] Rank 135:	 158.473 MiB
[MEMUSAGE] Rank 136:	 158.691 MiB
