nodelist=n23m[0243-0256,0258-0259]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 729
# Total number of elements: 5832000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  729
   Iteration count     =  6499
   Final Origin Energy =  5.162211e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 3.288733e-09
        TotalAbsDiff = 4.116191e-08
        MaxRelDiff   = 3.075683e-14

Elapsed time         =    1.4e+02 (s)
Grind time (us/z/c)  =  2.6229815 (per dom)  ( 136.37405 overall)
FOM                  =     277928 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 117718.875 MiB
[MEMUSAGE] Rank 0:	 161.066 MiB
[MEMUSAGE] Rank 1:	 161.242 MiB
[MEMUSAGE] Rank 2:	 159.223 MiB
[MEMUSAGE] Rank 3:	 163.285 MiB
[MEMUSAGE] Rank 4:	 161.184 MiB
[MEMUSAGE] Rank 5:	 161.102 MiB
[MEMUSAGE] Rank 6:	 161.211 MiB
[MEMUSAGE] Rank 7:	 161.234 MiB
[MEMUSAGE] Rank 8:	 161.320 MiB
[MEMUSAGE] Rank 9:	 161.266 MiB
[MEMUSAGE] Rank 10:	 161.293 MiB
[MEMUSAGE] Rank 11:	 161.242 MiB
[MEMUSAGE] Rank 12:	 161.414 MiB
[MEMUSAGE] Rank 13:	 159.562 MiB
[MEMUSAGE] Rank 14:	 161.480 MiB
[MEMUSAGE] Rank 15:	 159.344 MiB
[MEMUSAGE] Rank 16:	 161.441 MiB
[MEMUSAGE] Rank 17:	 163.344 MiB
[MEMUSAGE] Rank 18:	 161.199 MiB
[MEMUSAGE] Rank 19:	 161.391 MiB
[MEMUSAGE] Rank 20:	 161.500 MiB
[MEMUSAGE] Rank 21:	 161.363 MiB
[MEMUSAGE] Rank 22:	 161.352 MiB
[MEMUSAGE] Rank 23:	 161.484 MiB
[MEMUSAGE] Rank 24:	 161.328 MiB
[MEMUSAGE] Rank 25:	 161.422 MiB
[MEMUSAGE] Rank 26:	 161.156 MiB
[MEMUSAGE] Rank 27:	 161.535 MiB
[MEMUSAGE] Rank 28:	 161.344 MiB
[MEMUSAGE] Rank 29:	 161.605 MiB
[MEMUSAGE] Rank 30:	 159.059 MiB
[MEMUSAGE] Rank 31:	 161.172 MiB
[MEMUSAGE] Rank 32:	 163.547 MiB
[MEMUSAGE] Rank 33:	 163.379 MiB
[MEMUSAGE] Rank 34:	 161.164 MiB
[MEMUSAGE] Rank 35:	 161.062 MiB
[MEMUSAGE] Rank 36:	 161.008 MiB
[MEMUSAGE] Rank 37:	 161.148 MiB
[MEMUSAGE] Rank 38:	 161.176 MiB
[MEMUSAGE] Rank 39:	 161.145 MiB
[MEMUSAGE] Rank 40:	 161.219 MiB
[MEMUSAGE] Rank 41:	 161.066 MiB
[MEMUSAGE] Rank 42:	 161.121 MiB
[MEMUSAGE] Rank 43:	 161.082 MiB
[MEMUSAGE] Rank 44:	 162.980 MiB
[MEMUSAGE] Rank 45:	 161.070 MiB
[MEMUSAGE] Rank 46:	 161.355 MiB
[MEMUSAGE] Rank 47:	 161.348 MiB
[MEMUSAGE] Rank 48:	 161.422 MiB
[MEMUSAGE] Rank 49:	 161.473 MiB
[MEMUSAGE] Rank 50:	 161.414 MiB
[MEMUSAGE] Rank 51:	 161.223 MiB
[MEMUSAGE] Rank 52:	 161.203 MiB
[MEMUSAGE] Rank 53:	 161.043 MiB
[MEMUSAGE] Rank 54:	 161.254 MiB
[MEMUSAGE] Rank 55:	 161.340 MiB
[MEMUSAGE] Rank 56:	 161.305 MiB
[MEMUSAGE] Rank 57:	 163.410 MiB
[MEMUSAGE] Rank 58:	 161.625 MiB
[MEMUSAGE] Rank 59:	 161.488 MiB
[MEMUSAGE] Rank 60:	 161.441 MiB
[MEMUSAGE] Rank 61:	 161.531 MiB
[MEMUSAGE] Rank 62:	 161.340 MiB
[MEMUSAGE] Rank 63:	 161.145 MiB
[MEMUSAGE] Rank 64:	 161.234 MiB
[MEMUSAGE] Rank 65:	 161.484 MiB
[MEMUSAGE] Rank 66:	 161.285 MiB
[MEMUSAGE] Rank 67:	 161.426 MiB
[MEMUSAGE] Rank 68:	 161.547 MiB
[MEMUSAGE] Rank 69:	 161.289 MiB
[MEMUSAGE] Rank 70:	 163.258 MiB
[MEMUSAGE] Rank 71:	 161.059 MiB
[MEMUSAGE] Rank 72:	 161.145 MiB
[MEMUSAGE] Rank 73:	 163.328 MiB
[MEMUSAGE] Rank 74:	 161.168 MiB
[MEMUSAGE] Rank 75:	 161.176 MiB
[MEMUSAGE] Rank 76:	 161.066 MiB
[MEMUSAGE] Rank 77:	 161.039 MiB
[MEMUSAGE] Rank 78:	 163.328 MiB
[MEMUSAGE] Rank 79:	 161.062 MiB
[MEMUSAGE] Rank 80:	 161.148 MiB
[MEMUSAGE] Rank 81:	 163.113 MiB
[MEMUSAGE] Rank 82:	 163.191 MiB
[MEMUSAGE] Rank 83:	 161.098 MiB
[MEMUSAGE] Rank 84:	 161.203 MiB
[MEMUSAGE] Rank 85:	 161.355 MiB
[MEMUSAGE] Rank 86:	 161.398 MiB
[MEMUSAGE] Rank 87:	 161.215 MiB
[MEMUSAGE] Rank 88:	 161.453 MiB
[MEMUSAGE] Rank 89:	 160.969 MiB
[MEMUSAGE] Rank 90:	 161.258 MiB
[MEMUSAGE] Rank 91:	 161.262 MiB
[MEMUSAGE] Rank 92:	 163.570 MiB
[MEMUSAGE] Rank 93:	 161.414 MiB
[MEMUSAGE] Rank 94:	 161.477 MiB
[MEMUSAGE] Rank 95:	 159.430 MiB
[MEMUSAGE] Rank 96:	 161.504 MiB
[MEMUSAGE] Rank 97:	 161.512 MiB
[MEMUSAGE] Rank 98:	 161.324 MiB
[MEMUSAGE] Rank 99:	 163.105 MiB
[MEMUSAGE] Rank 100:	 161.387 MiB
[MEMUSAGE] Rank 101:	 161.352 MiB
[MEMUSAGE] Rank 102:	 161.531 MiB
[MEMUSAGE] Rank 103:	 161.453 MiB
[MEMUSAGE] Rank 104:	 163.262 MiB
[MEMUSAGE] Rank 105:	 161.047 MiB
[MEMUSAGE] Rank 106:	 161.305 MiB
[MEMUSAGE] Rank 107:	 161.203 MiB
[MEMUSAGE] Rank 108:	 161.410 MiB
[MEMUSAGE] Rank 109:	 161.660 MiB
[MEMUSAGE] Rank 110:	 161.441 MiB
[MEMUSAGE] Rank 111:	 163.316 MiB
[MEMUSAGE] Rank 112:	 161.625 MiB
[MEMUSAGE] Rank 113:	 159.148 MiB
[MEMUSAGE] Rank 114:	 161.285 MiB
[MEMUSAGE] Rank 115:	 161.254 MiB
[MEMUSAGE] Rank 116:	 161.355 MiB
[MEMUSAGE] Rank 117:	 161.129 MiB
[MEMUSAGE] Rank 118:	 161.520 MiB
[MEMUSAGE] Rank 119:	 161.328 MiB
[MEMUSAGE] Rank 120:	 161.555 MiB
[MEMUSAGE] Rank 121:	 161.480 MiB
[MEMUSAGE] Rank 122:	 161.285 MiB
[MEMUSAGE] Rank 123:	 161.305 MiB
[MEMUSAGE] Rank 124:	 161.398 MiB
[MEMUSAGE] Rank 125:	 161.125 MiB
[MEMUSAGE] Rank 126:	 163.199 MiB
[MEMUSAGE] Rank 127:	 163.406 MiB
[MEMUSAGE] Rank 128:	 161.336 MiB
[MEMUSAGE] Rank 129:	 161.145 MiB
[MEMUSAGE] Rank 130:	 161.207 MiB
[MEMUSAGE] Rank 131:	 161.215 MiB
[MEMUSAGE] Rank 132:	 161.309 MiB
[MEMUSAGE] Rank 133:	 161.348 MiB
[MEMUSAGE] Rank 134:	 161.273 MiB
[MEMUSAGE] Rank 135:	 161.086 MiB
[MEMUSAGE] Rank 136:	 161.277 MiB
[MEMUSAGE] Rank 137:	 161.176 MiB
[MEMUSAGE] Rank 138:	 161.234 MiB
[MEMUSAGE] Rank 139:	 161.016 MiB
[MEMUSAGE] Rank 140:	 161.449 MiB
[MEMUSAGE] Rank 141:	 161.301 MiB
[MEMUSAGE] Rank 142:	 163.180 MiB
[MEMUSAGE] Rank 143:	 160.938 MiB
[MEMUSAGE] Rank 144:	 161.371 MiB
[MEMUSAGE] Rank 145:	 159.539 MiB
[MEMUSAGE] Rank 146:	 161.473 MiB
[MEMUSAGE] Rank 147:	 163.227 MiB
[MEMUSAGE] Rank 148:	 163.449 MiB
[MEMUSAGE] Rank 149:	 163.465 MiB
[MEMUSAGE] Rank 150:	 161.375 MiB
[MEMUSAGE] Rank 151:	 161.480 MiB
[MEMUSAGE] Rank 152:	 163.328 MiB
[MEMUSAGE] Rank 153:	 161.074 MiB
[MEMUSAGE] Rank 154:	 161.355 MiB
[MEMUSAGE] Rank 155:	 163.285 MiB
[MEMUSAGE] Rank 156:	 161.316 MiB
[MEMUSAGE] Rank 157:	 161.391 MiB
[MEMUSAGE] Rank 158:	 161.418 MiB
[MEMUSAGE] Rank 159:	 161.277 MiB
[MEMUSAGE] Rank 160:	 161.215 MiB
[MEMUSAGE] Rank 161:	 161.285 MiB
[MEMUSAGE] Rank 162:	 163.164 MiB
[MEMUSAGE] Rank 163:	 161.297 MiB
[MEMUSAGE] Rank 164:	 159.336 MiB
[MEMUSAGE] Rank 165:	 161.367 MiB
[MEMUSAGE] Rank 166:	 163.266 MiB
[MEMUSAGE] Rank 167:	 161.449 MiB
[MEMUSAGE] Rank 168:	 161.035 MiB
[MEMUSAGE] Rank 169:	 161.184 MiB
[MEMUSAGE] Rank 170:	 161.188 MiB
[MEMUSAGE] Rank 171:	 161.238 MiB
[MEMUSAGE] Rank 172:	 161.504 MiB
[MEMUSAGE] Rank 173:	 161.203 MiB
[MEMUSAGE] Rank 174:	 161.348 MiB
[MEMUSAGE] Rank 175:	 161.012 MiB
[MEMUSAGE] Rank 176:	 163.316 MiB
[MEMUSAGE] Rank 177:	 161.207 MiB
[MEMUSAGE] Rank 178:	 163.227 MiB
[MEMUSAGE] Rank 179:	 161.027 MiB
[MEMUSAGE] Rank 180:	 161.078 MiB
[MEMUSAGE] Rank 181:	 161.230 MiB
[MEMUSAGE] Rank 182:	 161.230 MiB
[MEMUSAGE] Rank 183:	 161.258 MiB
[MEMUSAGE] Rank 184:	 163.199 MiB
[MEMUSAGE] Rank 185:	 161.605 MiB
[MEMUSAGE] Rank 186:	 161.461 MiB
[MEMUSAGE] Rank 187:	 161.164 MiB
[MEMUSAGE] Rank 188:	 161.332 MiB
[MEMUSAGE] Rank 189:	 161.047 MiB
[MEMUSAGE] Rank 190:	 161.496 MiB
[MEMUSAGE] Rank 191:	 161.270 MiB
[MEMUSAGE] Rank 192:	 161.180 MiB
[MEMUSAGE] Rank 193:	 161.391 MiB
[MEMUSAGE] Rank 194:	 161.289 MiB
[MEMUSAGE] Rank 195:	 161.078 MiB
[MEMUSAGE] Rank 196:	 163.277 MiB
[MEMUSAGE] Rank 197:	 163.254 MiB
[MEMUSAGE] Rank 198:	 161.281 MiB
[MEMUSAGE] Rank 199:	 161.441 MiB
[MEMUSAGE] Rank 200:	 161.422 MiB
[MEMUSAGE] Rank 201:	 163.309 MiB
[MEMUSAGE] Rank 202:	 161.352 MiB
[MEMUSAGE] Rank 203:	 161.410 MiB
[MEMUSAGE] Rank 204:	 161.473 MiB
[MEMUSAGE] Rank 205:	 161.551 MiB
[MEMUSAGE] Rank 206:	 161.645 MiB
[MEMUSAGE] Rank 207:	 161.305 MiB
[MEMUSAGE] Rank 208:	 161.609 MiB
[MEMUSAGE] Rank 209:	 161.449 MiB
[MEMUSAGE] Rank 210:	 159.496 MiB
[MEMUSAGE] Rank 211:	 163.598 MiB
[MEMUSAGE] Rank 212:	 161.445 MiB
[MEMUSAGE] Rank 213:	 161.102 MiB
[MEMUSAGE] Rank 214:	 161.375 MiB
[MEMUSAGE] Rank 215:	 161.320 MiB
[MEMUSAGE] Rank 216:	 163.266 MiB
[MEMUSAGE] Rank 217:	 161.246 MiB
[MEMUSAGE] Rank 218:	 161.281 MiB
[MEMUSAGE] Rank 219:	 161.367 MiB
[MEMUSAGE] Rank 220:	 161.363 MiB
[MEMUSAGE] Rank 221:	 161.406 MiB
[MEMUSAGE] Rank 222:	 161.191 MiB
[MEMUSAGE] Rank 223:	 161.207 MiB
[MEMUSAGE] Rank 224:	 161.293 MiB
[MEMUSAGE] Rank 225:	 161.266 MiB
[MEMUSAGE] Rank 226:	 161.270 MiB
[MEMUSAGE] Rank 227:	 161.180 MiB
[MEMUSAGE] Rank 228:	 161.242 MiB
[MEMUSAGE] Rank 229:	 161.191 MiB
[MEMUSAGE] Rank 230:	 161.160 MiB
[MEMUSAGE] Rank 231:	 161.586 MiB
[MEMUSAGE] Rank 232:	 161.340 MiB
[MEMUSAGE] Rank 233:	 161.316 MiB
[MEMUSAGE] Rank 234:	 163.312 MiB
[MEMUSAGE] Rank 235:	 161.219 MiB
[MEMUSAGE] Rank 236:	 159.434 MiB
[MEMUSAGE] Rank 237:	 163.020 MiB
[MEMUSAGE] Rank 238:	 161.492 MiB
[MEMUSAGE] Rank 239:	 161.309 MiB
[MEMUSAGE] Rank 240:	 161.191 MiB
[MEMUSAGE] Rank 241:	 161.137 MiB
[MEMUSAGE] Rank 242:	 161.141 MiB
[MEMUSAGE] Rank 243:	 161.152 MiB
[MEMUSAGE] Rank 244:	 161.277 MiB
[MEMUSAGE] Rank 245:	 161.172 MiB
[MEMUSAGE] Rank 246:	 163.426 MiB
[MEMUSAGE] Rank 247:	 161.176 MiB
[MEMUSAGE] Rank 248:	 161.348 MiB
[MEMUSAGE] Rank 249:	 159.363 MiB
[MEMUSAGE] Rank 250:	 161.676 MiB
[MEMUSAGE] Rank 251:	 161.055 MiB
[MEMUSAGE] Rank 252:	 161.320 MiB
[MEMUSAGE] Rank 253:	 161.457 MiB
[MEMUSAGE] Rank 254:	 163.410 MiB
[MEMUSAGE] Rank 255:	 161.359 MiB
[MEMUSAGE] Rank 256:	 161.266 MiB
[MEMUSAGE] Rank 257:	 161.074 MiB
[MEMUSAGE] Rank 258:	 161.285 MiB
[MEMUSAGE] Rank 259:	 163.320 MiB
[MEMUSAGE] Rank 260:	 161.246 MiB
[MEMUSAGE] Rank 261:	 161.203 MiB
[MEMUSAGE] Rank 262:	 161.398 MiB
[MEMUSAGE] Rank 263:	 161.402 MiB
[MEMUSAGE] Rank 264:	 161.344 MiB
[MEMUSAGE] Rank 265:	 161.391 MiB
[MEMUSAGE] Rank 266:	 161.430 MiB
[MEMUSAGE] Rank 267:	 161.301 MiB
[MEMUSAGE] Rank 268:	 161.434 MiB
[MEMUSAGE] Rank 269:	 161.004 MiB
[MEMUSAGE] Rank 270:	 161.480 MiB
[MEMUSAGE] Rank 271:	 161.348 MiB
[MEMUSAGE] Rank 272:	 161.551 MiB
[MEMUSAGE] Rank 273:	 163.379 MiB
[MEMUSAGE] Rank 274:	 159.516 MiB
[MEMUSAGE] Rank 275:	 163.109 MiB
[MEMUSAGE] Rank 276:	 161.152 MiB
[MEMUSAGE] Rank 277:	 159.281 MiB
[MEMUSAGE] Rank 278:	 161.234 MiB
[MEMUSAGE] Rank 279:	 161.277 MiB
[MEMUSAGE] Rank 280:	 161.160 MiB
[MEMUSAGE] Rank 281:	 161.387 MiB
[MEMUSAGE] Rank 282:	 163.320 MiB
[MEMUSAGE] Rank 283:	 161.309 MiB
[MEMUSAGE] Rank 284:	 161.551 MiB
[MEMUSAGE] Rank 285:	 161.230 MiB
[MEMUSAGE] Rank 286:	 161.527 MiB
[MEMUSAGE] Rank 287:	 161.199 MiB
[MEMUSAGE] Rank 288:	 161.254 MiB
[MEMUSAGE] Rank 289:	 161.289 MiB
[MEMUSAGE] Rank 290:	 161.406 MiB
[MEMUSAGE] Rank 291:	 161.332 MiB
[MEMUSAGE] Rank 292:	 161.621 MiB
[MEMUSAGE] Rank 293:	 161.297 MiB
[MEMUSAGE] Rank 294:	 161.598 MiB
[MEMUSAGE] Rank 295:	 161.277 MiB
[MEMUSAGE] Rank 296:	 161.539 MiB
[MEMUSAGE] Rank 297:	 161.199 MiB
