result:
| bench_id | wp_id |      must_branch | measurement | tasks | timesteps | size | time_avg | time_std | verification |
|----------|-------|------------------|-------------|-------|-----------|------|----------|----------|--------------|
|       42 |     6 | feature/onesided |        base |    48 |       400 |  146 |   33.020 |    0.019 |      SUCCESS |
|       42 |    38 | feature/onesided |        must |    48 |       400 |  146 |  230.854 |    2.309 |      SUCCESS |
|       42 |     9 | feature/onesided |        base |    96 |       400 |  184 |   33.715 |    0.029 |      SUCCESS |
|       42 |    39 | feature/onesided |        must |    96 |       400 |  184 |  243.433 |    2.439 |      SUCCESS |
|       42 |    15 | feature/onesided |        base |   192 |       400 |  231 |   34.415 |    0.075 |      SUCCESS |
|       42 |    48 | feature/onesided |        must |   192 |       400 |  231 |  258.738 |    3.197 |      SUCCESS |
|       42 |    19 | feature/onesided |        base |   384 |       400 |  291 |   34.978 |    0.112 |      SUCCESS |
|       42 |    49 | feature/onesided |        must |   384 |       400 |  291 |  272.440 |    1.257 |      SUCCESS |
|       42 |    24 | feature/onesided |        base |   768 |       400 |  367 |   35.440 |    0.271 |      SUCCESS |
|       42 |    58 | feature/onesided |        must |   768 |       400 |  367 |  298.009 |    2.584 |      SUCCESS |
