result:
| bench_id | wp_id |  must_branch | measurement | tasks | CLASS | time_avg | time_std | verification |
|----------|-------|--------------|-------------|-------|-------|----------|----------|--------------|
|       54 |    38 | rmasanitizer |        base |    49 |     D |  338.086 |    0.635 |   SUCCESSFUL |
|       54 |    68 | rmasanitizer |        must |    49 |     D |  785.092 |    1.237 |   SUCCESSFUL |
|       54 |    43 | rmasanitizer |        base |   100 |     D |  165.218 |    2.953 |   SUCCESSFUL |
|       54 |    73 | rmasanitizer |        must |   100 |     D |  461.030 |    1.632 |   SUCCESSFUL |
|       54 |    48 | rmasanitizer |        base |   196 |     D |   83.966 |    1.095 |   SUCCESSFUL |
|       54 |    78 | rmasanitizer |        must |   196 |     D |  310.374 |    1.440 |   SUCCESSFUL |
|       54 |    53 | rmasanitizer |        base |   225 |     D |   75.554 |    0.378 |   SUCCESSFUL |
|       54 |    86 | rmasanitizer |        must |   225 |     D |  285.944 |    0.378 |   SUCCESSFUL |
|       54 |    59 | rmasanitizer |        base |   361 |     D |   48.338 |    0.134 |   SUCCESSFUL |
|       54 |    88 | rmasanitizer |        must |   361 |     D |  217.606 |    1.368 |   SUCCESSFUL |
|       54 |    63 | rmasanitizer |        base |   729 |     D |   26.124 |    0.132 |   SUCCESSFUL |
|       54 |    93 | rmasanitizer |        must |   729 |     D |  184.888 |    1.527 |   SUCCESSFUL |
