nodelist=n23m0147
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 48
Grid size              = 48000
Radius of stencil      = 1
Tiles in x/y-direction = 6/8
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 123836.278798  Avg time (s): 0.204640  Total time (s): 204.640258
[MEMUSAGE] Total Memory Consumption (max_rss): 38763.238 MiB
[MEMUSAGE] Rank 0:	 807.434 MiB
[MEMUSAGE] Rank 1:	 807.477 MiB
[MEMUSAGE] Rank 2:	 807.348 MiB
[MEMUSAGE] Rank 3:	 807.207 MiB
[MEMUSAGE] Rank 4:	 807.418 MiB
[MEMUSAGE] Rank 5:	 807.305 MiB
[MEMUSAGE] Rank 6:	 807.293 MiB
[MEMUSAGE] Rank 7:	 807.422 MiB
[MEMUSAGE] Rank 8:	 807.727 MiB
[MEMUSAGE] Rank 9:	 807.371 MiB
[MEMUSAGE] Rank 10:	 807.430 MiB
[MEMUSAGE] Rank 11:	 807.621 MiB
[MEMUSAGE] Rank 12:	 807.461 MiB
[MEMUSAGE] Rank 13:	 807.613 MiB
[MEMUSAGE] Rank 14:	 807.562 MiB
[MEMUSAGE] Rank 15:	 807.438 MiB
[MEMUSAGE] Rank 16:	 809.203 MiB
[MEMUSAGE] Rank 17:	 807.422 MiB
[MEMUSAGE] Rank 18:	 807.328 MiB
[MEMUSAGE] Rank 19:	 807.246 MiB
[MEMUSAGE] Rank 20:	 807.219 MiB
[MEMUSAGE] Rank 21:	 807.512 MiB
[MEMUSAGE] Rank 22:	 807.324 MiB
[MEMUSAGE] Rank 23:	 807.488 MiB
[MEMUSAGE] Rank 24:	 807.223 MiB
[MEMUSAGE] Rank 25:	 809.461 MiB
[MEMUSAGE] Rank 26:	 807.297 MiB
[MEMUSAGE] Rank 27:	 809.172 MiB
[MEMUSAGE] Rank 28:	 807.562 MiB
[MEMUSAGE] Rank 29:	 807.254 MiB
[MEMUSAGE] Rank 30:	 807.160 MiB
[MEMUSAGE] Rank 31:	 807.051 MiB
[MEMUSAGE] Rank 32:	 807.398 MiB
[MEMUSAGE] Rank 33:	 807.238 MiB
[MEMUSAGE] Rank 34:	 807.219 MiB
[MEMUSAGE] Rank 35:	 807.074 MiB
[MEMUSAGE] Rank 36:	 807.312 MiB
[MEMUSAGE] Rank 37:	 807.355 MiB
[MEMUSAGE] Rank 38:	 807.051 MiB
[MEMUSAGE] Rank 39:	 807.227 MiB
[MEMUSAGE] Rank 40:	 809.387 MiB
[MEMUSAGE] Rank 41:	 807.223 MiB
[MEMUSAGE] Rank 42:	 808.852 MiB
[MEMUSAGE] Rank 43:	 807.293 MiB
[MEMUSAGE] Rank 44:	 809.488 MiB
[MEMUSAGE] Rank 45:	 807.172 MiB
[MEMUSAGE] Rank 46:	 806.891 MiB
[MEMUSAGE] Rank 47:	 807.012 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
