nodelist=n23m[0073-0074]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 96
Grid size              = 67883
Radius of stencil      = 1
Tiles in x/y-direction = 8/12
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 246954.552767  Avg time (s): 0.205245  Total time (s): 205.244776
[MEMUSAGE] Total Memory Consumption (max_rss): 83542.941 MiB
[MEMUSAGE] Rank 0:	 869.996 MiB
[MEMUSAGE] Rank 1:	 870.012 MiB
[MEMUSAGE] Rank 2:	 871.938 MiB
[MEMUSAGE] Rank 3:	 869.934 MiB
[MEMUSAGE] Rank 4:	 870.102 MiB
[MEMUSAGE] Rank 5:	 869.828 MiB
[MEMUSAGE] Rank 6:	 869.949 MiB
[MEMUSAGE] Rank 7:	 869.820 MiB
[MEMUSAGE] Rank 8:	 870.207 MiB
[MEMUSAGE] Rank 9:	 870.188 MiB
[MEMUSAGE] Rank 10:	 872.129 MiB
[MEMUSAGE] Rank 11:	 869.926 MiB
[MEMUSAGE] Rank 12:	 868.109 MiB
[MEMUSAGE] Rank 13:	 870.020 MiB
[MEMUSAGE] Rank 14:	 870.113 MiB
[MEMUSAGE] Rank 15:	 870.105 MiB
[MEMUSAGE] Rank 16:	 870.164 MiB
[MEMUSAGE] Rank 17:	 870.242 MiB
[MEMUSAGE] Rank 18:	 870.156 MiB
[MEMUSAGE] Rank 19:	 870.012 MiB
[MEMUSAGE] Rank 20:	 870.266 MiB
[MEMUSAGE] Rank 21:	 870.098 MiB
[MEMUSAGE] Rank 22:	 871.898 MiB
[MEMUSAGE] Rank 23:	 871.766 MiB
[MEMUSAGE] Rank 24:	 870.371 MiB
[MEMUSAGE] Rank 25:	 870.258 MiB
[MEMUSAGE] Rank 26:	 872.211 MiB
[MEMUSAGE] Rank 27:	 869.906 MiB
[MEMUSAGE] Rank 28:	 870.117 MiB
[MEMUSAGE] Rank 29:	 870.191 MiB
[MEMUSAGE] Rank 30:	 869.945 MiB
[MEMUSAGE] Rank 31:	 870.246 MiB
[MEMUSAGE] Rank 32:	 872.223 MiB
[MEMUSAGE] Rank 33:	 871.969 MiB
[MEMUSAGE] Rank 34:	 870.180 MiB
[MEMUSAGE] Rank 35:	 869.902 MiB
[MEMUSAGE] Rank 36:	 870.059 MiB
[MEMUSAGE] Rank 37:	 870.074 MiB
[MEMUSAGE] Rank 38:	 868.016 MiB
[MEMUSAGE] Rank 39:	 869.887 MiB
[MEMUSAGE] Rank 40:	 869.777 MiB
[MEMUSAGE] Rank 41:	 869.914 MiB
[MEMUSAGE] Rank 42:	 872.145 MiB
[MEMUSAGE] Rank 43:	 869.824 MiB
[MEMUSAGE] Rank 44:	 869.875 MiB
[MEMUSAGE] Rank 45:	 869.895 MiB
[MEMUSAGE] Rank 46:	 870.062 MiB
[MEMUSAGE] Rank 47:	 870.109 MiB
[MEMUSAGE] Rank 48:	 870.273 MiB
[MEMUSAGE] Rank 49:	 870.105 MiB
[MEMUSAGE] Rank 50:	 870.012 MiB
[MEMUSAGE] Rank 51:	 870.051 MiB
[MEMUSAGE] Rank 52:	 870.016 MiB
[MEMUSAGE] Rank 53:	 869.926 MiB
[MEMUSAGE] Rank 54:	 869.973 MiB
[MEMUSAGE] Rank 55:	 869.859 MiB
[MEMUSAGE] Rank 56:	 870.191 MiB
[MEMUSAGE] Rank 57:	 870.266 MiB
[MEMUSAGE] Rank 58:	 870.238 MiB
[MEMUSAGE] Rank 59:	 871.988 MiB
[MEMUSAGE] Rank 60:	 870.086 MiB
[MEMUSAGE] Rank 61:	 870.012 MiB
[MEMUSAGE] Rank 62:	 868.086 MiB
[MEMUSAGE] Rank 63:	 872.102 MiB
[MEMUSAGE] Rank 64:	 870.230 MiB
[MEMUSAGE] Rank 65:	 870.074 MiB
[MEMUSAGE] Rank 66:	 870.289 MiB
[MEMUSAGE] Rank 67:	 870.133 MiB
[MEMUSAGE] Rank 68:	 870.062 MiB
[MEMUSAGE] Rank 69:	 870.316 MiB
[MEMUSAGE] Rank 70:	 870.027 MiB
[MEMUSAGE] Rank 71:	 872.012 MiB
[MEMUSAGE] Rank 72:	 870.129 MiB
[MEMUSAGE] Rank 73:	 870.297 MiB
[MEMUSAGE] Rank 74:	 870.023 MiB
[MEMUSAGE] Rank 75:	 870.094 MiB
[MEMUSAGE] Rank 76:	 868.039 MiB
[MEMUSAGE] Rank 77:	 870.102 MiB
[MEMUSAGE] Rank 78:	 870.156 MiB
[MEMUSAGE] Rank 79:	 870.008 MiB
[MEMUSAGE] Rank 80:	 872.031 MiB
[MEMUSAGE] Rank 81:	 869.992 MiB
[MEMUSAGE] Rank 82:	 870.180 MiB
[MEMUSAGE] Rank 83:	 869.871 MiB
[MEMUSAGE] Rank 84:	 870.160 MiB
[MEMUSAGE] Rank 85:	 869.887 MiB
[MEMUSAGE] Rank 86:	 872.074 MiB
[MEMUSAGE] Rank 87:	 869.926 MiB
[MEMUSAGE] Rank 88:	 869.895 MiB
[MEMUSAGE] Rank 89:	 869.934 MiB
[MEMUSAGE] Rank 90:	 869.738 MiB
[MEMUSAGE] Rank 91:	 871.613 MiB
[MEMUSAGE] Rank 92:	 869.781 MiB
[MEMUSAGE] Rank 93:	 869.648 MiB
[MEMUSAGE] Rank 94:	 869.445 MiB
[MEMUSAGE] Rank 95:	 869.457 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
