nodelist=r23m[0154-0157]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 414308.729250  Avg time (s): 0.244677  Total time (s): 244.676901
[MEMUSAGE] Total Memory Consumption (max_rss): 167294.539 MiB
[MEMUSAGE] Rank 0:	 870.922 MiB
[MEMUSAGE] Rank 1:	 871.215 MiB
[MEMUSAGE] Rank 2:	 871.090 MiB
[MEMUSAGE] Rank 3:	 871.039 MiB
[MEMUSAGE] Rank 4:	 871.352 MiB
[MEMUSAGE] Rank 5:	 873.016 MiB
[MEMUSAGE] Rank 6:	 870.996 MiB
[MEMUSAGE] Rank 7:	 871.191 MiB
[MEMUSAGE] Rank 8:	 871.254 MiB
[MEMUSAGE] Rank 9:	 871.078 MiB
[MEMUSAGE] Rank 10:	 870.988 MiB
[MEMUSAGE] Rank 11:	 870.980 MiB
[MEMUSAGE] Rank 12:	 871.055 MiB
[MEMUSAGE] Rank 13:	 871.375 MiB
[MEMUSAGE] Rank 14:	 873.270 MiB
[MEMUSAGE] Rank 15:	 869.289 MiB
[MEMUSAGE] Rank 16:	 871.141 MiB
[MEMUSAGE] Rank 17:	 873.230 MiB
[MEMUSAGE] Rank 18:	 871.281 MiB
[MEMUSAGE] Rank 19:	 871.125 MiB
[MEMUSAGE] Rank 20:	 871.359 MiB
[MEMUSAGE] Rank 21:	 871.250 MiB
[MEMUSAGE] Rank 22:	 873.008 MiB
[MEMUSAGE] Rank 23:	 871.254 MiB
[MEMUSAGE] Rank 24:	 871.391 MiB
[MEMUSAGE] Rank 25:	 871.316 MiB
[MEMUSAGE] Rank 26:	 871.297 MiB
[MEMUSAGE] Rank 27:	 871.145 MiB
[MEMUSAGE] Rank 28:	 873.258 MiB
[MEMUSAGE] Rank 29:	 871.270 MiB
[MEMUSAGE] Rank 30:	 871.129 MiB
[MEMUSAGE] Rank 31:	 871.129 MiB
[MEMUSAGE] Rank 32:	 871.270 MiB
[MEMUSAGE] Rank 33:	 871.348 MiB
[MEMUSAGE] Rank 34:	 871.242 MiB
[MEMUSAGE] Rank 35:	 871.172 MiB
[MEMUSAGE] Rank 36:	 871.078 MiB
[MEMUSAGE] Rank 37:	 870.961 MiB
[MEMUSAGE] Rank 38:	 871.156 MiB
[MEMUSAGE] Rank 39:	 870.891 MiB
[MEMUSAGE] Rank 40:	 873.184 MiB
[MEMUSAGE] Rank 41:	 871.270 MiB
[MEMUSAGE] Rank 42:	 871.047 MiB
[MEMUSAGE] Rank 43:	 873.035 MiB
[MEMUSAGE] Rank 44:	 871.199 MiB
[MEMUSAGE] Rank 45:	 871.090 MiB
[MEMUSAGE] Rank 46:	 871.062 MiB
[MEMUSAGE] Rank 47:	 871.062 MiB
[MEMUSAGE] Rank 48:	 871.047 MiB
[MEMUSAGE] Rank 49:	 871.090 MiB
[MEMUSAGE] Rank 50:	 873.223 MiB
[MEMUSAGE] Rank 51:	 871.277 MiB
[MEMUSAGE] Rank 52:	 872.988 MiB
[MEMUSAGE] Rank 53:	 871.121 MiB
[MEMUSAGE] Rank 54:	 871.242 MiB
[MEMUSAGE] Rank 55:	 870.961 MiB
[MEMUSAGE] Rank 56:	 871.285 MiB
[MEMUSAGE] Rank 57:	 871.160 MiB
[MEMUSAGE] Rank 58:	 871.277 MiB
[MEMUSAGE] Rank 59:	 871.145 MiB
[MEMUSAGE] Rank 60:	 871.270 MiB
[MEMUSAGE] Rank 61:	 871.355 MiB
[MEMUSAGE] Rank 62:	 873.047 MiB
[MEMUSAGE] Rank 63:	 873.293 MiB
[MEMUSAGE] Rank 64:	 871.332 MiB
[MEMUSAGE] Rank 65:	 871.133 MiB
[MEMUSAGE] Rank 66:	 871.199 MiB
[MEMUSAGE] Rank 67:	 871.125 MiB
[MEMUSAGE] Rank 68:	 871.352 MiB
[MEMUSAGE] Rank 69:	 871.176 MiB
[MEMUSAGE] Rank 70:	 873.059 MiB
[MEMUSAGE] Rank 71:	 871.086 MiB
[MEMUSAGE] Rank 72:	 871.000 MiB
[MEMUSAGE] Rank 73:	 871.055 MiB
[MEMUSAGE] Rank 74:	 871.262 MiB
[MEMUSAGE] Rank 75:	 871.074 MiB
[MEMUSAGE] Rank 76:	 869.086 MiB
[MEMUSAGE] Rank 77:	 868.977 MiB
[MEMUSAGE] Rank 78:	 871.223 MiB
[MEMUSAGE] Rank 79:	 871.004 MiB
[MEMUSAGE] Rank 80:	 871.117 MiB
[MEMUSAGE] Rank 81:	 870.977 MiB
[MEMUSAGE] Rank 82:	 871.262 MiB
[MEMUSAGE] Rank 83:	 871.176 MiB
[MEMUSAGE] Rank 84:	 871.012 MiB
[MEMUSAGE] Rank 85:	 871.023 MiB
[MEMUSAGE] Rank 86:	 870.961 MiB
[MEMUSAGE] Rank 87:	 870.941 MiB
[MEMUSAGE] Rank 88:	 871.109 MiB
[MEMUSAGE] Rank 89:	 871.172 MiB
[MEMUSAGE] Rank 90:	 872.918 MiB
[MEMUSAGE] Rank 91:	 870.988 MiB
[MEMUSAGE] Rank 92:	 871.098 MiB
[MEMUSAGE] Rank 93:	 870.832 MiB
[MEMUSAGE] Rank 94:	 871.152 MiB
[MEMUSAGE] Rank 95:	 870.832 MiB
[MEMUSAGE] Rank 96:	 873.012 MiB
[MEMUSAGE] Rank 97:	 873.109 MiB
[MEMUSAGE] Rank 98:	 871.172 MiB
[MEMUSAGE] Rank 99:	 871.320 MiB
[MEMUSAGE] Rank 100:	 871.430 MiB
[MEMUSAGE] Rank 101:	 871.305 MiB
[MEMUSAGE] Rank 102:	 871.320 MiB
[MEMUSAGE] Rank 103:	 871.281 MiB
[MEMUSAGE] Rank 104:	 871.285 MiB
[MEMUSAGE] Rank 105:	 871.230 MiB
[MEMUSAGE] Rank 106:	 871.199 MiB
[MEMUSAGE] Rank 107:	 871.254 MiB
[MEMUSAGE] Rank 108:	 871.168 MiB
[MEMUSAGE] Rank 109:	 871.219 MiB
[MEMUSAGE] Rank 110:	 871.062 MiB
[MEMUSAGE] Rank 111:	 873.051 MiB
[MEMUSAGE] Rank 112:	 870.984 MiB
[MEMUSAGE] Rank 113:	 871.027 MiB
[MEMUSAGE] Rank 114:	 871.152 MiB
[MEMUSAGE] Rank 115:	 871.211 MiB
[MEMUSAGE] Rank 116:	 871.082 MiB
[MEMUSAGE] Rank 117:	 871.117 MiB
[MEMUSAGE] Rank 118:	 871.145 MiB
[MEMUSAGE] Rank 119:	 873.055 MiB
[MEMUSAGE] Rank 120:	 871.156 MiB
[MEMUSAGE] Rank 121:	 871.012 MiB
[MEMUSAGE] Rank 122:	 871.203 MiB
[MEMUSAGE] Rank 123:	 871.211 MiB
[MEMUSAGE] Rank 124:	 871.281 MiB
[MEMUSAGE] Rank 125:	 871.082 MiB
[MEMUSAGE] Rank 126:	 871.070 MiB
[MEMUSAGE] Rank 127:	 871.332 MiB
[MEMUSAGE] Rank 128:	 871.051 MiB
