nodelist=r23m[0018-0024,0026]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 828262.219700  Avg time (s): 0.244787  Total time (s): 244.786626
[MEMUSAGE] Total Memory Consumption (max_rss): 335401.023 MiB
[MEMUSAGE] Rank 0:	 875.367 MiB
[MEMUSAGE] Rank 1:	 873.555 MiB
[MEMUSAGE] Rank 2:	 873.305 MiB
[MEMUSAGE] Rank 3:	 875.312 MiB
[MEMUSAGE] Rank 4:	 873.469 MiB
[MEMUSAGE] Rank 5:	 873.254 MiB
[MEMUSAGE] Rank 6:	 873.461 MiB
[MEMUSAGE] Rank 7:	 873.270 MiB
[MEMUSAGE] Rank 8:	 873.461 MiB
[MEMUSAGE] Rank 9:	 873.375 MiB
[MEMUSAGE] Rank 10:	 873.207 MiB
[MEMUSAGE] Rank 11:	 873.195 MiB
[MEMUSAGE] Rank 12:	 873.098 MiB
[MEMUSAGE] Rank 13:	 873.395 MiB
[MEMUSAGE] Rank 14:	 871.453 MiB
[MEMUSAGE] Rank 15:	 875.289 MiB
[MEMUSAGE] Rank 16:	 873.578 MiB
[MEMUSAGE] Rank 17:	 873.445 MiB
[MEMUSAGE] Rank 18:	 873.578 MiB
[MEMUSAGE] Rank 19:	 873.520 MiB
[MEMUSAGE] Rank 20:	 873.688 MiB
[MEMUSAGE] Rank 21:	 873.387 MiB
[MEMUSAGE] Rank 22:	 873.613 MiB
[MEMUSAGE] Rank 23:	 873.434 MiB
[MEMUSAGE] Rank 24:	 875.414 MiB
[MEMUSAGE] Rank 25:	 873.355 MiB
[MEMUSAGE] Rank 26:	 873.633 MiB
[MEMUSAGE] Rank 27:	 873.172 MiB
[MEMUSAGE] Rank 28:	 873.504 MiB
[MEMUSAGE] Rank 29:	 873.406 MiB
[MEMUSAGE] Rank 30:	 873.352 MiB
[MEMUSAGE] Rank 31:	 875.258 MiB
[MEMUSAGE] Rank 32:	 873.438 MiB
[MEMUSAGE] Rank 33:	 873.410 MiB
[MEMUSAGE] Rank 34:	 873.320 MiB
[MEMUSAGE] Rank 35:	 873.426 MiB
[MEMUSAGE] Rank 36:	 873.594 MiB
[MEMUSAGE] Rank 37:	 873.180 MiB
[MEMUSAGE] Rank 38:	 873.227 MiB
[MEMUSAGE] Rank 39:	 873.297 MiB
[MEMUSAGE] Rank 40:	 873.250 MiB
[MEMUSAGE] Rank 41:	 873.117 MiB
[MEMUSAGE] Rank 42:	 875.340 MiB
[MEMUSAGE] Rank 43:	 873.195 MiB
[MEMUSAGE] Rank 44:	 873.332 MiB
[MEMUSAGE] Rank 45:	 873.391 MiB
[MEMUSAGE] Rank 46:	 873.441 MiB
[MEMUSAGE] Rank 47:	 873.391 MiB
[MEMUSAGE] Rank 48:	 873.414 MiB
[MEMUSAGE] Rank 49:	 873.488 MiB
[MEMUSAGE] Rank 50:	 873.551 MiB
[MEMUSAGE] Rank 51:	 873.316 MiB
[MEMUSAGE] Rank 52:	 875.496 MiB
[MEMUSAGE] Rank 53:	 873.316 MiB
[MEMUSAGE] Rank 54:	 873.312 MiB
[MEMUSAGE] Rank 55:	 873.391 MiB
[MEMUSAGE] Rank 56:	 875.449 MiB
[MEMUSAGE] Rank 57:	 873.457 MiB
[MEMUSAGE] Rank 58:	 873.488 MiB
[MEMUSAGE] Rank 59:	 873.367 MiB
[MEMUSAGE] Rank 60:	 873.609 MiB
[MEMUSAGE] Rank 61:	 873.223 MiB
[MEMUSAGE] Rank 62:	 873.531 MiB
[MEMUSAGE] Rank 63:	 873.531 MiB
[MEMUSAGE] Rank 64:	 873.430 MiB
[MEMUSAGE] Rank 65:	 873.461 MiB
[MEMUSAGE] Rank 66:	 873.625 MiB
[MEMUSAGE] Rank 67:	 873.434 MiB
[MEMUSAGE] Rank 68:	 873.758 MiB
[MEMUSAGE] Rank 69:	 873.422 MiB
[MEMUSAGE] Rank 70:	 873.410 MiB
[MEMUSAGE] Rank 71:	 875.340 MiB
[MEMUSAGE] Rank 72:	 873.293 MiB
[MEMUSAGE] Rank 73:	 875.371 MiB
[MEMUSAGE] Rank 74:	 873.414 MiB
[MEMUSAGE] Rank 75:	 873.309 MiB
[MEMUSAGE] Rank 76:	 875.199 MiB
[MEMUSAGE] Rank 77:	 873.277 MiB
[MEMUSAGE] Rank 78:	 873.383 MiB
[MEMUSAGE] Rank 79:	 873.188 MiB
[MEMUSAGE] Rank 80:	 873.395 MiB
[MEMUSAGE] Rank 81:	 873.219 MiB
[MEMUSAGE] Rank 82:	 873.441 MiB
[MEMUSAGE] Rank 83:	 873.117 MiB
[MEMUSAGE] Rank 84:	 873.594 MiB
[MEMUSAGE] Rank 85:	 871.348 MiB
[MEMUSAGE] Rank 86:	 873.266 MiB
[MEMUSAGE] Rank 87:	 873.266 MiB
[MEMUSAGE] Rank 88:	 873.355 MiB
[MEMUSAGE] Rank 89:	 873.184 MiB
[MEMUSAGE] Rank 90:	 873.168 MiB
[MEMUSAGE] Rank 91:	 873.129 MiB
[MEMUSAGE] Rank 92:	 873.324 MiB
[MEMUSAGE] Rank 93:	 875.328 MiB
[MEMUSAGE] Rank 94:	 873.266 MiB
[MEMUSAGE] Rank 95:	 875.184 MiB
[MEMUSAGE] Rank 96:	 873.461 MiB
[MEMUSAGE] Rank 97:	 875.344 MiB
[MEMUSAGE] Rank 98:	 873.570 MiB
[MEMUSAGE] Rank 99:	 875.281 MiB
[MEMUSAGE] Rank 100:	 873.246 MiB
[MEMUSAGE] Rank 101:	 875.293 MiB
[MEMUSAGE] Rank 102:	 873.363 MiB
[MEMUSAGE] Rank 103:	 873.078 MiB
[MEMUSAGE] Rank 104:	 873.312 MiB
[MEMUSAGE] Rank 105:	 873.066 MiB
[MEMUSAGE] Rank 106:	 873.352 MiB
[MEMUSAGE] Rank 107:	 873.285 MiB
[MEMUSAGE] Rank 108:	 873.398 MiB
[MEMUSAGE] Rank 109:	 873.184 MiB
[MEMUSAGE] Rank 110:	 875.250 MiB
[MEMUSAGE] Rank 111:	 873.250 MiB
[MEMUSAGE] Rank 112:	 873.727 MiB
[MEMUSAGE] Rank 113:	 871.332 MiB
[MEMUSAGE] Rank 114:	 873.613 MiB
[MEMUSAGE] Rank 115:	 873.512 MiB
[MEMUSAGE] Rank 116:	 875.430 MiB
[MEMUSAGE] Rank 117:	 873.367 MiB
[MEMUSAGE] Rank 118:	 873.430 MiB
[MEMUSAGE] Rank 119:	 873.441 MiB
[MEMUSAGE] Rank 120:	 873.371 MiB
[MEMUSAGE] Rank 121:	 873.438 MiB
[MEMUSAGE] Rank 122:	 873.590 MiB
[MEMUSAGE] Rank 123:	 873.301 MiB
[MEMUSAGE] Rank 124:	 871.547 MiB
[MEMUSAGE] Rank 125:	 873.434 MiB
[MEMUSAGE] Rank 126:	 871.316 MiB
[MEMUSAGE] Rank 127:	 873.250 MiB
[MEMUSAGE] Rank 128:	 873.395 MiB
[MEMUSAGE] Rank 129:	 873.473 MiB
[MEMUSAGE] Rank 130:	 873.301 MiB
[MEMUSAGE] Rank 131:	 873.043 MiB
[MEMUSAGE] Rank 132:	 873.254 MiB
[MEMUSAGE] Rank 133:	 873.074 MiB
[MEMUSAGE] Rank 134:	 873.230 MiB
[MEMUSAGE] Rank 135:	 871.250 MiB
[MEMUSAGE] Rank 136:	 873.418 MiB
[MEMUSAGE] Rank 137:	 873.410 MiB
[MEMUSAGE] Rank 138:	 877.293 MiB
[MEMUSAGE] Rank 139:	 872.977 MiB
[MEMUSAGE] Rank 140:	 873.297 MiB
[MEMUSAGE] Rank 141:	 873.234 MiB
[MEMUSAGE] Rank 142:	 873.316 MiB
[MEMUSAGE] Rank 143:	 873.121 MiB
[MEMUSAGE] Rank 144:	 873.488 MiB
[MEMUSAGE] Rank 145:	 873.426 MiB
[MEMUSAGE] Rank 146:	 873.570 MiB
[MEMUSAGE] Rank 147:	 871.422 MiB
[MEMUSAGE] Rank 148:	 873.426 MiB
[MEMUSAGE] Rank 149:	 873.195 MiB
[MEMUSAGE] Rank 150:	 873.156 MiB
[MEMUSAGE] Rank 151:	 873.121 MiB
[MEMUSAGE] Rank 152:	 873.414 MiB
[MEMUSAGE] Rank 153:	 873.395 MiB
[MEMUSAGE] Rank 154:	 873.086 MiB
[MEMUSAGE] Rank 155:	 875.090 MiB
[MEMUSAGE] Rank 156:	 875.387 MiB
[MEMUSAGE] Rank 157:	 873.203 MiB
[MEMUSAGE] Rank 158:	 873.238 MiB
[MEMUSAGE] Rank 159:	 873.402 MiB
[MEMUSAGE] Rank 160:	 873.707 MiB
[MEMUSAGE] Rank 161:	 873.371 MiB
[MEMUSAGE] Rank 162:	 873.406 MiB
[MEMUSAGE] Rank 163:	 873.578 MiB
[MEMUSAGE] Rank 164:	 873.492 MiB
[MEMUSAGE] Rank 165:	 873.375 MiB
[MEMUSAGE] Rank 166:	 873.355 MiB
[MEMUSAGE] Rank 167:	 873.430 MiB
[MEMUSAGE] Rank 168:	 873.395 MiB
[MEMUSAGE] Rank 169:	 873.367 MiB
[MEMUSAGE] Rank 170:	 873.371 MiB
[MEMUSAGE] Rank 171:	 873.285 MiB
[MEMUSAGE] Rank 172:	 873.266 MiB
[MEMUSAGE] Rank 173:	 873.176 MiB
[MEMUSAGE] Rank 174:	 873.242 MiB
[MEMUSAGE] Rank 175:	 873.129 MiB
[MEMUSAGE] Rank 176:	 873.559 MiB
[MEMUSAGE] Rank 177:	 873.312 MiB
[MEMUSAGE] Rank 178:	 873.133 MiB
[MEMUSAGE] Rank 179:	 873.402 MiB
[MEMUSAGE] Rank 180:	 873.434 MiB
[MEMUSAGE] Rank 181:	 871.238 MiB
[MEMUSAGE] Rank 182:	 873.219 MiB
[MEMUSAGE] Rank 183:	 873.160 MiB
[MEMUSAGE] Rank 184:	 873.285 MiB
[MEMUSAGE] Rank 185:	 873.004 MiB
[MEMUSAGE] Rank 186:	 873.176 MiB
[MEMUSAGE] Rank 187:	 871.348 MiB
[MEMUSAGE] Rank 188:	 873.500 MiB
[MEMUSAGE] Rank 189:	 873.230 MiB
[MEMUSAGE] Rank 190:	 873.180 MiB
[MEMUSAGE] Rank 191:	 873.125 MiB
[MEMUSAGE] Rank 192:	 873.473 MiB
[MEMUSAGE] Rank 193:	 873.211 MiB
[MEMUSAGE] Rank 194:	 873.555 MiB
[MEMUSAGE] Rank 195:	 871.141 MiB
[MEMUSAGE] Rank 196:	 873.223 MiB
[MEMUSAGE] Rank 197:	 873.148 MiB
[MEMUSAGE] Rank 198:	 873.379 MiB
[MEMUSAGE] Rank 199:	 875.547 MiB
[MEMUSAGE] Rank 200:	 873.566 MiB
[MEMUSAGE] Rank 201:	 873.480 MiB
[MEMUSAGE] Rank 202:	 873.422 MiB
[MEMUSAGE] Rank 203:	 873.371 MiB
[MEMUSAGE] Rank 204:	 873.500 MiB
[MEMUSAGE] Rank 205:	 873.207 MiB
[MEMUSAGE] Rank 206:	 873.520 MiB
[MEMUSAGE] Rank 207:	 873.520 MiB
[MEMUSAGE] Rank 208:	 873.535 MiB
[MEMUSAGE] Rank 209:	 873.426 MiB
[MEMUSAGE] Rank 210:	 873.586 MiB
[MEMUSAGE] Rank 211:	 873.523 MiB
[MEMUSAGE] Rank 212:	 873.527 MiB
[MEMUSAGE] Rank 213:	 871.207 MiB
[MEMUSAGE] Rank 214:	 873.477 MiB
[MEMUSAGE] Rank 215:	 875.359 MiB
[MEMUSAGE] Rank 216:	 871.488 MiB
[MEMUSAGE] Rank 217:	 873.406 MiB
[MEMUSAGE] Rank 218:	 875.297 MiB
[MEMUSAGE] Rank 219:	 873.598 MiB
[MEMUSAGE] Rank 220:	 873.531 MiB
