nodelist=n23m[0026,0038-0040,0042-0045,0047,0049,0051-0055,0058]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1654147.142138  Avg time (s): 0.245139  Total time (s): 245.138744
[MEMUSAGE] Total Memory Consumption (max_rss): 674365.660 MiB
[MEMUSAGE] Rank 0:	 878.086 MiB
[MEMUSAGE] Rank 1:	 877.762 MiB
[MEMUSAGE] Rank 2:	 877.777 MiB
[MEMUSAGE] Rank 3:	 879.832 MiB
[MEMUSAGE] Rank 4:	 878.102 MiB
[MEMUSAGE] Rank 5:	 877.828 MiB
[MEMUSAGE] Rank 6:	 879.945 MiB
[MEMUSAGE] Rank 7:	 877.977 MiB
[MEMUSAGE] Rank 8:	 878.145 MiB
[MEMUSAGE] Rank 9:	 877.992 MiB
[MEMUSAGE] Rank 10:	 877.930 MiB
[MEMUSAGE] Rank 11:	 877.926 MiB
[MEMUSAGE] Rank 12:	 877.816 MiB
[MEMUSAGE] Rank 13:	 877.984 MiB
[MEMUSAGE] Rank 14:	 878.012 MiB
[MEMUSAGE] Rank 15:	 877.953 MiB
[MEMUSAGE] Rank 16:	 877.984 MiB
[MEMUSAGE] Rank 17:	 877.816 MiB
[MEMUSAGE] Rank 18:	 878.051 MiB
[MEMUSAGE] Rank 19:	 877.965 MiB
[MEMUSAGE] Rank 20:	 879.961 MiB
[MEMUSAGE] Rank 21:	 877.902 MiB
[MEMUSAGE] Rank 22:	 878.012 MiB
[MEMUSAGE] Rank 23:	 877.883 MiB
[MEMUSAGE] Rank 24:	 877.797 MiB
[MEMUSAGE] Rank 25:	 875.992 MiB
[MEMUSAGE] Rank 26:	 878.152 MiB
[MEMUSAGE] Rank 27:	 877.684 MiB
[MEMUSAGE] Rank 28:	 878.023 MiB
[MEMUSAGE] Rank 29:	 875.906 MiB
[MEMUSAGE] Rank 30:	 877.898 MiB
[MEMUSAGE] Rank 31:	 879.926 MiB
[MEMUSAGE] Rank 32:	 878.156 MiB
[MEMUSAGE] Rank 33:	 878.047 MiB
[MEMUSAGE] Rank 34:	 877.871 MiB
[MEMUSAGE] Rank 35:	 878.004 MiB
[MEMUSAGE] Rank 36:	 878.012 MiB
[MEMUSAGE] Rank 37:	 877.820 MiB
[MEMUSAGE] Rank 38:	 877.848 MiB
[MEMUSAGE] Rank 39:	 877.848 MiB
[MEMUSAGE] Rank 40:	 878.023 MiB
[MEMUSAGE] Rank 41:	 877.816 MiB
[MEMUSAGE] Rank 42:	 878.133 MiB
[MEMUSAGE] Rank 43:	 875.902 MiB
[MEMUSAGE] Rank 44:	 875.883 MiB
[MEMUSAGE] Rank 45:	 875.945 MiB
[MEMUSAGE] Rank 46:	 877.992 MiB
[MEMUSAGE] Rank 47:	 877.656 MiB
[MEMUSAGE] Rank 48:	 877.852 MiB
[MEMUSAGE] Rank 49:	 877.859 MiB
[MEMUSAGE] Rank 50:	 879.941 MiB
[MEMUSAGE] Rank 51:	 878.078 MiB
[MEMUSAGE] Rank 52:	 878.020 MiB
[MEMUSAGE] Rank 53:	 878.094 MiB
[MEMUSAGE] Rank 54:	 876.055 MiB
[MEMUSAGE] Rank 55:	 877.836 MiB
[MEMUSAGE] Rank 56:	 880.098 MiB
[MEMUSAGE] Rank 57:	 877.941 MiB
[MEMUSAGE] Rank 58:	 878.051 MiB
[MEMUSAGE] Rank 59:	 878.094 MiB
[MEMUSAGE] Rank 60:	 878.090 MiB
[MEMUSAGE] Rank 61:	 877.957 MiB
[MEMUSAGE] Rank 62:	 877.766 MiB
[MEMUSAGE] Rank 63:	 878.145 MiB
[MEMUSAGE] Rank 64:	 878.109 MiB
[MEMUSAGE] Rank 65:	 875.785 MiB
[MEMUSAGE] Rank 66:	 877.703 MiB
[MEMUSAGE] Rank 67:	 877.609 MiB
[MEMUSAGE] Rank 68:	 877.695 MiB
[MEMUSAGE] Rank 69:	 877.887 MiB
[MEMUSAGE] Rank 70:	 878.035 MiB
[MEMUSAGE] Rank 71:	 877.855 MiB
[MEMUSAGE] Rank 72:	 878.023 MiB
[MEMUSAGE] Rank 73:	 877.805 MiB
[MEMUSAGE] Rank 74:	 877.973 MiB
[MEMUSAGE] Rank 75:	 877.707 MiB
[MEMUSAGE] Rank 76:	 877.969 MiB
[MEMUSAGE] Rank 77:	 877.859 MiB
[MEMUSAGE] Rank 78:	 877.805 MiB
[MEMUSAGE] Rank 79:	 877.695 MiB
[MEMUSAGE] Rank 80:	 878.016 MiB
[MEMUSAGE] Rank 81:	 879.867 MiB
[MEMUSAGE] Rank 82:	 878.082 MiB
[MEMUSAGE] Rank 83:	 877.953 MiB
[MEMUSAGE] Rank 84:	 877.949 MiB
[MEMUSAGE] Rank 85:	 877.938 MiB
