nodelist=n23m[0215-0216,0237,0239-0251]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1652540.206831  Avg time (s): 0.245377  Total time (s): 245.377117
[MEMUSAGE] Total Memory Consumption (max_rss): 674417.492 MiB
[MEMUSAGE] Rank 0:	 877.949 MiB
[MEMUSAGE] Rank 1:	 877.762 MiB
[MEMUSAGE] Rank 2:	 878.035 MiB
[MEMUSAGE] Rank 3:	 877.840 MiB
[MEMUSAGE] Rank 4:	 879.977 MiB
[MEMUSAGE] Rank 5:	 879.758 MiB
[MEMUSAGE] Rank 6:	 877.902 MiB
[MEMUSAGE] Rank 7:	 875.906 MiB
[MEMUSAGE] Rank 8:	 877.957 MiB
[MEMUSAGE] Rank 9:	 877.941 MiB
[MEMUSAGE] Rank 10:	 880.016 MiB
[MEMUSAGE] Rank 11:	 880.004 MiB
[MEMUSAGE] Rank 12:	 877.922 MiB
[MEMUSAGE] Rank 13:	 879.859 MiB
[MEMUSAGE] Rank 14:	 878.004 MiB
[MEMUSAGE] Rank 15:	 877.980 MiB
[MEMUSAGE] Rank 16:	 877.926 MiB
[MEMUSAGE] Rank 17:	 877.859 MiB
[MEMUSAGE] Rank 18:	 877.918 MiB
[MEMUSAGE] Rank 19:	 877.891 MiB
[MEMUSAGE] Rank 20:	 877.871 MiB
[MEMUSAGE] Rank 21:	 877.754 MiB
[MEMUSAGE] Rank 22:	 880.027 MiB
[MEMUSAGE] Rank 23:	 877.703 MiB
[MEMUSAGE] Rank 24:	 877.961 MiB
[MEMUSAGE] Rank 25:	 878.098 MiB
[MEMUSAGE] Rank 26:	 878.031 MiB
[MEMUSAGE] Rank 27:	 878.023 MiB
[MEMUSAGE] Rank 28:	 877.812 MiB
[MEMUSAGE] Rank 29:	 877.875 MiB
[MEMUSAGE] Rank 30:	 878.074 MiB
[MEMUSAGE] Rank 31:	 875.855 MiB
[MEMUSAGE] Rank 32:	 877.812 MiB
[MEMUSAGE] Rank 33:	 877.746 MiB
[MEMUSAGE] Rank 34:	 880.023 MiB
[MEMUSAGE] Rank 35:	 877.980 MiB
[MEMUSAGE] Rank 36:	 877.824 MiB
[MEMUSAGE] Rank 37:	 879.820 MiB
[MEMUSAGE] Rank 38:	 877.953 MiB
[MEMUSAGE] Rank 39:	 877.980 MiB
[MEMUSAGE] Rank 40:	 878.047 MiB
[MEMUSAGE] Rank 41:	 877.613 MiB
[MEMUSAGE] Rank 42:	 877.773 MiB
[MEMUSAGE] Rank 43:	 877.785 MiB
