nodelist=n23m[0275-0276,0278-0288,0291-0293]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1598137.704710  Avg time (s): 0.253730  Total time (s): 253.730045
[MEMUSAGE] Total Memory Consumption (max_rss): 674356.762 MiB
[MEMUSAGE] Rank 0:	 877.770 MiB
[MEMUSAGE] Rank 1:	 877.840 MiB
[MEMUSAGE] Rank 2:	 877.930 MiB
[MEMUSAGE] Rank 3:	 878.000 MiB
[MEMUSAGE] Rank 4:	 877.895 MiB
[MEMUSAGE] Rank 5:	 877.879 MiB
[MEMUSAGE] Rank 6:	 877.906 MiB
[MEMUSAGE] Rank 7:	 877.895 MiB
[MEMUSAGE] Rank 8:	 877.859 MiB
[MEMUSAGE] Rank 9:	 877.695 MiB
[MEMUSAGE] Rank 10:	 878.133 MiB
[MEMUSAGE] Rank 11:	 877.832 MiB
[MEMUSAGE] Rank 12:	 877.977 MiB
[MEMUSAGE] Rank 13:	 875.879 MiB
[MEMUSAGE] Rank 14:	 878.109 MiB
[MEMUSAGE] Rank 15:	 877.926 MiB
[MEMUSAGE] Rank 16:	 877.957 MiB
[MEMUSAGE] Rank 17:	 877.984 MiB
[MEMUSAGE] Rank 18:	 877.953 MiB
[MEMUSAGE] Rank 19:	 878.059 MiB
[MEMUSAGE] Rank 20:	 877.812 MiB
[MEMUSAGE] Rank 21:	 878.094 MiB
[MEMUSAGE] Rank 22:	 877.867 MiB
[MEMUSAGE] Rank 23:	 879.902 MiB
[MEMUSAGE] Rank 24:	 877.984 MiB
[MEMUSAGE] Rank 25:	 877.875 MiB
[MEMUSAGE] Rank 26:	 880.195 MiB
[MEMUSAGE] Rank 27:	 877.898 MiB
[MEMUSAGE] Rank 28:	 878.176 MiB
[MEMUSAGE] Rank 29:	 878.129 MiB
[MEMUSAGE] Rank 30:	 878.023 MiB
[MEMUSAGE] Rank 31:	 877.977 MiB
[MEMUSAGE] Rank 32:	 878.012 MiB
[MEMUSAGE] Rank 33:	 877.922 MiB
[MEMUSAGE] Rank 34:	 877.988 MiB
[MEMUSAGE] Rank 35:	 878.129 MiB
[MEMUSAGE] Rank 36:	 877.844 MiB
[MEMUSAGE] Rank 37:	 877.887 MiB
[MEMUSAGE] Rank 38:	 877.871 MiB
[MEMUSAGE] Rank 39:	 877.867 MiB
[MEMUSAGE] Rank 40:	 879.988 MiB
[MEMUSAGE] Rank 41:	 877.836 MiB
[MEMUSAGE] Rank 42:	 877.961 MiB
[MEMUSAGE] Rank 43:	 878.062 MiB
[MEMUSAGE] Rank 44:	 878.004 MiB
[MEMUSAGE] Rank 45:	 878.062 MiB
[MEMUSAGE] Rank 46:	 877.945 MiB
[MEMUSAGE] Rank 47:	 877.723 MiB
[MEMUSAGE] Rank 48:	 877.961 MiB
[MEMUSAGE] Rank 49:	 877.863 MiB
[MEMUSAGE] Rank 50:	 877.902 MiB
[MEMUSAGE] Rank 51:	 877.984 MiB
[MEMUSAGE] Rank 52:	 878.023 MiB
[MEMUSAGE] Rank 53:	 877.828 MiB
[MEMUSAGE] Rank 54:	 878.000 MiB
[MEMUSAGE] Rank 55:	 877.617 MiB
[MEMUSAGE] Rank 56:	 877.922 MiB
[MEMUSAGE] Rank 57:	 877.895 MiB
[MEMUSAGE] Rank 58:	 877.734 MiB
[MEMUSAGE] Rank 59:	 877.891 MiB
[MEMUSAGE] Rank 60:	 878.031 MiB
[MEMUSAGE] Rank 61:	 877.902 MiB
[MEMUSAGE] Rank 62:	 880.008 MiB
[MEMUSAGE] Rank 63:	 877.914 MiB
[MEMUSAGE] Rank 64:	 880.020 MiB
[MEMUSAGE] Rank 65:	 877.867 MiB
[MEMUSAGE] Rank 66:	 877.996 MiB
[MEMUSAGE] Rank 67:	 877.777 MiB
[MEMUSAGE] Rank 68:	 878.184 MiB
[MEMUSAGE] Rank 69:	 879.770 MiB
[MEMUSAGE] Rank 70:	 878.199 MiB
[MEMUSAGE] Rank 71:	 877.844 MiB
[MEMUSAGE] Rank 72:	 879.840 MiB
[MEMUSAGE] Rank 73:	 877.891 MiB
[MEMUSAGE] Rank 74:	 876.145 MiB
[MEMUSAGE] Rank 75:	 877.836 MiB
[MEMUSAGE] Rank 76:	 876.043 MiB
[MEMUSAGE] Rank 77:	 877.719 MiB
[MEMUSAGE] Rank 78:	 877.805 MiB
[MEMUSAGE] Rank 79:	 877.648 MiB
[MEMUSAGE] Rank 80:	 875.930 MiB
[MEMUSAGE] Rank 81:	 877.844 MiB
[MEMUSAGE] Rank 82:	 877.891 MiB
[MEMUSAGE] Rank 83:	 879.996 MiB
[MEMUSAGE] Rank 84:	 878.043 MiB
[MEMUSAGE] Rank 85:	 877.816 MiB
[MEMUSAGE] Rank 86:	 877.848 MiB
[MEMUSAGE] Rank 87:	 877.895 MiB
[MEMUSAGE] Rank 88:	 877.891 MiB
[MEMUSAGE] Rank 89:	 877.645 MiB
[MEMUSAGE] Rank 90:	 878.031 MiB
[MEMUSAGE] Rank 91:	 877.945 MiB
[MEMUSAGE] Rank 92:	 878.023 MiB
[MEMUSAGE] Rank 93:	 877.762 MiB
[MEMUSAGE] Rank 94:	 877.984 MiB
[MEMUSAGE] Rank 95:	 877.746 MiB
[MEMUSAGE] Rank 96:	 875.961 MiB
[MEMUSAGE] Rank 97:	 877.863 MiB
[MEMUSAGE] Rank 98:	 875.832 MiB
[MEMUSAGE] Rank 99:	 878.102 MiB
[MEMUSAGE] Rank 100:	 878.148 MiB
[MEMUSAGE] Rank 101:	 877.859 MiB
[MEMUSAGE] Rank 102:	 877.941 MiB
[MEMUSAGE] Rank 103:	 877.766 MiB
[MEMUSAGE] Rank 104:	 877.914 MiB
[MEMUSAGE] Rank 105:	 877.941 MiB
[MEMUSAGE] Rank 106:	 878.156 MiB
[MEMUSAGE] Rank 107:	 878.098 MiB
[MEMUSAGE] Rank 108:	 877.953 MiB
[MEMUSAGE] Rank 109:	 879.879 MiB
[MEMUSAGE] Rank 110:	 878.020 MiB
[MEMUSAGE] Rank 111:	 877.945 MiB
[MEMUSAGE] Rank 112:	 880.258 MiB
[MEMUSAGE] Rank 113:	 878.000 MiB
[MEMUSAGE] Rank 114:	 878.035 MiB
[MEMUSAGE] Rank 115:	 877.773 MiB
[MEMUSAGE] Rank 116:	 878.074 MiB
[MEMUSAGE] Rank 117:	 877.988 MiB
[MEMUSAGE] Rank 118:	 877.984 MiB
[MEMUSAGE] Rank 119:	 878.047 MiB
[MEMUSAGE] Rank 120:	 877.879 MiB
[MEMUSAGE] Rank 121:	 878.016 MiB
[MEMUSAGE] Rank 122:	 875.992 MiB
[MEMUSAGE] Rank 123:	 877.953 MiB
[MEMUSAGE] Rank 124:	 877.883 MiB
[MEMUSAGE] Rank 125:	 877.828 MiB
[MEMUSAGE] Rank 126:	 878.160 MiB
[MEMUSAGE] Rank 127:	 877.875 MiB
[MEMUSAGE] Rank 128:	 877.824 MiB
[MEMUSAGE] Rank 129:	 877.930 MiB
[MEMUSAGE] Rank 130:	 875.879 MiB
[MEMUSAGE] Rank 131:	 877.688 MiB
[MEMUSAGE] Rank 132:	 877.879 MiB
[MEMUSAGE] Rank 133:	 878.035 MiB
[MEMUSAGE] Rank 134:	 877.816 MiB
[MEMUSAGE] Rank 135:	 878.023 MiB
[MEMUSAGE] Rank 136:	 879.703 MiB
[MEMUSAGE] Rank 137:	 877.844 MiB
[MEMUSAGE] Rank 138:	 875.961 MiB
[MEMUSAGE] Rank 139:	 877.969 MiB
[MEMUSAGE] Rank 140:	 877.988 MiB
[MEMUSAGE] Rank 141:	 877.766 MiB
[MEMUSAGE] Rank 142:	 877.754 MiB
[MEMUSAGE] Rank 143:	 879.809 MiB
[MEMUSAGE] Rank 144:	 878.059 MiB
[MEMUSAGE] Rank 145:	 877.848 MiB
[MEMUSAGE] Rank 146:	 880.020 MiB
[MEMUSAGE] Rank 147:	 877.914 MiB
[MEMUSAGE] Rank 148:	 878.059 MiB
[MEMUSAGE] Rank 149:	 878.152 MiB
[MEMUSAGE] Rank 150:	 878.176 MiB
[MEMUSAGE] Rank 151:	 880.074 MiB
[MEMUSAGE] Rank 152:	 878.105 MiB
[MEMUSAGE] Rank 153:	 878.223 MiB
[MEMUSAGE] Rank 154:	 878.098 MiB
[MEMUSAGE] Rank 155:	 878.164 MiB
[MEMUSAGE] Rank 156:	 878.016 MiB
[MEMUSAGE] Rank 157:	 880.020 MiB
[MEMUSAGE] Rank 158:	 879.992 MiB
[MEMUSAGE] Rank 159:	 877.863 MiB
[MEMUSAGE] Rank 160:	 877.969 MiB
[MEMUSAGE] Rank 161:	 877.867 MiB
[MEMUSAGE] Rank 162:	 878.102 MiB
[MEMUSAGE] Rank 163:	 878.109 MiB
[MEMUSAGE] Rank 164:	 878.094 MiB
[MEMUSAGE] Rank 165:	 877.867 MiB
[MEMUSAGE] Rank 166:	 880.195 MiB
[MEMUSAGE] Rank 167:	 877.781 MiB
[MEMUSAGE] Rank 168:	 878.023 MiB
[MEMUSAGE] Rank 169:	 878.039 MiB
[MEMUSAGE] Rank 170:	 880.117 MiB
[MEMUSAGE] Rank 171:	 878.082 MiB
[MEMUSAGE] Rank 172:	 877.984 MiB
[MEMUSAGE] Rank 173:	 879.879 MiB
[MEMUSAGE] Rank 174:	 878.258 MiB
[MEMUSAGE] Rank 175:	 877.953 MiB
[MEMUSAGE] Rank 176:	 877.961 MiB
[MEMUSAGE] Rank 177:	 877.887 MiB
[MEMUSAGE] Rank 178:	 878.070 MiB
[MEMUSAGE] Rank 179:	 878.012 MiB
[MEMUSAGE] Rank 180:	 878.047 MiB
[MEMUSAGE] Rank 181:	 877.871 MiB
[MEMUSAGE] Rank 182:	 879.973 MiB
[MEMUSAGE] Rank 183:	 878.000 MiB
[MEMUSAGE] Rank 184:	 880.172 MiB
[MEMUSAGE] Rank 185:	 877.848 MiB
[MEMUSAGE] Rank 186:	 878.066 MiB
[MEMUSAGE] Rank 187:	 875.859 MiB
[MEMUSAGE] Rank 188:	 877.953 MiB
[MEMUSAGE] Rank 189:	 877.836 MiB
[MEMUSAGE] Rank 190:	 878.164 MiB
[MEMUSAGE] Rank 191:	 877.895 MiB
[MEMUSAGE] Rank 192:	 877.750 MiB
[MEMUSAGE] Rank 193:	 877.715 MiB
[MEMUSAGE] Rank 194:	 877.996 MiB
[MEMUSAGE] Rank 195:	 877.758 MiB
[MEMUSAGE] Rank 196:	 878.105 MiB
[MEMUSAGE] Rank 197:	 877.605 MiB
[MEMUSAGE] Rank 198:	 878.086 MiB
[MEMUSAGE] Rank 199:	 879.852 MiB
[MEMUSAGE] Rank 200:	 878.000 MiB
[MEMUSAGE] Rank 201:	 876.074 MiB
[MEMUSAGE] Rank 202:	 878.203 MiB
[MEMUSAGE] Rank 203:	 878.051 MiB
[MEMUSAGE] Rank 204:	 878.086 MiB
[MEMUSAGE] Rank 205:	 879.871 MiB
[MEMUSAGE] Rank 206:	 877.883 MiB
[MEMUSAGE] Rank 207:	 879.926 MiB
[MEMUSAGE] Rank 208:	 880.008 MiB
[MEMUSAGE] Rank 209:	 878.125 MiB
[MEMUSAGE] Rank 210:	 878.016 MiB
[MEMUSAGE] Rank 211:	 878.035 MiB
[MEMUSAGE] Rank 212:	 877.914 MiB
[MEMUSAGE] Rank 213:	 877.828 MiB
[MEMUSAGE] Rank 214:	 877.930 MiB
[MEMUSAGE] Rank 215:	 878.059 MiB
[MEMUSAGE] Rank 216:	 877.969 MiB
[MEMUSAGE] Rank 217:	 877.785 MiB
[MEMUSAGE] Rank 218:	 878.137 MiB
[MEMUSAGE] Rank 219:	 878.078 MiB
[MEMUSAGE] Rank 220:	 877.961 MiB
[MEMUSAGE] Rank 221:	 877.645 MiB
[MEMUSAGE] Rank 222:	 878.125 MiB
[MEMUSAGE] Rank 223:	 877.746 MiB
[MEMUSAGE] Rank 224:	 877.871 MiB
[MEMUSAGE] Rank 225:	 877.863 MiB
[MEMUSAGE] Rank 226:	 878.059 MiB
[MEMUSAGE] Rank 227:	 877.961 MiB
[MEMUSAGE] Rank 228:	 877.895 MiB
[MEMUSAGE] Rank 229:	 878.004 MiB
[MEMUSAGE] Rank 230:	 878.102 MiB
[MEMUSAGE] Rank 231:	 877.777 MiB
[MEMUSAGE] Rank 232:	 879.852 MiB
[MEMUSAGE] Rank 233:	 877.723 MiB
[MEMUSAGE] Rank 234:	 878.004 MiB
[MEMUSAGE] Rank 235:	 878.023 MiB
[MEMUSAGE] Rank 236:	 877.797 MiB
[MEMUSAGE] Rank 237:	 878.039 MiB
[MEMUSAGE] Rank 238:	 877.918 MiB
[MEMUSAGE] Rank 239:	 877.953 MiB
[MEMUSAGE] Rank 240:	 877.977 MiB
[MEMUSAGE] Rank 241:	 877.988 MiB
[MEMUSAGE] Rank 242:	 878.098 MiB
[MEMUSAGE] Rank 243:	 878.012 MiB
[MEMUSAGE] Rank 244:	 878.000 MiB
[MEMUSAGE] Rank 245:	 878.031 MiB
[MEMUSAGE] Rank 246:	 878.211 MiB
[MEMUSAGE] Rank 247:	 877.953 MiB
[MEMUSAGE] Rank 248:	 880.004 MiB
[MEMUSAGE] Rank 249:	 878.102 MiB
[MEMUSAGE] Rank 250:	 877.750 MiB
[MEMUSAGE] Rank 251:	 877.867 MiB
