PnMPI_result:
| jube_benchmark_id |      0 |      0 |      0 |       0 |       0 |
|        jube_wp_id |     30 |     31 |     32 |      33 |      34 |
|        RMA_target |        |        |        |         |         |
|             tasks |     48 |     96 |    192 |     384 |     768 |
|                   |        |        |        |         |         |
|             #Send |        |        |        |         |         |
|            #Isend |        |        |        |         |         |
|             #Recv |        |        |        |         |         |
|            #Irecv |        |        |        |         |         |
|         #Sendrecv |        |        |        |         |         |
|           #Reduce |     96 |    192 |    384 |     768 |    1536 |
|        #Allreduce |    384 |    768 |   1536 |    3072 |    6144 |
|          #Scatter |        |        |        |         |         |
|          #Barrier |     48 |     96 |    192 |     384 |     768 |
|              #Put | 164164 | 344344 | 712712 | 1457456 | 2962960 |
|              #Get |        |        |        |         |         |
|             #lock |        |        |        |         |         |
|           #unlock |        |        |        |         |         |
|         #lock_all |        |        |        |         |         |
|       #unlock_all |        |        |        |         |         |
|            #fence | 192192 | 384384 | 768768 | 1537536 | 3075072 |
|            #flush |        |        |        |         |         |
|        #flush_all |        |        |        |         |         |
|       #Win_create |        |        |        |         |         |
|     #Win_allocate |     96 |    192 |    384 |     768 |    1536 |
|         #Win_free |     96 |    192 |    384 |     768 |    1536 |
