nodelist=r23m[0215-0217]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 125
# Total number of elements: 1000000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  125
   Iteration count     =  3517
   Final Origin Energy =  1.791828e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 1.135049e-09
        TotalAbsDiff = 1.028366e-08
        MaxRelDiff   = 2.474559e-14

Elapsed time         =         63 (s)
Grind time (us/z/c)  =  2.2418378 (per dom)  ( 63.076349 overall)
FOM                  =  55757.825 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 19097.617 MiB
[MEMUSAGE] Rank 0:	 144.523 MiB
[MEMUSAGE] Rank 1:	 144.453 MiB
[MEMUSAGE] Rank 2:	 148.266 MiB
[MEMUSAGE] Rank 3:	 146.434 MiB
[MEMUSAGE] Rank 4:	 144.324 MiB
[MEMUSAGE] Rank 5:	 144.367 MiB
[MEMUSAGE] Rank 6:	 144.555 MiB
[MEMUSAGE] Rank 7:	 144.480 MiB
[MEMUSAGE] Rank 8:	 144.473 MiB
[MEMUSAGE] Rank 9:	 144.402 MiB
[MEMUSAGE] Rank 10:	 144.551 MiB
[MEMUSAGE] Rank 11:	 154.727 MiB
[MEMUSAGE] Rank 12:	 152.711 MiB
[MEMUSAGE] Rank 13:	 154.570 MiB
[MEMUSAGE] Rank 14:	 154.598 MiB
[MEMUSAGE] Rank 15:	 154.617 MiB
[MEMUSAGE] Rank 16:	 154.480 MiB
[MEMUSAGE] Rank 17:	 154.523 MiB
[MEMUSAGE] Rank 18:	 154.523 MiB
[MEMUSAGE] Rank 19:	 154.371 MiB
[MEMUSAGE] Rank 20:	 154.250 MiB
[MEMUSAGE] Rank 21:	 154.242 MiB
[MEMUSAGE] Rank 22:	 154.336 MiB
[MEMUSAGE] Rank 23:	 154.367 MiB
[MEMUSAGE] Rank 24:	 154.316 MiB
[MEMUSAGE] Rank 25:	 154.410 MiB
[MEMUSAGE] Rank 26:	 154.242 MiB
[MEMUSAGE] Rank 27:	 156.418 MiB
[MEMUSAGE] Rank 28:	 154.320 MiB
[MEMUSAGE] Rank 29:	 156.188 MiB
[MEMUSAGE] Rank 30:	 154.355 MiB
[MEMUSAGE] Rank 31:	 154.340 MiB
[MEMUSAGE] Rank 32:	 154.594 MiB
[MEMUSAGE] Rank 33:	 154.590 MiB
[MEMUSAGE] Rank 34:	 154.203 MiB
[MEMUSAGE] Rank 35:	 154.453 MiB
[MEMUSAGE] Rank 36:	 154.414 MiB
[MEMUSAGE] Rank 37:	 154.457 MiB
[MEMUSAGE] Rank 38:	 154.434 MiB
[MEMUSAGE] Rank 39:	 154.145 MiB
[MEMUSAGE] Rank 40:	 154.191 MiB
[MEMUSAGE] Rank 41:	 154.344 MiB
[MEMUSAGE] Rank 42:	 154.309 MiB
[MEMUSAGE] Rank 43:	 154.383 MiB
[MEMUSAGE] Rank 44:	 154.324 MiB
[MEMUSAGE] Rank 45:	 154.203 MiB
[MEMUSAGE] Rank 46:	 154.438 MiB
[MEMUSAGE] Rank 47:	 156.344 MiB
[MEMUSAGE] Rank 48:	 154.508 MiB
[MEMUSAGE] Rank 49:	 154.332 MiB
[MEMUSAGE] Rank 50:	 154.305 MiB
[MEMUSAGE] Rank 51:	 154.555 MiB
[MEMUSAGE] Rank 52:	 154.258 MiB
[MEMUSAGE] Rank 53:	 154.312 MiB
[MEMUSAGE] Rank 54:	 154.266 MiB
[MEMUSAGE] Rank 55:	 154.242 MiB
[MEMUSAGE] Rank 56:	 154.281 MiB
[MEMUSAGE] Rank 57:	 154.340 MiB
[MEMUSAGE] Rank 58:	 154.359 MiB
[MEMUSAGE] Rank 59:	 154.277 MiB
[MEMUSAGE] Rank 60:	 154.254 MiB
[MEMUSAGE] Rank 61:	 154.414 MiB
[MEMUSAGE] Rank 62:	 154.246 MiB
[MEMUSAGE] Rank 63:	 154.242 MiB
[MEMUSAGE] Rank 64:	 156.273 MiB
[MEMUSAGE] Rank 65:	 154.238 MiB
[MEMUSAGE] Rank 66:	 154.363 MiB
[MEMUSAGE] Rank 67:	 154.168 MiB
[MEMUSAGE] Rank 68:	 154.328 MiB
[MEMUSAGE] Rank 69:	 152.258 MiB
[MEMUSAGE] Rank 70:	 154.152 MiB
[MEMUSAGE] Rank 71:	 154.180 MiB
[MEMUSAGE] Rank 72:	 154.191 MiB
[MEMUSAGE] Rank 73:	 156.277 MiB
[MEMUSAGE] Rank 74:	 154.012 MiB
[MEMUSAGE] Rank 75:	 154.062 MiB
[MEMUSAGE] Rank 76:	 154.180 MiB
[MEMUSAGE] Rank 77:	 154.109 MiB
[MEMUSAGE] Rank 78:	 154.176 MiB
[MEMUSAGE] Rank 79:	 153.918 MiB
[MEMUSAGE] Rank 80:	 154.137 MiB
[MEMUSAGE] Rank 81:	 154.453 MiB
[MEMUSAGE] Rank 82:	 154.359 MiB
[MEMUSAGE] Rank 83:	 154.273 MiB
[MEMUSAGE] Rank 84:	 154.211 MiB
[MEMUSAGE] Rank 85:	 156.082 MiB
[MEMUSAGE] Rank 86:	 154.328 MiB
[MEMUSAGE] Rank 87:	 154.207 MiB
[MEMUSAGE] Rank 88:	 154.180 MiB
[MEMUSAGE] Rank 89:	 154.344 MiB
[MEMUSAGE] Rank 90:	 154.246 MiB
[MEMUSAGE] Rank 91:	 154.230 MiB
[MEMUSAGE] Rank 92:	 154.473 MiB
[MEMUSAGE] Rank 93:	 154.461 MiB
[MEMUSAGE] Rank 94:	 156.223 MiB
[MEMUSAGE] Rank 95:	 154.059 MiB
[MEMUSAGE] Rank 96:	 156.227 MiB
[MEMUSAGE] Rank 97:	 154.223 MiB
[MEMUSAGE] Rank 98:	 154.109 MiB
[MEMUSAGE] Rank 99:	 154.062 MiB
[MEMUSAGE] Rank 100:	 153.969 MiB
[MEMUSAGE] Rank 101:	 154.293 MiB
[MEMUSAGE] Rank 102:	 154.211 MiB
[MEMUSAGE] Rank 103:	 154.113 MiB
[MEMUSAGE] Rank 104:	 154.121 MiB
[MEMUSAGE] Rank 105:	 154.230 MiB
[MEMUSAGE] Rank 106:	 154.262 MiB
[MEMUSAGE] Rank 107:	 154.316 MiB
[MEMUSAGE] Rank 108:	 154.277 MiB
[MEMUSAGE] Rank 109:	 153.984 MiB
[MEMUSAGE] Rank 110:	 155.984 MiB
[MEMUSAGE] Rank 111:	 154.219 MiB
[MEMUSAGE] Rank 112:	 154.156 MiB
[MEMUSAGE] Rank 113:	 154.121 MiB
[MEMUSAGE] Rank 114:	 153.887 MiB
[MEMUSAGE] Rank 115:	 144.145 MiB
[MEMUSAGE] Rank 116:	 146.238 MiB
[MEMUSAGE] Rank 117:	 144.250 MiB
[MEMUSAGE] Rank 118:	 144.043 MiB
[MEMUSAGE] Rank 119:	 144.102 MiB
[MEMUSAGE] Rank 120:	 142.055 MiB
[MEMUSAGE] Rank 121:	 146.137 MiB
[MEMUSAGE] Rank 122:	 144.023 MiB
