nodelist=r23m[0031-0037,0040]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 343
# Total number of elements: 2744000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  343
   Iteration count     =  5008
   Final Origin Energy =  3.284469e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 7.858034e-10
        TotalAbsDiff = 2.023080e-08
        MaxRelDiff   = 3.134440e-14

Elapsed time         =    1.1e+02 (s)
Grind time (us/z/c)  =   2.641784 (per dom)  ( 105.84043 overall)
FOM                  =   129836.5 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 53760.949 MiB
[MEMUSAGE] Rank 0:	 156.734 MiB
[MEMUSAGE] Rank 1:	 156.375 MiB
[MEMUSAGE] Rank 2:	 156.512 MiB
[MEMUSAGE] Rank 3:	 156.441 MiB
[MEMUSAGE] Rank 4:	 156.477 MiB
[MEMUSAGE] Rank 5:	 156.516 MiB
[MEMUSAGE] Rank 6:	 154.555 MiB
[MEMUSAGE] Rank 7:	 156.285 MiB
[MEMUSAGE] Rank 8:	 156.680 MiB
[MEMUSAGE] Rank 9:	 156.504 MiB
[MEMUSAGE] Rank 10:	 156.656 MiB
[MEMUSAGE] Rank 11:	 158.391 MiB
[MEMUSAGE] Rank 12:	 156.547 MiB
[MEMUSAGE] Rank 13:	 158.395 MiB
[MEMUSAGE] Rank 14:	 158.574 MiB
[MEMUSAGE] Rank 15:	 156.531 MiB
[MEMUSAGE] Rank 16:	 156.609 MiB
[MEMUSAGE] Rank 17:	 156.547 MiB
[MEMUSAGE] Rank 18:	 156.641 MiB
[MEMUSAGE] Rank 19:	 156.523 MiB
[MEMUSAGE] Rank 20:	 156.625 MiB
[MEMUSAGE] Rank 21:	 158.418 MiB
[MEMUSAGE] Rank 22:	 156.656 MiB
[MEMUSAGE] Rank 23:	 156.566 MiB
[MEMUSAGE] Rank 24:	 156.637 MiB
[MEMUSAGE] Rank 25:	 156.449 MiB
[MEMUSAGE] Rank 26:	 156.660 MiB
[MEMUSAGE] Rank 27:	 156.344 MiB
[MEMUSAGE] Rank 28:	 156.316 MiB
[MEMUSAGE] Rank 29:	 156.441 MiB
[MEMUSAGE] Rank 30:	 156.457 MiB
[MEMUSAGE] Rank 31:	 156.734 MiB
[MEMUSAGE] Rank 32:	 156.781 MiB
[MEMUSAGE] Rank 33:	 156.668 MiB
[MEMUSAGE] Rank 34:	 156.656 MiB
[MEMUSAGE] Rank 35:	 156.156 MiB
[MEMUSAGE] Rank 36:	 156.605 MiB
[MEMUSAGE] Rank 37:	 158.586 MiB
[MEMUSAGE] Rank 38:	 156.562 MiB
[MEMUSAGE] Rank 39:	 156.543 MiB
[MEMUSAGE] Rank 40:	 156.707 MiB
[MEMUSAGE] Rank 41:	 158.348 MiB
[MEMUSAGE] Rank 42:	 156.371 MiB
[MEMUSAGE] Rank 43:	 156.883 MiB
[MEMUSAGE] Rank 44:	 158.734 MiB
[MEMUSAGE] Rank 45:	 156.680 MiB
[MEMUSAGE] Rank 46:	 156.625 MiB
[MEMUSAGE] Rank 47:	 156.555 MiB
[MEMUSAGE] Rank 48:	 158.758 MiB
[MEMUSAGE] Rank 49:	 158.449 MiB
[MEMUSAGE] Rank 50:	 156.652 MiB
[MEMUSAGE] Rank 51:	 156.527 MiB
[MEMUSAGE] Rank 52:	 156.547 MiB
[MEMUSAGE] Rank 53:	 156.633 MiB
[MEMUSAGE] Rank 54:	 156.703 MiB
[MEMUSAGE] Rank 55:	 156.465 MiB
[MEMUSAGE] Rank 56:	 156.617 MiB
[MEMUSAGE] Rank 57:	 156.461 MiB
[MEMUSAGE] Rank 58:	 156.613 MiB
[MEMUSAGE] Rank 59:	 156.625 MiB
[MEMUSAGE] Rank 60:	 156.668 MiB
[MEMUSAGE] Rank 61:	 156.492 MiB
[MEMUSAGE] Rank 62:	 154.578 MiB
[MEMUSAGE] Rank 63:	 154.570 MiB
[MEMUSAGE] Rank 64:	 156.770 MiB
[MEMUSAGE] Rank 65:	 158.602 MiB
[MEMUSAGE] Rank 66:	 156.703 MiB
[MEMUSAGE] Rank 67:	 156.598 MiB
[MEMUSAGE] Rank 68:	 156.855 MiB
[MEMUSAGE] Rank 69:	 156.543 MiB
[MEMUSAGE] Rank 70:	 156.594 MiB
[MEMUSAGE] Rank 71:	 158.582 MiB
[MEMUSAGE] Rank 72:	 156.520 MiB
[MEMUSAGE] Rank 73:	 154.551 MiB
[MEMUSAGE] Rank 74:	 156.652 MiB
[MEMUSAGE] Rank 75:	 156.617 MiB
[MEMUSAGE] Rank 76:	 156.723 MiB
[MEMUSAGE] Rank 77:	 156.555 MiB
[MEMUSAGE] Rank 78:	 156.766 MiB
[MEMUSAGE] Rank 79:	 158.645 MiB
[MEMUSAGE] Rank 80:	 156.711 MiB
[MEMUSAGE] Rank 81:	 156.531 MiB
[MEMUSAGE] Rank 82:	 156.750 MiB
[MEMUSAGE] Rank 83:	 156.457 MiB
[MEMUSAGE] Rank 84:	 156.598 MiB
[MEMUSAGE] Rank 85:	 156.570 MiB
[MEMUSAGE] Rank 86:	 156.590 MiB
[MEMUSAGE] Rank 87:	 156.816 MiB
[MEMUSAGE] Rank 88:	 156.523 MiB
[MEMUSAGE] Rank 89:	 156.543 MiB
[MEMUSAGE] Rank 90:	 156.625 MiB
