nodelist=n23m[0147-0148,0150-0158]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6320691 (per dom)  ( 121.13835 overall)
FOM                  =  194523.77 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81384.562 MiB
[MEMUSAGE] Rank 0:	 158.773 MiB
[MEMUSAGE] Rank 1:	 158.789 MiB
[MEMUSAGE] Rank 2:	 158.676 MiB
[MEMUSAGE] Rank 3:	 158.805 MiB
[MEMUSAGE] Rank 4:	 158.918 MiB
[MEMUSAGE] Rank 5:	 156.824 MiB
[MEMUSAGE] Rank 6:	 158.898 MiB
[MEMUSAGE] Rank 7:	 158.676 MiB
[MEMUSAGE] Rank 8:	 158.711 MiB
[MEMUSAGE] Rank 9:	 158.832 MiB
[MEMUSAGE] Rank 10:	 158.668 MiB
[MEMUSAGE] Rank 11:	 158.633 MiB
[MEMUSAGE] Rank 12:	 158.863 MiB
[MEMUSAGE] Rank 13:	 158.902 MiB
[MEMUSAGE] Rank 14:	 158.719 MiB
[MEMUSAGE] Rank 15:	 158.773 MiB
[MEMUSAGE] Rank 16:	 158.785 MiB
[MEMUSAGE] Rank 17:	 158.938 MiB
[MEMUSAGE] Rank 18:	 158.922 MiB
[MEMUSAGE] Rank 19:	 158.797 MiB
[MEMUSAGE] Rank 20:	 158.793 MiB
[MEMUSAGE] Rank 21:	 158.922 MiB
[MEMUSAGE] Rank 22:	 162.820 MiB
[MEMUSAGE] Rank 23:	 158.551 MiB
[MEMUSAGE] Rank 24:	 158.656 MiB
[MEMUSAGE] Rank 25:	 158.812 MiB
[MEMUSAGE] Rank 26:	 159.117 MiB
[MEMUSAGE] Rank 27:	 158.934 MiB
[MEMUSAGE] Rank 28:	 158.875 MiB
[MEMUSAGE] Rank 29:	 158.938 MiB
[MEMUSAGE] Rank 30:	 158.926 MiB
[MEMUSAGE] Rank 31:	 158.961 MiB
