nodelist=n23m[0074,0078],r23m[0207-0220]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 729
# Total number of elements: 5832000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  729
   Iteration count     =  6499
   Final Origin Energy =  5.162211e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 3.288733e-09
        TotalAbsDiff = 4.116191e-08
        MaxRelDiff   = 3.075683e-14

Elapsed time         =    1.4e+02 (s)
Grind time (us/z/c)  =  2.6227328 (per dom)  ( 136.36113 overall)
FOM                  =  277954.35 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 117634.684 MiB
[MEMUSAGE] Rank 0:	 161.266 MiB
[MEMUSAGE] Rank 1:	 161.066 MiB
[MEMUSAGE] Rank 2:	 161.188 MiB
[MEMUSAGE] Rank 3:	 161.355 MiB
[MEMUSAGE] Rank 4:	 161.164 MiB
[MEMUSAGE] Rank 5:	 161.180 MiB
[MEMUSAGE] Rank 6:	 161.160 MiB
[MEMUSAGE] Rank 7:	 161.156 MiB
[MEMUSAGE] Rank 8:	 161.324 MiB
[MEMUSAGE] Rank 9:	 161.223 MiB
[MEMUSAGE] Rank 10:	 161.406 MiB
[MEMUSAGE] Rank 11:	 161.398 MiB
[MEMUSAGE] Rank 12:	 161.531 MiB
[MEMUSAGE] Rank 13:	 161.277 MiB
[MEMUSAGE] Rank 14:	 161.285 MiB
[MEMUSAGE] Rank 15:	 161.348 MiB
[MEMUSAGE] Rank 16:	 161.422 MiB
[MEMUSAGE] Rank 17:	 163.215 MiB
[MEMUSAGE] Rank 18:	 161.410 MiB
[MEMUSAGE] Rank 19:	 161.547 MiB
[MEMUSAGE] Rank 20:	 161.609 MiB
[MEMUSAGE] Rank 21:	 161.504 MiB
[MEMUSAGE] Rank 22:	 161.469 MiB
[MEMUSAGE] Rank 23:	 161.555 MiB
[MEMUSAGE] Rank 24:	 161.480 MiB
[MEMUSAGE] Rank 25:	 159.395 MiB
[MEMUSAGE] Rank 26:	 161.379 MiB
[MEMUSAGE] Rank 27:	 161.363 MiB
[MEMUSAGE] Rank 28:	 161.598 MiB
[MEMUSAGE] Rank 29:	 161.480 MiB
[MEMUSAGE] Rank 30:	 161.375 MiB
[MEMUSAGE] Rank 31:	 161.312 MiB
[MEMUSAGE] Rank 32:	 161.301 MiB
[MEMUSAGE] Rank 33:	 161.418 MiB
[MEMUSAGE] Rank 34:	 161.430 MiB
[MEMUSAGE] Rank 35:	 161.145 MiB
[MEMUSAGE] Rank 36:	 163.191 MiB
[MEMUSAGE] Rank 37:	 161.191 MiB
[MEMUSAGE] Rank 38:	 161.250 MiB
[MEMUSAGE] Rank 39:	 161.297 MiB
[MEMUSAGE] Rank 40:	 161.457 MiB
[MEMUSAGE] Rank 41:	 161.328 MiB
[MEMUSAGE] Rank 42:	 161.418 MiB
[MEMUSAGE] Rank 43:	 161.375 MiB
[MEMUSAGE] Rank 44:	 161.168 MiB
[MEMUSAGE] Rank 45:	 160.918 MiB
[MEMUSAGE] Rank 46:	 163.352 MiB
[MEMUSAGE] Rank 47:	 163.297 MiB
[MEMUSAGE] Rank 48:	 161.227 MiB
[MEMUSAGE] Rank 49:	 161.461 MiB
[MEMUSAGE] Rank 50:	 161.309 MiB
[MEMUSAGE] Rank 51:	 163.012 MiB
[MEMUSAGE] Rank 52:	 161.391 MiB
[MEMUSAGE] Rank 53:	 160.980 MiB
[MEMUSAGE] Rank 54:	 160.922 MiB
[MEMUSAGE] Rank 55:	 160.875 MiB
[MEMUSAGE] Rank 56:	 161.316 MiB
[MEMUSAGE] Rank 57:	 161.172 MiB
[MEMUSAGE] Rank 58:	 161.215 MiB
[MEMUSAGE] Rank 59:	 161.207 MiB
[MEMUSAGE] Rank 60:	 163.469 MiB
[MEMUSAGE] Rank 61:	 161.207 MiB
[MEMUSAGE] Rank 62:	 160.941 MiB
[MEMUSAGE] Rank 63:	 160.973 MiB
[MEMUSAGE] Rank 64:	 161.152 MiB
[MEMUSAGE] Rank 65:	 161.312 MiB
[MEMUSAGE] Rank 66:	 161.258 MiB
[MEMUSAGE] Rank 67:	 161.145 MiB
[MEMUSAGE] Rank 68:	 163.285 MiB
[MEMUSAGE] Rank 69:	 161.234 MiB
[MEMUSAGE] Rank 70:	 161.273 MiB
[MEMUSAGE] Rank 71:	 160.992 MiB
[MEMUSAGE] Rank 72:	 161.117 MiB
[MEMUSAGE] Rank 73:	 161.035 MiB
[MEMUSAGE] Rank 74:	 161.000 MiB
[MEMUSAGE] Rank 75:	 160.906 MiB
[MEMUSAGE] Rank 76:	 161.082 MiB
[MEMUSAGE] Rank 77:	 161.203 MiB
[MEMUSAGE] Rank 78:	 161.102 MiB
[MEMUSAGE] Rank 79:	 163.168 MiB
[MEMUSAGE] Rank 80:	 160.883 MiB
[MEMUSAGE] Rank 81:	 162.934 MiB
[MEMUSAGE] Rank 82:	 161.285 MiB
[MEMUSAGE] Rank 83:	 161.191 MiB
[MEMUSAGE] Rank 84:	 163.352 MiB
[MEMUSAGE] Rank 85:	 161.281 MiB
[MEMUSAGE] Rank 86:	 161.109 MiB
[MEMUSAGE] Rank 87:	 161.141 MiB
[MEMUSAGE] Rank 88:	 161.078 MiB
[MEMUSAGE] Rank 89:	 160.984 MiB
[MEMUSAGE] Rank 90:	 162.980 MiB
