result:
| bench_id | wp_id |  must_branch | measurement | tasks | timesteps | size | time_avg | time_std | verification |
|----------|-------|--------------|-------------|-------|-----------|------|----------|----------|--------------|
|       36 |     5 | rmasanitizer |        base |    48 |       400 |  146 |   33.622 |    0.011 |      SUCCESS |
|       36 |    35 | rmasanitizer |        must |    48 |       400 |  146 |   99.539 |    1.662 |      SUCCESS |
|       36 |    10 | rmasanitizer |        base |    96 |       400 |  184 |   34.351 |    0.028 |      SUCCESS |
|       36 |    41 | rmasanitizer |        must |    96 |       400 |  184 |  110.231 |    0.962 |      SUCCESS |
|       36 |    19 | rmasanitizer |        base |   192 |       400 |  231 |   34.510 |    0.137 |      SUCCESS |
|       36 |    45 | rmasanitizer |        must |   192 |       400 |  231 |  123.732 |    1.003 |      SUCCESS |
|       36 |    20 | rmasanitizer |        base |   384 |       400 |  291 |   35.272 |    0.116 |      SUCCESS |
|       36 |    50 | rmasanitizer |        must |   384 |       400 |  291 |  139.291 |    1.650 |      SUCCESS |
|       36 |    25 | rmasanitizer |        base |   768 |       400 |  367 |   35.965 |    0.302 |      SUCCESS |
|       36 |    56 | rmasanitizer |        must |   768 |       400 |  367 |  168.885 |    0.909 |      SUCCESS |
