PnMPI_result:
| jube_benchmark_id |          14 |          14 |          14 |          14 |          14 |          14 |          14 |
|        jube_wp_id |          75 |          76 |          77 |          78 |          79 |          80 |          81 |
|        RMA_target | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 | -DUSE_RMA=1 |
|             tasks |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
|                   |             |             |             |             |             |             |             |
|             #Send |             |             |             |             |             |             |             |
|            #Isend |             |             |             |             |             |             |             |
|             #Recv |             |             |             |             |             |             |             |
|            #Irecv |             |             |             |             |             |             |             |
|         #Sendrecv |             |             |             |             |             |             |             |
|           #Reduce |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
|        #Allreduce |       54810 |      177472 |      439500 |      920808 |     1717401 |     2945024 |     4737042 |
|          #Scatter |             |             |             |             |             |             |             |
|          #Barrier |      329130 |     1065472 |     2638250 |     5527008 |    10307836 |    17675264 |    28429542 |
|              #Put |             |             |             |             |             |             |             |
|              #Get |     1182358 |     4694544 |    13043108 |    29425480 |    57788820 |   102942812 |   170496664 |
|             #lock |             |             |             |             |             |             |             |
|           #unlock |             |             |             |             |             |             |             |
|         #lock_all |             |             |             |             |             |             |             |
|       #unlock_all |             |             |             |             |             |             |             |
|            #fence |      164592 |      532800 |     1319250 |     2763720 |     5154261 |     8838144 |    14215500 |
|            #flush |             |             |             |             |             |             |             |
|        #flush_all |             |             |             |             |             |             |             |
|       #Win_create |             |             |             |             |             |             |             |
|     #Win_allocate |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
|         #Win_free |          27 |          64 |         125 |         216 |         343 |         512 |         729 |
