nodelist=n23m[0198,0204-0206]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 413611.435496  Avg time (s): 0.245089  Total time (s): 98.035758
[MEMUSAGE] Total Memory Consumption (max_rss): 167313.453 MiB
[MEMUSAGE] Rank 0:	 870.879 MiB
[MEMUSAGE] Rank 1:	 871.164 MiB
[MEMUSAGE] Rank 2:	 871.062 MiB
[MEMUSAGE] Rank 3:	 871.082 MiB
[MEMUSAGE] Rank 4:	 870.984 MiB
[MEMUSAGE] Rank 5:	 871.230 MiB
[MEMUSAGE] Rank 6:	 871.289 MiB
[MEMUSAGE] Rank 7:	 871.027 MiB
[MEMUSAGE] Rank 8:	 871.211 MiB
[MEMUSAGE] Rank 9:	 870.863 MiB
[MEMUSAGE] Rank 10:	 873.316 MiB
[MEMUSAGE] Rank 11:	 872.918 MiB
[MEMUSAGE] Rank 12:	 871.113 MiB
[MEMUSAGE] Rank 13:	 869.152 MiB
[MEMUSAGE] Rank 14:	 871.145 MiB
[MEMUSAGE] Rank 15:	 871.145 MiB
[MEMUSAGE] Rank 16:	 871.426 MiB
[MEMUSAGE] Rank 17:	 871.109 MiB
[MEMUSAGE] Rank 18:	 871.230 MiB
[MEMUSAGE] Rank 19:	 871.332 MiB
[MEMUSAGE] Rank 20:	 873.059 MiB
[MEMUSAGE] Rank 21:	 872.984 MiB
[MEMUSAGE] Rank 22:	 872.988 MiB
[MEMUSAGE] Rank 23:	 871.160 MiB
[MEMUSAGE] Rank 24:	 870.992 MiB
[MEMUSAGE] Rank 25:	 872.914 MiB
[MEMUSAGE] Rank 26:	 871.020 MiB
[MEMUSAGE] Rank 27:	 873.305 MiB
[MEMUSAGE] Rank 28:	 873.262 MiB
[MEMUSAGE] Rank 29:	 871.250 MiB
[MEMUSAGE] Rank 30:	 871.488 MiB
[MEMUSAGE] Rank 31:	 871.469 MiB
[MEMUSAGE] Rank 32:	 871.207 MiB
[MEMUSAGE] Rank 33:	 873.039 MiB
[MEMUSAGE] Rank 34:	 873.090 MiB
[MEMUSAGE] Rank 35:	 873.129 MiB
[MEMUSAGE] Rank 36:	 870.922 MiB
[MEMUSAGE] Rank 37:	 870.996 MiB
[MEMUSAGE] Rank 38:	 871.113 MiB
[MEMUSAGE] Rank 39:	 871.168 MiB
[MEMUSAGE] Rank 40:	 870.926 MiB
[MEMUSAGE] Rank 41:	 871.051 MiB
[MEMUSAGE] Rank 42:	 871.070 MiB
[MEMUSAGE] Rank 43:	 871.105 MiB
