nodelist=n23m[0065-0067,0102,0117,0124-0125,0134]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 788656.757293  Avg time (s): 0.257080  Total time (s): 102.831815
[MEMUSAGE] Total Memory Consumption (max_rss): 335430.375 MiB
[MEMUSAGE] Rank 0:	 873.680 MiB
[MEMUSAGE] Rank 1:	 873.441 MiB
[MEMUSAGE] Rank 2:	 873.352 MiB
[MEMUSAGE] Rank 3:	 873.414 MiB
[MEMUSAGE] Rank 4:	 873.605 MiB
[MEMUSAGE] Rank 5:	 873.219 MiB
[MEMUSAGE] Rank 6:	 873.449 MiB
[MEMUSAGE] Rank 7:	 873.160 MiB
[MEMUSAGE] Rank 8:	 873.328 MiB
[MEMUSAGE] Rank 9:	 873.469 MiB
[MEMUSAGE] Rank 10:	 873.289 MiB
[MEMUSAGE] Rank 11:	 873.484 MiB
[MEMUSAGE] Rank 12:	 873.211 MiB
[MEMUSAGE] Rank 13:	 875.340 MiB
[MEMUSAGE] Rank 14:	 873.461 MiB
[MEMUSAGE] Rank 15:	 873.012 MiB
[MEMUSAGE] Rank 16:	 873.402 MiB
[MEMUSAGE] Rank 17:	 873.531 MiB
[MEMUSAGE] Rank 18:	 875.262 MiB
[MEMUSAGE] Rank 19:	 873.484 MiB
[MEMUSAGE] Rank 20:	 873.387 MiB
[MEMUSAGE] Rank 21:	 875.320 MiB
[MEMUSAGE] Rank 22:	 873.172 MiB
[MEMUSAGE] Rank 23:	 873.180 MiB
[MEMUSAGE] Rank 24:	 875.406 MiB
[MEMUSAGE] Rank 25:	 873.418 MiB
[MEMUSAGE] Rank 26:	 873.207 MiB
[MEMUSAGE] Rank 27:	 873.133 MiB
[MEMUSAGE] Rank 28:	 873.785 MiB
[MEMUSAGE] Rank 29:	 873.547 MiB
[MEMUSAGE] Rank 30:	 873.457 MiB
[MEMUSAGE] Rank 31:	 873.410 MiB
[MEMUSAGE] Rank 32:	 875.598 MiB
[MEMUSAGE] Rank 33:	 873.613 MiB
[MEMUSAGE] Rank 34:	 873.570 MiB
[MEMUSAGE] Rank 35:	 873.414 MiB
[MEMUSAGE] Rank 36:	 873.422 MiB
[MEMUSAGE] Rank 37:	 873.418 MiB
[MEMUSAGE] Rank 38:	 873.176 MiB
[MEMUSAGE] Rank 39:	 873.195 MiB
[MEMUSAGE] Rank 40:	 875.223 MiB
[MEMUSAGE] Rank 41:	 873.348 MiB
[MEMUSAGE] Rank 42:	 873.406 MiB
[MEMUSAGE] Rank 43:	 873.367 MiB
[MEMUSAGE] Rank 44:	 873.508 MiB
[MEMUSAGE] Rank 45:	 875.102 MiB
[MEMUSAGE] Rank 46:	 873.375 MiB
