nodelist=n23m[0300-0315]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 1651825.121874  Avg time (s): 0.245483  Total time (s): 98.193337
[MEMUSAGE] Total Memory Consumption (max_rss): 674420.012 MiB
[MEMUSAGE] Rank 0:	 877.980 MiB
[MEMUSAGE] Rank 1:	 877.887 MiB
[MEMUSAGE] Rank 2:	 875.977 MiB
[MEMUSAGE] Rank 3:	 878.078 MiB
[MEMUSAGE] Rank 4:	 877.895 MiB
[MEMUSAGE] Rank 5:	 877.941 MiB
[MEMUSAGE] Rank 6:	 877.930 MiB
[MEMUSAGE] Rank 7:	 877.859 MiB
[MEMUSAGE] Rank 8:	 875.945 MiB
[MEMUSAGE] Rank 9:	 877.969 MiB
[MEMUSAGE] Rank 10:	 877.922 MiB
[MEMUSAGE] Rank 11:	 877.805 MiB
[MEMUSAGE] Rank 12:	 877.805 MiB
[MEMUSAGE] Rank 13:	 877.840 MiB
[MEMUSAGE] Rank 14:	 875.910 MiB
[MEMUSAGE] Rank 15:	 877.539 MiB
[MEMUSAGE] Rank 16:	 877.980 MiB
[MEMUSAGE] Rank 17:	 878.137 MiB
[MEMUSAGE] Rank 18:	 877.871 MiB
[MEMUSAGE] Rank 19:	 877.914 MiB
[MEMUSAGE] Rank 20:	 875.859 MiB
[MEMUSAGE] Rank 21:	 877.848 MiB
[MEMUSAGE] Rank 22:	 877.859 MiB
[MEMUSAGE] Rank 23:	 877.832 MiB
[MEMUSAGE] Rank 24:	 877.898 MiB
[MEMUSAGE] Rank 25:	 876.082 MiB
[MEMUSAGE] Rank 26:	 878.285 MiB
[MEMUSAGE] Rank 27:	 878.121 MiB
[MEMUSAGE] Rank 28:	 878.203 MiB
[MEMUSAGE] Rank 29:	 877.949 MiB
[MEMUSAGE] Rank 30:	 879.715 MiB
[MEMUSAGE] Rank 31:	 878.137 MiB
[MEMUSAGE] Rank 32:	 877.965 MiB
[MEMUSAGE] Rank 33:	 877.973 MiB
[MEMUSAGE] Rank 34:	 879.906 MiB
[MEMUSAGE] Rank 35:	 877.855 MiB
[MEMUSAGE] Rank 36:	 875.910 MiB
[MEMUSAGE] Rank 37:	 878.039 MiB
[MEMUSAGE] Rank 38:	 877.953 MiB
[MEMUSAGE] Rank 39:	 877.957 MiB
[MEMUSAGE] Rank 40:	 877.961 MiB
[MEMUSAGE] Rank 41:	 877.801 MiB
[MEMUSAGE] Rank 42:	 878.070 MiB
[MEMUSAGE] Rank 43:	 877.840 MiB
[MEMUSAGE] Rank 44:	 877.973 MiB
[MEMUSAGE] Rank 45:	 877.742 MiB
[MEMUSAGE] Rank 46:	 878.008 MiB
[MEMUSAGE] Rank 47:	 879.953 MiB
[MEMUSAGE] Rank 48:	 877.859 MiB
[MEMUSAGE] Rank 49:	 878.137 MiB
[MEMUSAGE] Rank 50:	 878.195 MiB
[MEMUSAGE] Rank 51:	 880.066 MiB
[MEMUSAGE] Rank 52:	 877.926 MiB
[MEMUSAGE] Rank 53:	 880.055 MiB
