nodelist=r23m[0024-0026,0043-0047]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 343
# Total number of elements: 2744000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  343
   Iteration count     =  5008
   Final Origin Energy =  3.284469e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 7.858034e-10
        TotalAbsDiff = 2.023080e-08
        MaxRelDiff   = 3.134440e-14

Elapsed time         =      1e+02 (s)
Grind time (us/z/c)  =  2.6162809 (per dom)  ( 104.81868 overall)
FOM                  =  131102.13 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 53754.359 MiB
[MEMUSAGE] Rank 0:	 154.727 MiB
[MEMUSAGE] Rank 1:	 158.758 MiB
[MEMUSAGE] Rank 2:	 156.852 MiB
[MEMUSAGE] Rank 3:	 156.598 MiB
[MEMUSAGE] Rank 4:	 158.621 MiB
[MEMUSAGE] Rank 5:	 156.594 MiB
[MEMUSAGE] Rank 6:	 156.699 MiB
[MEMUSAGE] Rank 7:	 156.512 MiB
[MEMUSAGE] Rank 8:	 156.871 MiB
[MEMUSAGE] Rank 9:	 158.508 MiB
[MEMUSAGE] Rank 10:	 156.668 MiB
[MEMUSAGE] Rank 11:	 156.578 MiB
[MEMUSAGE] Rank 12:	 158.664 MiB
[MEMUSAGE] Rank 13:	 158.340 MiB
[MEMUSAGE] Rank 14:	 156.781 MiB
[MEMUSAGE] Rank 15:	 156.551 MiB
[MEMUSAGE] Rank 16:	 154.688 MiB
[MEMUSAGE] Rank 17:	 156.668 MiB
[MEMUSAGE] Rank 18:	 156.891 MiB
[MEMUSAGE] Rank 19:	 154.734 MiB
[MEMUSAGE] Rank 20:	 156.453 MiB
[MEMUSAGE] Rank 21:	 158.559 MiB
[MEMUSAGE] Rank 22:	 156.613 MiB
[MEMUSAGE] Rank 23:	 156.496 MiB
[MEMUSAGE] Rank 24:	 156.539 MiB
[MEMUSAGE] Rank 25:	 158.582 MiB
[MEMUSAGE] Rank 26:	 154.879 MiB
[MEMUSAGE] Rank 27:	 156.398 MiB
[MEMUSAGE] Rank 28:	 156.391 MiB
[MEMUSAGE] Rank 29:	 158.547 MiB
[MEMUSAGE] Rank 30:	 156.496 MiB
[MEMUSAGE] Rank 31:	 156.711 MiB
[MEMUSAGE] Rank 32:	 156.668 MiB
[MEMUSAGE] Rank 33:	 158.641 MiB
[MEMUSAGE] Rank 34:	 156.402 MiB
[MEMUSAGE] Rank 35:	 156.387 MiB
[MEMUSAGE] Rank 36:	 156.773 MiB
[MEMUSAGE] Rank 37:	 156.766 MiB
[MEMUSAGE] Rank 38:	 156.727 MiB
[MEMUSAGE] Rank 39:	 156.516 MiB
[MEMUSAGE] Rank 40:	 158.527 MiB
[MEMUSAGE] Rank 41:	 156.406 MiB
[MEMUSAGE] Rank 42:	 156.609 MiB
[MEMUSAGE] Rank 43:	 156.574 MiB
[MEMUSAGE] Rank 44:	 156.871 MiB
[MEMUSAGE] Rank 45:	 156.434 MiB
