nodelist=n23m[0305-0315]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6196611 (per dom)  ( 120.56728 overall)
FOM                  =  195445.13 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81415.766 MiB
[MEMUSAGE] Rank 0:	 159.016 MiB
[MEMUSAGE] Rank 1:	 158.504 MiB
[MEMUSAGE] Rank 2:	 158.809 MiB
[MEMUSAGE] Rank 3:	 158.688 MiB
[MEMUSAGE] Rank 4:	 158.777 MiB
[MEMUSAGE] Rank 5:	 158.465 MiB
[MEMUSAGE] Rank 6:	 158.949 MiB
[MEMUSAGE] Rank 7:	 160.484 MiB
[MEMUSAGE] Rank 8:	 158.758 MiB
[MEMUSAGE] Rank 9:	 160.727 MiB
[MEMUSAGE] Rank 10:	 159.164 MiB
[MEMUSAGE] Rank 11:	 158.902 MiB
[MEMUSAGE] Rank 12:	 158.723 MiB
[MEMUSAGE] Rank 13:	 158.797 MiB
[MEMUSAGE] Rank 14:	 160.934 MiB
[MEMUSAGE] Rank 15:	 160.473 MiB
[MEMUSAGE] Rank 16:	 158.574 MiB
[MEMUSAGE] Rank 17:	 158.621 MiB
[MEMUSAGE] Rank 18:	 158.762 MiB
[MEMUSAGE] Rank 19:	 158.855 MiB
[MEMUSAGE] Rank 20:	 158.605 MiB
[MEMUSAGE] Rank 21:	 158.816 MiB
[MEMUSAGE] Rank 22:	 158.699 MiB
[MEMUSAGE] Rank 23:	 158.598 MiB
[MEMUSAGE] Rank 24:	 158.602 MiB
[MEMUSAGE] Rank 25:	 158.965 MiB
[MEMUSAGE] Rank 26:	 160.805 MiB
[MEMUSAGE] Rank 27:	 158.629 MiB
[MEMUSAGE] Rank 28:	 158.742 MiB
[MEMUSAGE] Rank 29:	 158.672 MiB
[MEMUSAGE] Rank 30:	 158.797 MiB
[MEMUSAGE] Rank 31:	 158.477 MiB
[MEMUSAGE] Rank 32:	 158.484 MiB
[MEMUSAGE] Rank 33:	 158.875 MiB
[MEMUSAGE] Rank 34:	 158.719 MiB
[MEMUSAGE] Rank 35:	 158.699 MiB
[MEMUSAGE] Rank 36:	 160.555 MiB
[MEMUSAGE] Rank 37:	 158.758 MiB
[MEMUSAGE] Rank 38:	 156.898 MiB
[MEMUSAGE] Rank 39:	 158.582 MiB
[MEMUSAGE] Rank 40:	 158.609 MiB
[MEMUSAGE] Rank 41:	 160.492 MiB
[MEMUSAGE] Rank 42:	 158.645 MiB
[MEMUSAGE] Rank 43:	 158.934 MiB
[MEMUSAGE] Rank 44:	 158.625 MiB
[MEMUSAGE] Rank 45:	 158.723 MiB
[MEMUSAGE] Rank 46:	 156.824 MiB
[MEMUSAGE] Rank 47:	 160.559 MiB
[MEMUSAGE] Rank 48:	 158.488 MiB
[MEMUSAGE] Rank 49:	 160.590 MiB
[MEMUSAGE] Rank 50:	 158.777 MiB
[MEMUSAGE] Rank 51:	 158.676 MiB
[MEMUSAGE] Rank 52:	 158.715 MiB
[MEMUSAGE] Rank 53:	 158.918 MiB
[MEMUSAGE] Rank 54:	 158.691 MiB
[MEMUSAGE] Rank 55:	 158.484 MiB
[MEMUSAGE] Rank 56:	 158.488 MiB
[MEMUSAGE] Rank 57:	 158.195 MiB
[MEMUSAGE] Rank 58:	 158.531 MiB
[MEMUSAGE] Rank 59:	 158.707 MiB
[MEMUSAGE] Rank 60:	 158.695 MiB
[MEMUSAGE] Rank 61:	 158.551 MiB
[MEMUSAGE] Rank 62:	 158.477 MiB
[MEMUSAGE] Rank 63:	 160.457 MiB
[MEMUSAGE] Rank 64:	 158.773 MiB
[MEMUSAGE] Rank 65:	 158.859 MiB
[MEMUSAGE] Rank 66:	 160.723 MiB
[MEMUSAGE] Rank 67:	 158.598 MiB
[MEMUSAGE] Rank 68:	 158.914 MiB
[MEMUSAGE] Rank 69:	 158.977 MiB
[MEMUSAGE] Rank 70:	 156.953 MiB
[MEMUSAGE] Rank 71:	 158.559 MiB
[MEMUSAGE] Rank 72:	 158.918 MiB
[MEMUSAGE] Rank 73:	 158.859 MiB
[MEMUSAGE] Rank 74:	 159.168 MiB
[MEMUSAGE] Rank 75:	 158.793 MiB
[MEMUSAGE] Rank 76:	 158.988 MiB
[MEMUSAGE] Rank 77:	 158.859 MiB
[MEMUSAGE] Rank 78:	 158.895 MiB
[MEMUSAGE] Rank 79:	 158.484 MiB
[MEMUSAGE] Rank 80:	 158.816 MiB
[MEMUSAGE] Rank 81:	 160.820 MiB
[MEMUSAGE] Rank 82:	 158.883 MiB
[MEMUSAGE] Rank 83:	 158.812 MiB
[MEMUSAGE] Rank 84:	 160.953 MiB
[MEMUSAGE] Rank 85:	 159.082 MiB
[MEMUSAGE] Rank 86:	 160.828 MiB
[MEMUSAGE] Rank 87:	 158.902 MiB
[MEMUSAGE] Rank 88:	 158.707 MiB
[MEMUSAGE] Rank 89:	 158.914 MiB
[MEMUSAGE] Rank 90:	 158.996 MiB
[MEMUSAGE] Rank 91:	 158.930 MiB
[MEMUSAGE] Rank 92:	 158.883 MiB
[MEMUSAGE] Rank 93:	 159.039 MiB
[MEMUSAGE] Rank 94:	 158.738 MiB
[MEMUSAGE] Rank 95:	 158.668 MiB
[MEMUSAGE] Rank 96:	 158.707 MiB
[MEMUSAGE] Rank 97:	 158.742 MiB
[MEMUSAGE] Rank 98:	 158.910 MiB
[MEMUSAGE] Rank 99:	 158.969 MiB
[MEMUSAGE] Rank 100:	 159.035 MiB
[MEMUSAGE] Rank 101:	 159.062 MiB
[MEMUSAGE] Rank 102:	 158.914 MiB
[MEMUSAGE] Rank 103:	 158.969 MiB
[MEMUSAGE] Rank 104:	 160.848 MiB
[MEMUSAGE] Rank 105:	 160.910 MiB
[MEMUSAGE] Rank 106:	 161.008 MiB
[MEMUSAGE] Rank 107:	 157.125 MiB
[MEMUSAGE] Rank 108:	 158.996 MiB
[MEMUSAGE] Rank 109:	 158.820 MiB
[MEMUSAGE] Rank 110:	 158.977 MiB
[MEMUSAGE] Rank 111:	 158.594 MiB
[MEMUSAGE] Rank 112:	 160.695 MiB
[MEMUSAGE] Rank 113:	 158.898 MiB
[MEMUSAGE] Rank 114:	 159.016 MiB
[MEMUSAGE] Rank 115:	 158.922 MiB
[MEMUSAGE] Rank 116:	 158.852 MiB
[MEMUSAGE] Rank 117:	 158.938 MiB
[MEMUSAGE] Rank 118:	 159.004 MiB
[MEMUSAGE] Rank 119:	 158.859 MiB
[MEMUSAGE] Rank 120:	 158.777 MiB
[MEMUSAGE] Rank 121:	 160.801 MiB
[MEMUSAGE] Rank 122:	 158.965 MiB
[MEMUSAGE] Rank 123:	 160.676 MiB
[MEMUSAGE] Rank 124:	 158.945 MiB
[MEMUSAGE] Rank 125:	 158.633 MiB
[MEMUSAGE] Rank 126:	 159.023 MiB
[MEMUSAGE] Rank 127:	 158.531 MiB
[MEMUSAGE] Rank 128:	 158.836 MiB
[MEMUSAGE] Rank 129:	 158.660 MiB
[MEMUSAGE] Rank 130:	 158.660 MiB
[MEMUSAGE] Rank 131:	 158.559 MiB
[MEMUSAGE] Rank 132:	 158.520 MiB
[MEMUSAGE] Rank 133:	 160.637 MiB
[MEMUSAGE] Rank 134:	 158.723 MiB
[MEMUSAGE] Rank 135:	 158.461 MiB
[MEMUSAGE] Rank 136:	 160.695 MiB
[MEMUSAGE] Rank 137:	 158.746 MiB
[MEMUSAGE] Rank 138:	 158.613 MiB
[MEMUSAGE] Rank 139:	 158.656 MiB
[MEMUSAGE] Rank 140:	 158.684 MiB
[MEMUSAGE] Rank 141:	 160.609 MiB
[MEMUSAGE] Rank 142:	 158.852 MiB
[MEMUSAGE] Rank 143:	 156.672 MiB
