PnMPI_result:
| jube_benchmark_id |     42 |     42 |      42 |      42 |      42 |
|        jube_wp_id |     29 |     30 |      31 |      32 |      33 |
|        RMA_target |    RMA |    RMA |     RMA |     RMA |     RMA |
|             tasks |     48 |     96 |     192 |     384 |     768 |
|                   |        |        |         |         |         |
|             #Send |        |        |         |         |         |
|            #Isend |        |        |         |         |         |
|             #Recv |        |        |         |         |         |
|            #Irecv |        |        |         |         |         |
|         #Sendrecv |        |        |         |         |         |
|           #Reduce |        |        |         |         |         |
|        #Allreduce |  11136 |  22272 |   44544 |   89088 |  178176 |
|          #Scatter |        |        |         |         |         |
|          #Barrier | 472032 | 944064 | 1888128 | 3776256 | 7552512 |
|              #Put |        |        |         |         |         |
|              #Get | 249408 | 498816 |  997632 | 1995264 | 3990528 |
|             #lock |        |        |         |         |         |
|           #unlock |        |        |         |         |         |
|         #lock_all |    240 |    384 |     768 |    1920 |    3840 |
|       #unlock_all |    240 |    384 |     768 |    1920 |    3840 |
|            #fence |        |        |         |         |         |
|            #flush | 249408 | 498816 |  997632 | 1995264 | 3990528 |
|        #flush_all |        |        |         |         |         |
|       #Win_create |     48 |     96 |     192 |     384 |     768 |
|     #Win_allocate |    192 |    288 |     576 |    1536 |    3072 |
|         #Win_free |    240 |    384 |     768 |    1920 |    3840 |
