nodelist=n23m[0078-0079]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 96
Grid size              = 67883
Radius of stencil      = 1
Tiles in x/y-direction = 8/12
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 247044.064509  Avg time (s): 0.205170  Total time (s): 205.170409
[MEMUSAGE] Total Memory Consumption (max_rss): 83530.961 MiB
[MEMUSAGE] Rank 0:	 870.238 MiB
[MEMUSAGE] Rank 1:	 869.680 MiB
[MEMUSAGE] Rank 2:	 869.949 MiB
[MEMUSAGE] Rank 3:	 869.758 MiB
[MEMUSAGE] Rank 4:	 869.832 MiB
[MEMUSAGE] Rank 5:	 869.949 MiB
[MEMUSAGE] Rank 6:	 869.785 MiB
[MEMUSAGE] Rank 7:	 869.883 MiB
[MEMUSAGE] Rank 8:	 870.062 MiB
[MEMUSAGE] Rank 9:	 870.020 MiB
[MEMUSAGE] Rank 10:	 870.008 MiB
[MEMUSAGE] Rank 11:	 870.008 MiB
[MEMUSAGE] Rank 12:	 869.926 MiB
[MEMUSAGE] Rank 13:	 869.906 MiB
[MEMUSAGE] Rank 14:	 869.949 MiB
[MEMUSAGE] Rank 15:	 869.934 MiB
[MEMUSAGE] Rank 16:	 870.027 MiB
[MEMUSAGE] Rank 17:	 870.047 MiB
[MEMUSAGE] Rank 18:	 871.914 MiB
[MEMUSAGE] Rank 19:	 868.078 MiB
[MEMUSAGE] Rank 20:	 869.969 MiB
[MEMUSAGE] Rank 21:	 869.965 MiB
[MEMUSAGE] Rank 22:	 870.242 MiB
[MEMUSAGE] Rank 23:	 869.844 MiB
[MEMUSAGE] Rank 24:	 870.227 MiB
[MEMUSAGE] Rank 25:	 870.094 MiB
[MEMUSAGE] Rank 26:	 870.066 MiB
[MEMUSAGE] Rank 27:	 870.066 MiB
[MEMUSAGE] Rank 28:	 870.102 MiB
[MEMUSAGE] Rank 29:	 872.195 MiB
[MEMUSAGE] Rank 30:	 872.078 MiB
[MEMUSAGE] Rank 31:	 870.074 MiB
[MEMUSAGE] Rank 32:	 870.055 MiB
[MEMUSAGE] Rank 33:	 869.906 MiB
[MEMUSAGE] Rank 34:	 870.133 MiB
[MEMUSAGE] Rank 35:	 869.945 MiB
[MEMUSAGE] Rank 36:	 869.910 MiB
[MEMUSAGE] Rank 37:	 869.898 MiB
[MEMUSAGE] Rank 38:	 869.953 MiB
[MEMUSAGE] Rank 39:	 869.848 MiB
[MEMUSAGE] Rank 40:	 871.871 MiB
[MEMUSAGE] Rank 41:	 869.887 MiB
[MEMUSAGE] Rank 42:	 870.027 MiB
[MEMUSAGE] Rank 43:	 872.012 MiB
[MEMUSAGE] Rank 44:	 869.926 MiB
[MEMUSAGE] Rank 45:	 869.980 MiB
[MEMUSAGE] Rank 46:	 870.168 MiB
[MEMUSAGE] Rank 47:	 869.785 MiB
[MEMUSAGE] Rank 48:	 870.328 MiB
[MEMUSAGE] Rank 49:	 869.930 MiB
[MEMUSAGE] Rank 50:	 870.207 MiB
[MEMUSAGE] Rank 51:	 870.074 MiB
[MEMUSAGE] Rank 52:	 870.156 MiB
[MEMUSAGE] Rank 53:	 870.043 MiB
[MEMUSAGE] Rank 54:	 869.980 MiB
[MEMUSAGE] Rank 55:	 869.867 MiB
[MEMUSAGE] Rank 56:	 870.234 MiB
[MEMUSAGE] Rank 57:	 870.383 MiB
[MEMUSAGE] Rank 58:	 870.207 MiB
[MEMUSAGE] Rank 59:	 869.977 MiB
[MEMUSAGE] Rank 60:	 870.062 MiB
[MEMUSAGE] Rank 61:	 870.016 MiB
[MEMUSAGE] Rank 62:	 870.281 MiB
[MEMUSAGE] Rank 63:	 870.270 MiB
[MEMUSAGE] Rank 64:	 870.355 MiB
[MEMUSAGE] Rank 65:	 870.078 MiB
[MEMUSAGE] Rank 66:	 870.125 MiB
[MEMUSAGE] Rank 67:	 870.082 MiB
[MEMUSAGE] Rank 68:	 868.250 MiB
[MEMUSAGE] Rank 69:	 869.988 MiB
[MEMUSAGE] Rank 70:	 870.125 MiB
[MEMUSAGE] Rank 71:	 869.926 MiB
[MEMUSAGE] Rank 72:	 870.070 MiB
[MEMUSAGE] Rank 73:	 869.992 MiB
[MEMUSAGE] Rank 74:	 868.117 MiB
[MEMUSAGE] Rank 75:	 869.945 MiB
[MEMUSAGE] Rank 76:	 869.922 MiB
[MEMUSAGE] Rank 77:	 870.008 MiB
[MEMUSAGE] Rank 78:	 869.844 MiB
[MEMUSAGE] Rank 79:	 871.848 MiB
[MEMUSAGE] Rank 80:	 870.285 MiB
[MEMUSAGE] Rank 81:	 869.848 MiB
[MEMUSAGE] Rank 82:	 870.035 MiB
[MEMUSAGE] Rank 83:	 870.004 MiB
[MEMUSAGE] Rank 84:	 870.367 MiB
[MEMUSAGE] Rank 85:	 870.199 MiB
[MEMUSAGE] Rank 86:	 870.055 MiB
[MEMUSAGE] Rank 87:	 872.031 MiB
[MEMUSAGE] Rank 88:	 869.781 MiB
[MEMUSAGE] Rank 89:	 869.891 MiB
[MEMUSAGE] Rank 90:	 870.043 MiB
[MEMUSAGE] Rank 91:	 869.953 MiB
[MEMUSAGE] Rank 92:	 871.762 MiB
[MEMUSAGE] Rank 93:	 869.773 MiB
[MEMUSAGE] Rank 94:	 869.590 MiB
[MEMUSAGE] Rank 95:	 869.473 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
