nodelist=r23m[0158,0160-0161,0163]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 413735.081705  Avg time (s): 0.245016  Total time (s): 245.016148
[MEMUSAGE] Total Memory Consumption (max_rss): 167300.621 MiB
[MEMUSAGE] Rank 0:	 870.871 MiB
[MEMUSAGE] Rank 1:	 870.809 MiB
[MEMUSAGE] Rank 2:	 871.211 MiB
[MEMUSAGE] Rank 3:	 872.707 MiB
[MEMUSAGE] Rank 4:	 870.824 MiB
[MEMUSAGE] Rank 5:	 870.973 MiB
[MEMUSAGE] Rank 6:	 871.012 MiB
[MEMUSAGE] Rank 7:	 870.902 MiB
[MEMUSAGE] Rank 8:	 870.891 MiB
[MEMUSAGE] Rank 9:	 870.918 MiB
[MEMUSAGE] Rank 10:	 871.090 MiB
[MEMUSAGE] Rank 11:	 872.871 MiB
[MEMUSAGE] Rank 12:	 869.129 MiB
[MEMUSAGE] Rank 13:	 871.223 MiB
[MEMUSAGE] Rank 14:	 871.293 MiB
[MEMUSAGE] Rank 15:	 871.297 MiB
[MEMUSAGE] Rank 16:	 871.465 MiB
[MEMUSAGE] Rank 17:	 871.203 MiB
[MEMUSAGE] Rank 18:	 871.238 MiB
[MEMUSAGE] Rank 19:	 871.160 MiB
[MEMUSAGE] Rank 20:	 871.176 MiB
[MEMUSAGE] Rank 21:	 871.195 MiB
[MEMUSAGE] Rank 22:	 871.293 MiB
[MEMUSAGE] Rank 23:	 871.230 MiB
[MEMUSAGE] Rank 24:	 871.324 MiB
[MEMUSAGE] Rank 25:	 873.188 MiB
[MEMUSAGE] Rank 26:	 873.074 MiB
[MEMUSAGE] Rank 27:	 873.340 MiB
[MEMUSAGE] Rank 28:	 871.051 MiB
[MEMUSAGE] Rank 29:	 871.176 MiB
[MEMUSAGE] Rank 30:	 871.137 MiB
[MEMUSAGE] Rank 31:	 871.133 MiB
[MEMUSAGE] Rank 32:	 871.047 MiB
[MEMUSAGE] Rank 33:	 871.141 MiB
[MEMUSAGE] Rank 34:	 871.176 MiB
[MEMUSAGE] Rank 35:	 871.020 MiB
[MEMUSAGE] Rank 36:	 870.891 MiB
[MEMUSAGE] Rank 37:	 871.000 MiB
[MEMUSAGE] Rank 38:	 872.910 MiB
[MEMUSAGE] Rank 39:	 870.996 MiB
[MEMUSAGE] Rank 40:	 873.023 MiB
[MEMUSAGE] Rank 41:	 870.965 MiB
[MEMUSAGE] Rank 42:	 871.098 MiB
[MEMUSAGE] Rank 43:	 871.152 MiB
[MEMUSAGE] Rank 44:	 871.016 MiB
[MEMUSAGE] Rank 45:	 871.145 MiB
[MEMUSAGE] Rank 46:	 873.086 MiB
[MEMUSAGE] Rank 47:	 870.797 MiB
[MEMUSAGE] Rank 48:	 871.109 MiB
[MEMUSAGE] Rank 49:	 871.066 MiB
[MEMUSAGE] Rank 50:	 871.363 MiB
[MEMUSAGE] Rank 51:	 871.055 MiB
[MEMUSAGE] Rank 52:	 871.238 MiB
[MEMUSAGE] Rank 53:	 871.266 MiB
[MEMUSAGE] Rank 54:	 873.371 MiB
[MEMUSAGE] Rank 55:	 871.238 MiB
[MEMUSAGE] Rank 56:	 873.332 MiB
[MEMUSAGE] Rank 57:	 872.992 MiB
[MEMUSAGE] Rank 58:	 871.344 MiB
[MEMUSAGE] Rank 59:	 873.035 MiB
[MEMUSAGE] Rank 60:	 871.289 MiB
[MEMUSAGE] Rank 61:	 871.293 MiB
[MEMUSAGE] Rank 62:	 873.348 MiB
[MEMUSAGE] Rank 63:	 873.438 MiB
[MEMUSAGE] Rank 64:	 871.090 MiB
[MEMUSAGE] Rank 65:	 870.973 MiB
[MEMUSAGE] Rank 66:	 871.227 MiB
[MEMUSAGE] Rank 67:	 871.266 MiB
[MEMUSAGE] Rank 68:	 869.250 MiB
[MEMUSAGE] Rank 69:	 871.285 MiB
[MEMUSAGE] Rank 70:	 871.051 MiB
[MEMUSAGE] Rank 71:	 871.031 MiB
[MEMUSAGE] Rank 72:	 871.152 MiB
[MEMUSAGE] Rank 73:	 871.090 MiB
[MEMUSAGE] Rank 74:	 871.309 MiB
[MEMUSAGE] Rank 75:	 871.258 MiB
[MEMUSAGE] Rank 76:	 869.113 MiB
[MEMUSAGE] Rank 77:	 873.301 MiB
[MEMUSAGE] Rank 78:	 871.125 MiB
[MEMUSAGE] Rank 79:	 871.270 MiB
[MEMUSAGE] Rank 80:	 870.992 MiB
[MEMUSAGE] Rank 81:	 871.188 MiB
[MEMUSAGE] Rank 82:	 873.117 MiB
[MEMUSAGE] Rank 83:	 871.012 MiB
[MEMUSAGE] Rank 84:	 872.992 MiB
[MEMUSAGE] Rank 85:	 871.168 MiB
[MEMUSAGE] Rank 86:	 871.105 MiB
[MEMUSAGE] Rank 87:	 871.184 MiB
[MEMUSAGE] Rank 88:	 871.148 MiB
[MEMUSAGE] Rank 89:	 871.008 MiB
[MEMUSAGE] Rank 90:	 872.973 MiB
[MEMUSAGE] Rank 91:	 871.203 MiB
[MEMUSAGE] Rank 92:	 870.895 MiB
[MEMUSAGE] Rank 93:	 870.906 MiB
[MEMUSAGE] Rank 94:	 871.027 MiB
[MEMUSAGE] Rank 95:	 870.863 MiB
[MEMUSAGE] Rank 96:	 870.914 MiB
[MEMUSAGE] Rank 97:	 870.973 MiB
[MEMUSAGE] Rank 98:	 869.129 MiB
[MEMUSAGE] Rank 99:	 873.266 MiB
[MEMUSAGE] Rank 100:	 871.031 MiB
[MEMUSAGE] Rank 101:	 871.031 MiB
[MEMUSAGE] Rank 102:	 871.020 MiB
[MEMUSAGE] Rank 103:	 871.270 MiB
[MEMUSAGE] Rank 104:	 871.098 MiB
[MEMUSAGE] Rank 105:	 871.008 MiB
[MEMUSAGE] Rank 106:	 871.285 MiB
[MEMUSAGE] Rank 107:	 871.055 MiB
[MEMUSAGE] Rank 108:	 871.203 MiB
[MEMUSAGE] Rank 109:	 871.277 MiB
[MEMUSAGE] Rank 110:	 871.105 MiB
[MEMUSAGE] Rank 111:	 871.309 MiB
[MEMUSAGE] Rank 112:	 871.297 MiB
[MEMUSAGE] Rank 113:	 871.133 MiB
[MEMUSAGE] Rank 114:	 871.312 MiB
[MEMUSAGE] Rank 115:	 871.301 MiB
[MEMUSAGE] Rank 116:	 871.148 MiB
[MEMUSAGE] Rank 117:	 871.168 MiB
[MEMUSAGE] Rank 118:	 871.246 MiB
[MEMUSAGE] Rank 119:	 871.227 MiB
[MEMUSAGE] Rank 120:	 871.477 MiB
[MEMUSAGE] Rank 121:	 871.148 MiB
[MEMUSAGE] Rank 122:	 871.336 MiB
[MEMUSAGE] Rank 123:	 871.133 MiB
[MEMUSAGE] Rank 124:	 871.215 MiB
[MEMUSAGE] Rank 125:	 871.133 MiB
[MEMUSAGE] Rank 126:	 871.285 MiB
[MEMUSAGE] Rank 127:	 871.215 MiB
[MEMUSAGE] Rank 128:	 871.051 MiB
[MEMUSAGE] Rank 129:	 871.242 MiB
[MEMUSAGE] Rank 130:	 870.980 MiB
[MEMUSAGE] Rank 131:	 871.051 MiB
[MEMUSAGE] Rank 132:	 871.105 MiB
[MEMUSAGE] Rank 133:	 871.156 MiB
[MEMUSAGE] Rank 134:	 868.922 MiB
[MEMUSAGE] Rank 135:	 870.836 MiB
[MEMUSAGE] Rank 136:	 872.922 MiB
[MEMUSAGE] Rank 137:	 870.895 MiB
[MEMUSAGE] Rank 138:	 872.949 MiB
[MEMUSAGE] Rank 139:	 873.207 MiB
[MEMUSAGE] Rank 140:	 873.148 MiB
[MEMUSAGE] Rank 141:	 870.988 MiB
[MEMUSAGE] Rank 142:	 871.008 MiB
[MEMUSAGE] Rank 143:	 872.715 MiB
[MEMUSAGE] Rank 144:	 871.004 MiB
[MEMUSAGE] Rank 145:	 871.168 MiB
[MEMUSAGE] Rank 146:	 871.281 MiB
[MEMUSAGE] Rank 147:	 871.086 MiB
[MEMUSAGE] Rank 148:	 871.223 MiB
[MEMUSAGE] Rank 149:	 870.934 MiB
[MEMUSAGE] Rank 150:	 871.145 MiB
[MEMUSAGE] Rank 151:	 871.004 MiB
[MEMUSAGE] Rank 152:	 871.133 MiB
[MEMUSAGE] Rank 153:	 871.012 MiB
[MEMUSAGE] Rank 154:	 871.027 MiB
[MEMUSAGE] Rank 155:	 868.941 MiB
[MEMUSAGE] Rank 156:	 869.168 MiB
[MEMUSAGE] Rank 157:	 871.172 MiB
[MEMUSAGE] Rank 158:	 871.023 MiB
[MEMUSAGE] Rank 159:	 871.203 MiB
[MEMUSAGE] Rank 160:	 871.352 MiB
[MEMUSAGE] Rank 161:	 871.270 MiB
[MEMUSAGE] Rank 162:	 873.270 MiB
[MEMUSAGE] Rank 163:	 873.086 MiB
[MEMUSAGE] Rank 164:	 873.148 MiB
[MEMUSAGE] Rank 165:	 871.199 MiB
[MEMUSAGE] Rank 166:	 870.945 MiB
[MEMUSAGE] Rank 167:	 871.035 MiB
[MEMUSAGE] Rank 168:	 871.137 MiB
[MEMUSAGE] Rank 169:	 871.012 MiB
[MEMUSAGE] Rank 170:	 871.113 MiB
[MEMUSAGE] Rank 171:	 870.945 MiB
[MEMUSAGE] Rank 172:	 872.895 MiB
[MEMUSAGE] Rank 173:	 870.875 MiB
[MEMUSAGE] Rank 174:	 871.047 MiB
[MEMUSAGE] Rank 175:	 871.215 MiB
[MEMUSAGE] Rank 176:	 871.074 MiB
[MEMUSAGE] Rank 177:	 870.930 MiB
[MEMUSAGE] Rank 178:	 871.109 MiB
[MEMUSAGE] Rank 179:	 871.031 MiB
[MEMUSAGE] Rank 180:	 871.039 MiB
[MEMUSAGE] Rank 181:	 870.789 MiB
[MEMUSAGE] Rank 182:	 872.699 MiB
[MEMUSAGE] Rank 183:	 870.801 MiB
[MEMUSAGE] Rank 184:	 872.961 MiB
[MEMUSAGE] Rank 185:	 870.902 MiB
[MEMUSAGE] Rank 186:	 870.781 MiB
[MEMUSAGE] Rank 187:	 872.684 MiB
[MEMUSAGE] Rank 188:	 872.934 MiB
[MEMUSAGE] Rank 189:	 870.996 MiB
[MEMUSAGE] Rank 190:	 870.945 MiB
[MEMUSAGE] Rank 191:	 870.746 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
