nodelist=r23m[0164-0167]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 414664.859986  Avg time (s): 0.244467  Total time (s): 244.466763
[MEMUSAGE] Total Memory Consumption (max_rss): 167262.219 MiB
[MEMUSAGE] Rank 0:	 869.062 MiB
[MEMUSAGE] Rank 1:	 871.035 MiB
[MEMUSAGE] Rank 2:	 873.051 MiB
[MEMUSAGE] Rank 3:	 870.801 MiB
[MEMUSAGE] Rank 4:	 870.957 MiB
[MEMUSAGE] Rank 5:	 870.812 MiB
[MEMUSAGE] Rank 6:	 871.062 MiB
[MEMUSAGE] Rank 7:	 868.898 MiB
[MEMUSAGE] Rank 8:	 870.965 MiB
[MEMUSAGE] Rank 9:	 870.855 MiB
[MEMUSAGE] Rank 10:	 871.039 MiB
[MEMUSAGE] Rank 11:	 870.828 MiB
[MEMUSAGE] Rank 12:	 872.887 MiB
[MEMUSAGE] Rank 13:	 871.039 MiB
[MEMUSAGE] Rank 14:	 871.137 MiB
[MEMUSAGE] Rank 15:	 871.016 MiB
[MEMUSAGE] Rank 16:	 870.969 MiB
[MEMUSAGE] Rank 17:	 871.168 MiB
[MEMUSAGE] Rank 18:	 871.207 MiB
[MEMUSAGE] Rank 19:	 870.984 MiB
[MEMUSAGE] Rank 20:	 871.078 MiB
[MEMUSAGE] Rank 21:	 871.172 MiB
[MEMUSAGE] Rank 22:	 871.188 MiB
[MEMUSAGE] Rank 23:	 870.949 MiB
[MEMUSAGE] Rank 24:	 870.953 MiB
[MEMUSAGE] Rank 25:	 871.145 MiB
[MEMUSAGE] Rank 26:	 871.012 MiB
[MEMUSAGE] Rank 27:	 870.848 MiB
[MEMUSAGE] Rank 28:	 871.105 MiB
[MEMUSAGE] Rank 29:	 870.801 MiB
[MEMUSAGE] Rank 30:	 871.039 MiB
[MEMUSAGE] Rank 31:	 870.973 MiB
[MEMUSAGE] Rank 32:	 870.984 MiB
[MEMUSAGE] Rank 33:	 870.770 MiB
[MEMUSAGE] Rank 34:	 870.906 MiB
[MEMUSAGE] Rank 35:	 870.809 MiB
[MEMUSAGE] Rank 36:	 870.918 MiB
[MEMUSAGE] Rank 37:	 870.879 MiB
[MEMUSAGE] Rank 38:	 871.098 MiB
[MEMUSAGE] Rank 39:	 870.965 MiB
[MEMUSAGE] Rank 40:	 871.113 MiB
[MEMUSAGE] Rank 41:	 871.023 MiB
[MEMUSAGE] Rank 42:	 871.004 MiB
[MEMUSAGE] Rank 43:	 871.082 MiB
[MEMUSAGE] Rank 44:	 870.883 MiB
[MEMUSAGE] Rank 45:	 871.094 MiB
[MEMUSAGE] Rank 46:	 871.211 MiB
[MEMUSAGE] Rank 47:	 871.059 MiB
[MEMUSAGE] Rank 48:	 870.988 MiB
[MEMUSAGE] Rank 49:	 871.062 MiB
[MEMUSAGE] Rank 50:	 870.969 MiB
[MEMUSAGE] Rank 51:	 871.188 MiB
[MEMUSAGE] Rank 52:	 871.156 MiB
[MEMUSAGE] Rank 53:	 868.840 MiB
