nodelist=r23m[0043,0045-0051]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 828490.744702  Avg time (s): 0.244719  Total time (s): 244.719105
[MEMUSAGE] Total Memory Consumption (max_rss): 335404.832 MiB
[MEMUSAGE] Rank 0:	 873.473 MiB
[MEMUSAGE] Rank 1:	 873.309 MiB
[MEMUSAGE] Rank 2:	 875.457 MiB
[MEMUSAGE] Rank 3:	 873.215 MiB
[MEMUSAGE] Rank 4:	 873.266 MiB
[MEMUSAGE] Rank 5:	 871.191 MiB
[MEMUSAGE] Rank 6:	 873.262 MiB
[MEMUSAGE] Rank 7:	 873.246 MiB
[MEMUSAGE] Rank 8:	 873.199 MiB
[MEMUSAGE] Rank 9:	 873.480 MiB
[MEMUSAGE] Rank 10:	 875.383 MiB
[MEMUSAGE] Rank 11:	 873.379 MiB
[MEMUSAGE] Rank 12:	 871.141 MiB
[MEMUSAGE] Rank 13:	 873.211 MiB
[MEMUSAGE] Rank 14:	 873.297 MiB
[MEMUSAGE] Rank 15:	 873.266 MiB
[MEMUSAGE] Rank 16:	 873.574 MiB
[MEMUSAGE] Rank 17:	 873.496 MiB
[MEMUSAGE] Rank 18:	 873.602 MiB
[MEMUSAGE] Rank 19:	 873.562 MiB
[MEMUSAGE] Rank 20:	 873.691 MiB
[MEMUSAGE] Rank 21:	 873.477 MiB
[MEMUSAGE] Rank 22:	 871.617 MiB
[MEMUSAGE] Rank 23:	 873.418 MiB
[MEMUSAGE] Rank 24:	 873.367 MiB
[MEMUSAGE] Rank 25:	 873.309 MiB
[MEMUSAGE] Rank 26:	 875.277 MiB
[MEMUSAGE] Rank 27:	 873.441 MiB
[MEMUSAGE] Rank 28:	 873.473 MiB
[MEMUSAGE] Rank 29:	 873.176 MiB
[MEMUSAGE] Rank 30:	 873.242 MiB
[MEMUSAGE] Rank 31:	 875.305 MiB
[MEMUSAGE] Rank 32:	 873.559 MiB
[MEMUSAGE] Rank 33:	 873.273 MiB
[MEMUSAGE] Rank 34:	 875.426 MiB
[MEMUSAGE] Rank 35:	 873.410 MiB
[MEMUSAGE] Rank 36:	 873.305 MiB
