nodelist=n23m[0253-0254,0256,0258,0260-0262,0264-0265,0267-0271,0273-0274]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1651872.107858  Avg time (s): 0.245476  Total time (s): 245.476360
[MEMUSAGE] Total Memory Consumption (max_rss): 674364.500 MiB
[MEMUSAGE] Rank 0:	 878.113 MiB
[MEMUSAGE] Rank 1:	 877.973 MiB
[MEMUSAGE] Rank 2:	 879.980 MiB
[MEMUSAGE] Rank 3:	 877.871 MiB
[MEMUSAGE] Rank 4:	 877.926 MiB
[MEMUSAGE] Rank 5:	 878.191 MiB
[MEMUSAGE] Rank 6:	 878.070 MiB
[MEMUSAGE] Rank 7:	 877.895 MiB
[MEMUSAGE] Rank 8:	 878.156 MiB
[MEMUSAGE] Rank 9:	 877.855 MiB
[MEMUSAGE] Rank 10:	 878.168 MiB
[MEMUSAGE] Rank 11:	 877.879 MiB
[MEMUSAGE] Rank 12:	 878.125 MiB
[MEMUSAGE] Rank 13:	 877.820 MiB
[MEMUSAGE] Rank 14:	 878.004 MiB
[MEMUSAGE] Rank 15:	 877.836 MiB
[MEMUSAGE] Rank 16:	 878.164 MiB
[MEMUSAGE] Rank 17:	 880.172 MiB
[MEMUSAGE] Rank 18:	 877.891 MiB
[MEMUSAGE] Rank 19:	 877.918 MiB
[MEMUSAGE] Rank 20:	 877.934 MiB
[MEMUSAGE] Rank 21:	 877.848 MiB
[MEMUSAGE] Rank 22:	 877.988 MiB
[MEMUSAGE] Rank 23:	 877.883 MiB
[MEMUSAGE] Rank 24:	 878.039 MiB
[MEMUSAGE] Rank 25:	 878.184 MiB
[MEMUSAGE] Rank 26:	 878.164 MiB
[MEMUSAGE] Rank 27:	 877.852 MiB
[MEMUSAGE] Rank 28:	 879.906 MiB
[MEMUSAGE] Rank 29:	 877.770 MiB
[MEMUSAGE] Rank 30:	 879.984 MiB
[MEMUSAGE] Rank 31:	 878.023 MiB
[MEMUSAGE] Rank 32:	 880.059 MiB
[MEMUSAGE] Rank 33:	 877.961 MiB
[MEMUSAGE] Rank 34:	 877.840 MiB
[MEMUSAGE] Rank 35:	 877.891 MiB
[MEMUSAGE] Rank 36:	 878.164 MiB
[MEMUSAGE] Rank 37:	 878.016 MiB
[MEMUSAGE] Rank 38:	 877.867 MiB
[MEMUSAGE] Rank 39:	 879.898 MiB
[MEMUSAGE] Rank 40:	 877.863 MiB
[MEMUSAGE] Rank 41:	 881.934 MiB
[MEMUSAGE] Rank 42:	 877.945 MiB
[MEMUSAGE] Rank 43:	 878.062 MiB
[MEMUSAGE] Rank 44:	 877.996 MiB
[MEMUSAGE] Rank 45:	 878.086 MiB
[MEMUSAGE] Rank 46:	 877.934 MiB
[MEMUSAGE] Rank 47:	 877.758 MiB
[MEMUSAGE] Rank 48:	 878.004 MiB
[MEMUSAGE] Rank 49:	 877.996 MiB
[MEMUSAGE] Rank 50:	 879.918 MiB
[MEMUSAGE] Rank 51:	 877.820 MiB
[MEMUSAGE] Rank 52:	 878.109 MiB
[MEMUSAGE] Rank 53:	 877.910 MiB
[MEMUSAGE] Rank 54:	 878.082 MiB
[MEMUSAGE] Rank 55:	 877.887 MiB
[MEMUSAGE] Rank 56:	 877.855 MiB
[MEMUSAGE] Rank 57:	 878.062 MiB
[MEMUSAGE] Rank 58:	 877.910 MiB
[MEMUSAGE] Rank 59:	 875.762 MiB
[MEMUSAGE] Rank 60:	 877.984 MiB
[MEMUSAGE] Rank 61:	 880.086 MiB
[MEMUSAGE] Rank 62:	 878.109 MiB
