result:
| bench_id | wp_id |  compile | measurement | tasks | num_iters | grid_size | time_avg | time_std |    rate (MFlops/s) | verification |
|----------|-------|----------|-------------|-------|-----------|-----------|----------|----------|--------------------|--------------|
|       65 |     6 |     base |        base |    48 |      1000 |     48000 |  260.057 |    0.087 |     168304.5712458 |      SUCCESS |
|       65 |    32 | tsan-opt |        must |    48 |      1000 |     48000 |  275.813 |    5.135 | 158733.88514880004 |      FAILURE |
|       65 |    10 |     base |        base |    96 |      1000 |     67883 |  260.559 |    0.036 |    335984.44933925 |      SUCCESS |
|       65 |    35 | tsan-opt |        must |    96 |      1000 |     67883 |  273.057 |    0.436 |     320606.1782406 |      SUCCESS |
|       65 |    15 |     base |        base |   192 |      1000 |     96000 |  260.460 |    0.035 |     672230.3407702 |      SUCCESS |
|       65 |    40 | tsan-opt |        must |   192 |      1000 |     96000 |  274.915 |    1.348 |  636895.6788946666 |      SUCCESS |
|       65 |    20 |     base |        base |   384 |      1000 |    135765 |  263.120 |    4.894 | 1331270.6014136001 |      SUCCESS |
|       65 |    45 | tsan-opt |        must |   384 |      1000 |    135765 |  292.588 |   21.573 | 1201476.0272610001 |      FAILURE |
|       65 |    28 |     base |        base |   768 |      1000 |    192000 |  272.775 |    0.092 |  2567638.229312667 |      SUCCESS |
|       65 |    50 | tsan-opt |        must |   768 |      1000 |    192000 |  295.646 |   15.044 | 2373091.7611893336 |      FAILURE |
