nodelist=r23m[0209-0211]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 125
# Total number of elements: 1000000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  125
   Iteration count     =  3517
   Final Origin Energy =  1.791828e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 1.135049e-09
        TotalAbsDiff = 1.028366e-08
        MaxRelDiff   = 2.474559e-14

Elapsed time         =         63 (s)
Grind time (us/z/c)  =  2.2520707 (per dom)  ( 63.364262 overall)
FOM                  =  55504.474 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 19115.078 MiB
[MEMUSAGE] Rank 0:	 144.496 MiB
[MEMUSAGE] Rank 1:	 144.402 MiB
[MEMUSAGE] Rank 2:	 144.484 MiB
[MEMUSAGE] Rank 3:	 144.520 MiB
[MEMUSAGE] Rank 4:	 144.098 MiB
[MEMUSAGE] Rank 5:	 144.445 MiB
[MEMUSAGE] Rank 6:	 146.406 MiB
[MEMUSAGE] Rank 7:	 144.434 MiB
[MEMUSAGE] Rank 8:	 144.574 MiB
[MEMUSAGE] Rank 9:	 146.547 MiB
[MEMUSAGE] Rank 10:	 144.438 MiB
[MEMUSAGE] Rank 11:	 154.699 MiB
[MEMUSAGE] Rank 12:	 156.574 MiB
[MEMUSAGE] Rank 13:	 154.371 MiB
[MEMUSAGE] Rank 14:	 154.367 MiB
[MEMUSAGE] Rank 15:	 154.430 MiB
[MEMUSAGE] Rank 16:	 156.500 MiB
[MEMUSAGE] Rank 17:	 154.578 MiB
[MEMUSAGE] Rank 18:	 154.406 MiB
[MEMUSAGE] Rank 19:	 154.488 MiB
[MEMUSAGE] Rank 20:	 154.285 MiB
[MEMUSAGE] Rank 21:	 154.328 MiB
[MEMUSAGE] Rank 22:	 154.391 MiB
[MEMUSAGE] Rank 23:	 154.406 MiB
[MEMUSAGE] Rank 24:	 153.969 MiB
[MEMUSAGE] Rank 25:	 154.488 MiB
[MEMUSAGE] Rank 26:	 154.195 MiB
[MEMUSAGE] Rank 27:	 154.383 MiB
[MEMUSAGE] Rank 28:	 156.000 MiB
[MEMUSAGE] Rank 29:	 154.129 MiB
[MEMUSAGE] Rank 30:	 154.289 MiB
[MEMUSAGE] Rank 31:	 154.520 MiB
[MEMUSAGE] Rank 32:	 154.574 MiB
[MEMUSAGE] Rank 33:	 154.641 MiB
[MEMUSAGE] Rank 34:	 154.293 MiB
[MEMUSAGE] Rank 35:	 156.285 MiB
[MEMUSAGE] Rank 36:	 156.504 MiB
[MEMUSAGE] Rank 37:	 154.586 MiB
[MEMUSAGE] Rank 38:	 154.340 MiB
[MEMUSAGE] Rank 39:	 156.297 MiB
[MEMUSAGE] Rank 40:	 154.199 MiB
[MEMUSAGE] Rank 41:	 154.453 MiB
[MEMUSAGE] Rank 42:	 154.383 MiB
[MEMUSAGE] Rank 43:	 154.328 MiB
[MEMUSAGE] Rank 44:	 154.453 MiB
[MEMUSAGE] Rank 45:	 156.102 MiB
[MEMUSAGE] Rank 46:	 156.227 MiB
[MEMUSAGE] Rank 47:	 154.133 MiB
[MEMUSAGE] Rank 48:	 154.316 MiB
[MEMUSAGE] Rank 49:	 154.090 MiB
[MEMUSAGE] Rank 50:	 154.180 MiB
[MEMUSAGE] Rank 51:	 154.391 MiB
[MEMUSAGE] Rank 52:	 154.141 MiB
[MEMUSAGE] Rank 53:	 154.355 MiB
[MEMUSAGE] Rank 54:	 156.008 MiB
[MEMUSAGE] Rank 55:	 154.082 MiB
[MEMUSAGE] Rank 56:	 154.320 MiB
[MEMUSAGE] Rank 57:	 154.270 MiB
[MEMUSAGE] Rank 58:	 154.320 MiB
[MEMUSAGE] Rank 59:	 154.152 MiB
[MEMUSAGE] Rank 60:	 154.402 MiB
[MEMUSAGE] Rank 61:	 154.434 MiB
[MEMUSAGE] Rank 62:	 154.324 MiB
[MEMUSAGE] Rank 63:	 154.293 MiB
[MEMUSAGE] Rank 64:	 154.312 MiB
[MEMUSAGE] Rank 65:	 154.238 MiB
[MEMUSAGE] Rank 66:	 156.441 MiB
[MEMUSAGE] Rank 67:	 154.453 MiB
[MEMUSAGE] Rank 68:	 156.266 MiB
[MEMUSAGE] Rank 69:	 154.145 MiB
[MEMUSAGE] Rank 70:	 154.102 MiB
[MEMUSAGE] Rank 71:	 154.234 MiB
[MEMUSAGE] Rank 72:	 156.223 MiB
[MEMUSAGE] Rank 73:	 154.250 MiB
[MEMUSAGE] Rank 74:	 154.031 MiB
[MEMUSAGE] Rank 75:	 154.027 MiB
[MEMUSAGE] Rank 76:	 154.113 MiB
[MEMUSAGE] Rank 77:	 154.281 MiB
[MEMUSAGE] Rank 78:	 154.219 MiB
[MEMUSAGE] Rank 79:	 154.094 MiB
[MEMUSAGE] Rank 80:	 154.191 MiB
[MEMUSAGE] Rank 81:	 154.270 MiB
[MEMUSAGE] Rank 82:	 154.305 MiB
[MEMUSAGE] Rank 83:	 154.281 MiB
[MEMUSAGE] Rank 84:	 154.191 MiB
[MEMUSAGE] Rank 85:	 154.230 MiB
[MEMUSAGE] Rank 86:	 154.398 MiB
[MEMUSAGE] Rank 87:	 154.305 MiB
[MEMUSAGE] Rank 88:	 154.375 MiB
[MEMUSAGE] Rank 89:	 154.230 MiB
[MEMUSAGE] Rank 90:	 156.305 MiB
[MEMUSAGE] Rank 91:	 154.523 MiB
[MEMUSAGE] Rank 92:	 156.398 MiB
[MEMUSAGE] Rank 93:	 154.516 MiB
[MEMUSAGE] Rank 94:	 154.258 MiB
[MEMUSAGE] Rank 95:	 154.082 MiB
[MEMUSAGE] Rank 96:	 154.191 MiB
[MEMUSAGE] Rank 97:	 154.039 MiB
[MEMUSAGE] Rank 98:	 154.086 MiB
[MEMUSAGE] Rank 99:	 154.059 MiB
[MEMUSAGE] Rank 100:	 153.957 MiB
[MEMUSAGE] Rank 101:	 153.992 MiB
[MEMUSAGE] Rank 102:	 153.918 MiB
[MEMUSAGE] Rank 103:	 156.020 MiB
[MEMUSAGE] Rank 104:	 153.910 MiB
[MEMUSAGE] Rank 105:	 154.004 MiB
[MEMUSAGE] Rank 106:	 154.148 MiB
[MEMUSAGE] Rank 107:	 156.102 MiB
[MEMUSAGE] Rank 108:	 154.332 MiB
[MEMUSAGE] Rank 109:	 154.043 MiB
[MEMUSAGE] Rank 110:	 154.023 MiB
[MEMUSAGE] Rank 111:	 154.125 MiB
[MEMUSAGE] Rank 112:	 154.078 MiB
[MEMUSAGE] Rank 113:	 156.184 MiB
[MEMUSAGE] Rank 114:	 154.203 MiB
[MEMUSAGE] Rank 115:	 144.086 MiB
[MEMUSAGE] Rank 116:	 144.141 MiB
[MEMUSAGE] Rank 117:	 144.242 MiB
[MEMUSAGE] Rank 118:	 144.137 MiB
[MEMUSAGE] Rank 119:	 143.973 MiB
[MEMUSAGE] Rank 120:	 143.934 MiB
[MEMUSAGE] Rank 121:	 146.020 MiB
[MEMUSAGE] Rank 122:	 144.156 MiB
[MEMUSAGE] Rank 123:	 144.113 MiB
[MEMUSAGE] Rank 124:	 146.059 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
