nodelist=r23m[0184-0188]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 216
# Total number of elements: 1728000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  216
   Iteration count     =  4264
   Final Origin Energy =  2.489232e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.270099e-09
        TotalAbsDiff = 1.747094e-08
        MaxRelDiff   = 4.423149e-14

Elapsed time         =         91 (s)
Grind time (us/z/c)  =  2.6634216 (per dom)  ( 90.854636 overall)
FOM                  =   81098.69 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 33540.281 MiB
[MEMUSAGE] Rank 0:	 145.297 MiB
[MEMUSAGE] Rank 1:	 155.219 MiB
[MEMUSAGE] Rank 2:	 157.355 MiB
[MEMUSAGE] Rank 3:	 155.117 MiB
[MEMUSAGE] Rank 4:	 157.316 MiB
[MEMUSAGE] Rank 5:	 155.078 MiB
[MEMUSAGE] Rank 6:	 155.289 MiB
[MEMUSAGE] Rank 7:	 155.277 MiB
[MEMUSAGE] Rank 8:	 155.344 MiB
[MEMUSAGE] Rank 9:	 155.316 MiB
[MEMUSAGE] Rank 10:	 155.340 MiB
[MEMUSAGE] Rank 11:	 155.238 MiB
[MEMUSAGE] Rank 12:	 155.340 MiB
[MEMUSAGE] Rank 13:	 155.352 MiB
[MEMUSAGE] Rank 14:	 155.398 MiB
[MEMUSAGE] Rank 15:	 155.301 MiB
[MEMUSAGE] Rank 16:	 155.453 MiB
[MEMUSAGE] Rank 17:	 155.164 MiB
[MEMUSAGE] Rank 18:	 155.395 MiB
[MEMUSAGE] Rank 19:	 155.434 MiB
[MEMUSAGE] Rank 20:	 157.387 MiB
[MEMUSAGE] Rank 21:	 155.199 MiB
[MEMUSAGE] Rank 22:	 155.473 MiB
[MEMUSAGE] Rank 23:	 155.031 MiB
[MEMUSAGE] Rank 24:	 155.355 MiB
[MEMUSAGE] Rank 25:	 155.133 MiB
[MEMUSAGE] Rank 26:	 155.301 MiB
[MEMUSAGE] Rank 27:	 155.340 MiB
[MEMUSAGE] Rank 28:	 155.320 MiB
[MEMUSAGE] Rank 29:	 155.004 MiB
[MEMUSAGE] Rank 30:	 155.082 MiB
[MEMUSAGE] Rank 31:	 154.988 MiB
[MEMUSAGE] Rank 32:	 155.121 MiB
[MEMUSAGE] Rank 33:	 155.102 MiB
[MEMUSAGE] Rank 34:	 155.250 MiB
[MEMUSAGE] Rank 35:	 155.016 MiB
[MEMUSAGE] Rank 36:	 155.211 MiB
[MEMUSAGE] Rank 37:	 155.117 MiB
[MEMUSAGE] Rank 38:	 155.348 MiB
[MEMUSAGE] Rank 39:	 155.059 MiB
[MEMUSAGE] Rank 40:	 155.223 MiB
[MEMUSAGE] Rank 41:	 155.004 MiB
[MEMUSAGE] Rank 42:	 155.387 MiB
[MEMUSAGE] Rank 43:	 155.070 MiB
[MEMUSAGE] Rank 44:	 155.387 MiB
[MEMUSAGE] Rank 45:	 155.254 MiB
[MEMUSAGE] Rank 46:	 155.406 MiB
[MEMUSAGE] Rank 47:	 155.141 MiB
[MEMUSAGE] Rank 48:	 155.383 MiB
[MEMUSAGE] Rank 49:	 155.238 MiB
[MEMUSAGE] Rank 50:	 155.301 MiB
[MEMUSAGE] Rank 51:	 155.270 MiB
[MEMUSAGE] Rank 52:	 155.367 MiB
[MEMUSAGE] Rank 53:	 155.219 MiB
[MEMUSAGE] Rank 54:	 155.219 MiB
[MEMUSAGE] Rank 55:	 155.203 MiB
[MEMUSAGE] Rank 56:	 157.176 MiB
[MEMUSAGE] Rank 57:	 155.090 MiB
[MEMUSAGE] Rank 58:	 155.102 MiB
[MEMUSAGE] Rank 59:	 154.957 MiB
[MEMUSAGE] Rank 60:	 157.191 MiB
[MEMUSAGE] Rank 61:	 155.223 MiB
[MEMUSAGE] Rank 62:	 155.074 MiB
[MEMUSAGE] Rank 63:	 155.270 MiB
[MEMUSAGE] Rank 64:	 155.133 MiB
[MEMUSAGE] Rank 65:	 155.172 MiB
[MEMUSAGE] Rank 66:	 152.945 MiB
[MEMUSAGE] Rank 67:	 155.227 MiB
[MEMUSAGE] Rank 68:	 155.184 MiB
[MEMUSAGE] Rank 69:	 155.098 MiB
[MEMUSAGE] Rank 70:	 153.297 MiB
[MEMUSAGE] Rank 71:	 155.008 MiB
[MEMUSAGE] Rank 72:	 155.078 MiB
[MEMUSAGE] Rank 73:	 155.047 MiB
[MEMUSAGE] Rank 74:	 155.180 MiB
[MEMUSAGE] Rank 75:	 155.242 MiB
[MEMUSAGE] Rank 76:	 155.285 MiB
[MEMUSAGE] Rank 77:	 155.145 MiB
[MEMUSAGE] Rank 78:	 153.227 MiB
[MEMUSAGE] Rank 79:	 155.219 MiB
[MEMUSAGE] Rank 80:	 155.293 MiB
[MEMUSAGE] Rank 81:	 155.227 MiB
[MEMUSAGE] Rank 82:	 155.250 MiB
[MEMUSAGE] Rank 83:	 153.113 MiB
[MEMUSAGE] Rank 84:	 155.133 MiB
[MEMUSAGE] Rank 85:	 155.191 MiB
[MEMUSAGE] Rank 86:	 155.266 MiB
[MEMUSAGE] Rank 87:	 155.148 MiB
[MEMUSAGE] Rank 88:	 155.270 MiB
[MEMUSAGE] Rank 89:	 155.070 MiB
[MEMUSAGE] Rank 90:	 155.293 MiB
[MEMUSAGE] Rank 91:	 155.363 MiB
[MEMUSAGE] Rank 92:	 155.434 MiB
[MEMUSAGE] Rank 93:	 155.465 MiB
[MEMUSAGE] Rank 94:	 155.434 MiB
[MEMUSAGE] Rank 95:	 154.883 MiB
[MEMUSAGE] Rank 96:	 155.145 MiB
[MEMUSAGE] Rank 97:	 157.098 MiB
[MEMUSAGE] Rank 98:	 155.223 MiB
[MEMUSAGE] Rank 99:	 155.121 MiB
[MEMUSAGE] Rank 100:	 155.340 MiB
[MEMUSAGE] Rank 101:	 155.316 MiB
[MEMUSAGE] Rank 102:	 157.188 MiB
[MEMUSAGE] Rank 103:	 155.262 MiB
[MEMUSAGE] Rank 104:	 155.367 MiB
[MEMUSAGE] Rank 105:	 155.219 MiB
[MEMUSAGE] Rank 106:	 155.223 MiB
[MEMUSAGE] Rank 107:	 157.086 MiB
[MEMUSAGE] Rank 108:	 155.309 MiB
[MEMUSAGE] Rank 109:	 155.492 MiB
[MEMUSAGE] Rank 110:	 155.238 MiB
[MEMUSAGE] Rank 111:	 155.324 MiB
[MEMUSAGE] Rank 112:	 155.316 MiB
[MEMUSAGE] Rank 113:	 157.117 MiB
[MEMUSAGE] Rank 114:	 155.289 MiB
[MEMUSAGE] Rank 115:	 155.219 MiB
[MEMUSAGE] Rank 116:	 155.328 MiB
[MEMUSAGE] Rank 117:	 155.137 MiB
[MEMUSAGE] Rank 118:	 155.266 MiB
[MEMUSAGE] Rank 119:	 155.230 MiB
[MEMUSAGE] Rank 120:	 155.160 MiB
[MEMUSAGE] Rank 121:	 155.188 MiB
[MEMUSAGE] Rank 122:	 155.227 MiB
[MEMUSAGE] Rank 123:	 155.215 MiB
[MEMUSAGE] Rank 124:	 155.258 MiB
[MEMUSAGE] Rank 125:	 155.035 MiB
[MEMUSAGE] Rank 126:	 155.129 MiB
[MEMUSAGE] Rank 127:	 155.211 MiB
[MEMUSAGE] Rank 128:	 155.047 MiB
[MEMUSAGE] Rank 129:	 155.055 MiB
[MEMUSAGE] Rank 130:	 153.523 MiB
[MEMUSAGE] Rank 131:	 155.094 MiB
[MEMUSAGE] Rank 132:	 155.348 MiB
[MEMUSAGE] Rank 133:	 155.422 MiB
[MEMUSAGE] Rank 134:	 155.344 MiB
[MEMUSAGE] Rank 135:	 155.340 MiB
[MEMUSAGE] Rank 136:	 155.281 MiB
[MEMUSAGE] Rank 137:	 157.227 MiB
[MEMUSAGE] Rank 138:	 157.203 MiB
[MEMUSAGE] Rank 139:	 155.234 MiB
[MEMUSAGE] Rank 140:	 155.484 MiB
[MEMUSAGE] Rank 141:	 155.184 MiB
[MEMUSAGE] Rank 142:	 157.312 MiB
[MEMUSAGE] Rank 143:	 154.965 MiB
[MEMUSAGE] Rank 144:	 155.234 MiB
[MEMUSAGE] Rank 145:	 155.180 MiB
[MEMUSAGE] Rank 146:	 155.156 MiB
[MEMUSAGE] Rank 147:	 155.258 MiB
[MEMUSAGE] Rank 148:	 155.227 MiB
[MEMUSAGE] Rank 149:	 154.980 MiB
[MEMUSAGE] Rank 150:	 155.148 MiB
[MEMUSAGE] Rank 151:	 155.195 MiB
[MEMUSAGE] Rank 152:	 157.242 MiB
[MEMUSAGE] Rank 153:	 155.094 MiB
[MEMUSAGE] Rank 154:	 155.324 MiB
[MEMUSAGE] Rank 155:	 155.195 MiB
[MEMUSAGE] Rank 156:	 155.375 MiB
[MEMUSAGE] Rank 157:	 156.934 MiB
[MEMUSAGE] Rank 158:	 157.090 MiB
[MEMUSAGE] Rank 159:	 155.426 MiB
[MEMUSAGE] Rank 160:	 155.172 MiB
[MEMUSAGE] Rank 161:	 155.109 MiB
[MEMUSAGE] Rank 162:	 155.148 MiB
[MEMUSAGE] Rank 163:	 155.090 MiB
[MEMUSAGE] Rank 164:	 155.270 MiB
[MEMUSAGE] Rank 165:	 155.207 MiB
[MEMUSAGE] Rank 166:	 155.371 MiB
[MEMUSAGE] Rank 167:	 155.168 MiB
[MEMUSAGE] Rank 168:	 155.395 MiB
[MEMUSAGE] Rank 169:	 154.961 MiB
[MEMUSAGE] Rank 170:	 157.184 MiB
[MEMUSAGE] Rank 171:	 155.297 MiB
[MEMUSAGE] Rank 172:	 155.211 MiB
[MEMUSAGE] Rank 173:	 155.352 MiB
[MEMUSAGE] Rank 174:	 155.156 MiB
[MEMUSAGE] Rank 175:	 155.102 MiB
[MEMUSAGE] Rank 176:	 155.270 MiB
[MEMUSAGE] Rank 177:	 155.277 MiB
[MEMUSAGE] Rank 178:	 155.121 MiB
[MEMUSAGE] Rank 179:	 155.184 MiB
[MEMUSAGE] Rank 180:	 154.910 MiB
[MEMUSAGE] Rank 181:	 155.258 MiB
[MEMUSAGE] Rank 182:	 155.008 MiB
[MEMUSAGE] Rank 183:	 157.062 MiB
[MEMUSAGE] Rank 184:	 155.113 MiB
[MEMUSAGE] Rank 185:	 155.012 MiB
[MEMUSAGE] Rank 186:	 155.125 MiB
[MEMUSAGE] Rank 187:	 155.172 MiB
[MEMUSAGE] Rank 188:	 154.941 MiB
[MEMUSAGE] Rank 189:	 157.102 MiB
[MEMUSAGE] Rank 190:	 155.090 MiB
[MEMUSAGE] Rank 191:	 154.910 MiB
[MEMUSAGE] Rank 192:	 154.895 MiB
[MEMUSAGE] Rank 193:	 155.160 MiB
[MEMUSAGE] Rank 194:	 155.219 MiB
[MEMUSAGE] Rank 195:	 155.188 MiB
[MEMUSAGE] Rank 196:	 155.219 MiB
[MEMUSAGE] Rank 197:	 155.121 MiB
[MEMUSAGE] Rank 198:	 155.070 MiB
[MEMUSAGE] Rank 199:	 154.973 MiB
[MEMUSAGE] Rank 200:	 155.125 MiB
[MEMUSAGE] Rank 201:	 155.109 MiB
[MEMUSAGE] Rank 202:	 155.148 MiB
[MEMUSAGE] Rank 203:	 155.035 MiB
[MEMUSAGE] Rank 204:	 155.109 MiB
[MEMUSAGE] Rank 205:	 157.133 MiB
[MEMUSAGE] Rank 206:	 155.176 MiB
[MEMUSAGE] Rank 207:	 154.859 MiB
[MEMUSAGE] Rank 208:	 155.219 MiB
[MEMUSAGE] Rank 209:	 155.090 MiB
[MEMUSAGE] Rank 210:	 154.953 MiB
[MEMUSAGE] Rank 211:	 154.844 MiB
[MEMUSAGE] Rank 212:	 155.055 MiB
[MEMUSAGE] Rank 213:	 155.117 MiB
[MEMUSAGE] Rank 214:	 155.078 MiB
[MEMUSAGE] Rank 215:	 154.918 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
