nodelist=n23m[0234-0236,0343-0346,0348-0350,0363]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6241126 (per dom)  ( 120.77216 overall)
FOM                  =  195113.58 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81417.750 MiB
[MEMUSAGE] Rank 0:	 158.629 MiB
[MEMUSAGE] Rank 1:	 158.648 MiB
[MEMUSAGE] Rank 2:	 158.605 MiB
[MEMUSAGE] Rank 3:	 158.590 MiB
[MEMUSAGE] Rank 4:	 156.547 MiB
[MEMUSAGE] Rank 5:	 158.629 MiB
[MEMUSAGE] Rank 6:	 158.660 MiB
[MEMUSAGE] Rank 7:	 160.707 MiB
[MEMUSAGE] Rank 8:	 158.570 MiB
[MEMUSAGE] Rank 9:	 158.695 MiB
[MEMUSAGE] Rank 10:	 158.957 MiB
[MEMUSAGE] Rank 11:	 160.840 MiB
[MEMUSAGE] Rank 12:	 158.727 MiB
[MEMUSAGE] Rank 13:	 158.730 MiB
[MEMUSAGE] Rank 14:	 158.809 MiB
[MEMUSAGE] Rank 15:	 158.789 MiB
[MEMUSAGE] Rank 16:	 158.895 MiB
[MEMUSAGE] Rank 17:	 158.891 MiB
[MEMUSAGE] Rank 18:	 158.984 MiB
[MEMUSAGE] Rank 19:	 158.828 MiB
[MEMUSAGE] Rank 20:	 158.871 MiB
[MEMUSAGE] Rank 21:	 160.715 MiB
[MEMUSAGE] Rank 22:	 160.914 MiB
[MEMUSAGE] Rank 23:	 158.441 MiB
[MEMUSAGE] Rank 24:	 158.941 MiB
[MEMUSAGE] Rank 25:	 158.859 MiB
[MEMUSAGE] Rank 26:	 160.887 MiB
[MEMUSAGE] Rank 27:	 158.887 MiB
[MEMUSAGE] Rank 28:	 158.895 MiB
[MEMUSAGE] Rank 29:	 158.875 MiB
[MEMUSAGE] Rank 30:	 158.727 MiB
[MEMUSAGE] Rank 31:	 160.520 MiB
[MEMUSAGE] Rank 32:	 158.613 MiB
[MEMUSAGE] Rank 33:	 158.762 MiB
[MEMUSAGE] Rank 34:	 158.742 MiB
[MEMUSAGE] Rank 35:	 158.703 MiB
[MEMUSAGE] Rank 36:	 158.695 MiB
[MEMUSAGE] Rank 37:	 158.898 MiB
[MEMUSAGE] Rank 38:	 158.730 MiB
[MEMUSAGE] Rank 39:	 158.469 MiB
[MEMUSAGE] Rank 40:	 158.645 MiB
[MEMUSAGE] Rank 41:	 158.824 MiB
[MEMUSAGE] Rank 42:	 158.742 MiB
[MEMUSAGE] Rank 43:	 158.816 MiB
[MEMUSAGE] Rank 44:	 158.863 MiB
[MEMUSAGE] Rank 45:	 158.734 MiB
[MEMUSAGE] Rank 46:	 156.746 MiB
[MEMUSAGE] Rank 47:	 160.629 MiB
[MEMUSAGE] Rank 48:	 158.699 MiB
[MEMUSAGE] Rank 49:	 158.832 MiB
[MEMUSAGE] Rank 50:	 160.660 MiB
[MEMUSAGE] Rank 51:	 158.797 MiB
[MEMUSAGE] Rank 52:	 160.820 MiB
[MEMUSAGE] Rank 53:	 158.703 MiB
[MEMUSAGE] Rank 54:	 158.691 MiB
[MEMUSAGE] Rank 55:	 160.371 MiB
[MEMUSAGE] Rank 56:	 158.543 MiB
[MEMUSAGE] Rank 57:	 160.566 MiB
[MEMUSAGE] Rank 58:	 158.570 MiB
[MEMUSAGE] Rank 59:	 158.875 MiB
[MEMUSAGE] Rank 60:	 158.832 MiB
[MEMUSAGE] Rank 61:	 158.688 MiB
[MEMUSAGE] Rank 62:	 160.465 MiB
[MEMUSAGE] Rank 63:	 158.402 MiB
[MEMUSAGE] Rank 64:	 158.598 MiB
[MEMUSAGE] Rank 65:	 158.547 MiB
[MEMUSAGE] Rank 66:	 158.746 MiB
[MEMUSAGE] Rank 67:	 158.570 MiB
[MEMUSAGE] Rank 68:	 160.730 MiB
[MEMUSAGE] Rank 69:	 158.738 MiB
[MEMUSAGE] Rank 70:	 158.828 MiB
[MEMUSAGE] Rank 71:	 158.680 MiB
[MEMUSAGE] Rank 72:	 158.504 MiB
[MEMUSAGE] Rank 73:	 158.695 MiB
[MEMUSAGE] Rank 74:	 158.852 MiB
[MEMUSAGE] Rank 75:	 158.711 MiB
[MEMUSAGE] Rank 76:	 158.789 MiB
[MEMUSAGE] Rank 77:	 158.859 MiB
[MEMUSAGE] Rank 78:	 158.742 MiB
[MEMUSAGE] Rank 79:	 158.621 MiB
[MEMUSAGE] Rank 80:	 158.977 MiB
[MEMUSAGE] Rank 81:	 158.910 MiB
[MEMUSAGE] Rank 82:	 160.910 MiB
[MEMUSAGE] Rank 83:	 159.047 MiB
[MEMUSAGE] Rank 84:	 159.121 MiB
[MEMUSAGE] Rank 85:	 158.891 MiB
[MEMUSAGE] Rank 86:	 159.082 MiB
[MEMUSAGE] Rank 87:	 156.871 MiB
[MEMUSAGE] Rank 88:	 158.816 MiB
[MEMUSAGE] Rank 89:	 158.930 MiB
[MEMUSAGE] Rank 90:	 158.875 MiB
[MEMUSAGE] Rank 91:	 158.773 MiB
[MEMUSAGE] Rank 92:	 158.961 MiB
[MEMUSAGE] Rank 93:	 158.812 MiB
[MEMUSAGE] Rank 94:	 158.789 MiB
[MEMUSAGE] Rank 95:	 158.551 MiB
[MEMUSAGE] Rank 96:	 160.879 MiB
[MEMUSAGE] Rank 97:	 158.637 MiB
[MEMUSAGE] Rank 98:	 156.711 MiB
[MEMUSAGE] Rank 99:	 158.652 MiB
[MEMUSAGE] Rank 100:	 158.668 MiB
[MEMUSAGE] Rank 101:	 160.621 MiB
[MEMUSAGE] Rank 102:	 158.918 MiB
[MEMUSAGE] Rank 103:	 158.500 MiB
[MEMUSAGE] Rank 104:	 158.984 MiB
[MEMUSAGE] Rank 105:	 158.898 MiB
[MEMUSAGE] Rank 106:	 159.000 MiB
[MEMUSAGE] Rank 107:	 158.695 MiB
[MEMUSAGE] Rank 108:	 158.988 MiB
[MEMUSAGE] Rank 109:	 158.727 MiB
[MEMUSAGE] Rank 110:	 158.941 MiB
[MEMUSAGE] Rank 111:	 158.625 MiB
[MEMUSAGE] Rank 112:	 158.824 MiB
[MEMUSAGE] Rank 113:	 158.949 MiB
[MEMUSAGE] Rank 114:	 159.027 MiB
[MEMUSAGE] Rank 115:	 160.961 MiB
[MEMUSAGE] Rank 116:	 159.070 MiB
[MEMUSAGE] Rank 117:	 158.906 MiB
[MEMUSAGE] Rank 118:	 159.109 MiB
[MEMUSAGE] Rank 119:	 158.652 MiB
[MEMUSAGE] Rank 120:	 158.734 MiB
[MEMUSAGE] Rank 121:	 158.777 MiB
[MEMUSAGE] Rank 122:	 158.789 MiB
[MEMUSAGE] Rank 123:	 158.660 MiB
[MEMUSAGE] Rank 124:	 156.770 MiB
[MEMUSAGE] Rank 125:	 158.805 MiB
[MEMUSAGE] Rank 126:	 158.941 MiB
[MEMUSAGE] Rank 127:	 158.707 MiB
[MEMUSAGE] Rank 128:	 158.711 MiB
[MEMUSAGE] Rank 129:	 158.539 MiB
[MEMUSAGE] Rank 130:	 158.723 MiB
[MEMUSAGE] Rank 131:	 158.676 MiB
[MEMUSAGE] Rank 132:	 160.746 MiB
[MEMUSAGE] Rank 133:	 158.613 MiB
[MEMUSAGE] Rank 134:	 158.684 MiB
[MEMUSAGE] Rank 135:	 158.496 MiB
[MEMUSAGE] Rank 136:	 158.703 MiB
[MEMUSAGE] Rank 137:	 158.652 MiB
[MEMUSAGE] Rank 138:	 158.816 MiB
[MEMUSAGE] Rank 139:	 158.590 MiB
[MEMUSAGE] Rank 140:	 158.621 MiB
[MEMUSAGE] Rank 141:	 160.742 MiB
[MEMUSAGE] Rank 142:	 160.895 MiB
[MEMUSAGE] Rank 143:	 158.742 MiB
[MEMUSAGE] Rank 144:	 158.734 MiB
[MEMUSAGE] Rank 145:	 158.793 MiB
[MEMUSAGE] Rank 146:	 160.781 MiB
[MEMUSAGE] Rank 147:	 158.613 MiB
[MEMUSAGE] Rank 148:	 160.832 MiB
[MEMUSAGE] Rank 149:	 158.695 MiB
[MEMUSAGE] Rank 150:	 158.984 MiB
[MEMUSAGE] Rank 151:	 158.691 MiB
[MEMUSAGE] Rank 152:	 158.809 MiB
[MEMUSAGE] Rank 153:	 160.926 MiB
[MEMUSAGE] Rank 154:	 158.926 MiB
[MEMUSAGE] Rank 155:	 158.695 MiB
[MEMUSAGE] Rank 156:	 158.844 MiB
[MEMUSAGE] Rank 157:	 159.043 MiB
[MEMUSAGE] Rank 158:	 157.000 MiB
[MEMUSAGE] Rank 159:	 158.680 MiB
[MEMUSAGE] Rank 160:	 160.695 MiB
[MEMUSAGE] Rank 161:	 160.949 MiB
[MEMUSAGE] Rank 162:	 158.695 MiB
[MEMUSAGE] Rank 163:	 162.629 MiB
[MEMUSAGE] Rank 164:	 159.074 MiB
[MEMUSAGE] Rank 165:	 158.727 MiB
[MEMUSAGE] Rank 166:	 158.859 MiB
[MEMUSAGE] Rank 167:	 158.609 MiB
[MEMUSAGE] Rank 168:	 160.773 MiB
[MEMUSAGE] Rank 169:	 158.891 MiB
[MEMUSAGE] Rank 170:	 158.871 MiB
