nodelist=n23m[0364-0374]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.5837905 (per dom)  ( 118.91637 overall)
FOM                  =  198158.48 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81414.859 MiB
[MEMUSAGE] Rank 0:	 158.711 MiB
[MEMUSAGE] Rank 1:	 160.527 MiB
[MEMUSAGE] Rank 2:	 160.586 MiB
[MEMUSAGE] Rank 3:	 158.418 MiB
[MEMUSAGE] Rank 4:	 156.438 MiB
[MEMUSAGE] Rank 5:	 158.723 MiB
[MEMUSAGE] Rank 6:	 158.449 MiB
[MEMUSAGE] Rank 7:	 158.594 MiB
[MEMUSAGE] Rank 8:	 156.805 MiB
[MEMUSAGE] Rank 9:	 158.742 MiB
[MEMUSAGE] Rank 10:	 158.785 MiB
[MEMUSAGE] Rank 11:	 158.832 MiB
[MEMUSAGE] Rank 12:	 158.809 MiB
[MEMUSAGE] Rank 13:	 158.688 MiB
[MEMUSAGE] Rank 14:	 158.828 MiB
[MEMUSAGE] Rank 15:	 158.520 MiB
[MEMUSAGE] Rank 16:	 158.664 MiB
[MEMUSAGE] Rank 17:	 158.750 MiB
[MEMUSAGE] Rank 18:	 159.047 MiB
[MEMUSAGE] Rank 19:	 158.879 MiB
[MEMUSAGE] Rank 20:	 158.969 MiB
[MEMUSAGE] Rank 21:	 158.566 MiB
[MEMUSAGE] Rank 22:	 158.914 MiB
[MEMUSAGE] Rank 23:	 158.672 MiB
[MEMUSAGE] Rank 24:	 158.840 MiB
[MEMUSAGE] Rank 25:	 159.047 MiB
[MEMUSAGE] Rank 26:	 159.105 MiB
[MEMUSAGE] Rank 27:	 158.938 MiB
[MEMUSAGE] Rank 28:	 158.863 MiB
[MEMUSAGE] Rank 29:	 158.891 MiB
[MEMUSAGE] Rank 30:	 158.777 MiB
[MEMUSAGE] Rank 31:	 158.523 MiB
[MEMUSAGE] Rank 32:	 160.770 MiB
[MEMUSAGE] Rank 33:	 156.820 MiB
[MEMUSAGE] Rank 34:	 158.762 MiB
[MEMUSAGE] Rank 35:	 158.641 MiB
[MEMUSAGE] Rank 36:	 158.777 MiB
[MEMUSAGE] Rank 37:	 156.777 MiB
[MEMUSAGE] Rank 38:	 158.781 MiB
[MEMUSAGE] Rank 39:	 158.664 MiB
[MEMUSAGE] Rank 40:	 158.727 MiB
[MEMUSAGE] Rank 41:	 158.660 MiB
[MEMUSAGE] Rank 42:	 156.793 MiB
[MEMUSAGE] Rank 43:	 160.672 MiB
[MEMUSAGE] Rank 44:	 158.594 MiB
[MEMUSAGE] Rank 45:	 158.598 MiB
[MEMUSAGE] Rank 46:	 156.586 MiB
[MEMUSAGE] Rank 47:	 158.734 MiB
[MEMUSAGE] Rank 48:	 158.742 MiB
[MEMUSAGE] Rank 49:	 158.746 MiB
[MEMUSAGE] Rank 50:	 158.695 MiB
[MEMUSAGE] Rank 51:	 158.711 MiB
[MEMUSAGE] Rank 52:	 158.758 MiB
