result:
| bench_id | wp_id |  must_branch | measurement | tasks | size | time_avg | time_std | verification |
|----------|-------|--------------|-------------|-------|------|----------|----------|--------------|
|       14 |    41 | rmasanitizer |        base |    27 |   20 |   35.000 |    0.000 |      SUCCESS |
|       14 |     5 | rmasanitizer |        must |    27 |   20 |  230.000 |    0.000 |      SUCCESS |
|       14 |    45 | rmasanitizer |        base |    64 |   20 |   48.000 |    0.000 |      SUCCESS |
|       14 |    10 | rmasanitizer |        must |    64 |   20 |  340.000 |    0.000 |      SUCCESS |
|       14 |    54 | rmasanitizer |        base |   125 |   20 |   63.000 |    1.225 |      SUCCESS |
|       14 |    17 | rmasanitizer |        must |   125 |   20 |  496.000 |    8.944 |      SUCCESS |
|       14 |    55 | rmasanitizer |        base |   216 |   20 |   84.600 |    3.578 |      SUCCESS |
|       14 |    20 | rmasanitizer |        must |   216 |   20 |  688.000 |   13.038 |      SUCCESS |
|       14 |    60 | rmasanitizer |        base |   343 |   20 |  100.800 |    5.167 |      SUCCESS |
|       14 |    29 | rmasanitizer |        must |   343 |   20 |  850.000 |   12.247 |      SUCCESS |
|       14 |    65 | rmasanitizer |        base |   512 |   20 |  120.000 |    0.000 |      SUCCESS |
|       14 |    30 | rmasanitizer |        must |   512 |   20 | 1100.000 |    0.000 |      SUCCESS |
|       14 |    70 | rmasanitizer |        base |   729 |   20 |  134.000 |    5.477 |      SUCCESS |
|       14 |    35 | rmasanitizer |        must |   729 |   20 | 1300.000 |    0.000 |      SUCCESS |
