result:
| bench_id | wp_id |  compile | measurement | tasks | size | time_avg | time_std | verification |
|----------|-------|----------|-------------|-------|------|----------|----------|--------------|
|       14 |    41 |     base |        base |    27 |   20 |   35.000 |    0.000 |      SUCCESS |
|       14 |     5 | tsan-opt |        must |    27 |   20 |  230.000 |    0.000 |      SUCCESS |
|       14 |    45 |     base |        base |    64 |   20 |   48.000 |    0.000 |      SUCCESS |
|       14 |    10 | tsan-opt |        must |    64 |   20 |  340.000 |    0.000 |      SUCCESS |
|       14 |    54 |     base |        base |   125 |   20 |   63.000 |    1.225 |      SUCCESS |
|       14 |    17 | tsan-opt |        must |   125 |   20 |  496.000 |    8.944 |      SUCCESS |
|       14 |    55 |     base |        base |   216 |   20 |   84.600 |    3.578 |      SUCCESS |
|       14 |    20 | tsan-opt |        must |   216 |   20 |  688.000 |   13.038 |      SUCCESS |
|       14 |    60 |     base |        base |   343 |   20 |  100.800 |    5.167 |      SUCCESS |
|       14 |    29 | tsan-opt |        must |   343 |   20 |  850.000 |   12.247 |      SUCCESS |
|       14 |    65 |     base |        base |   512 |   20 |  120.000 |    0.000 |      SUCCESS |
|       14 |    30 | tsan-opt |        must |   512 |   20 | 1100.000 |    0.000 |      SUCCESS |
|       14 |    70 |     base |        base |   729 |   20 |  134.000 |    5.477 |      SUCCESS |
|       14 |    35 | tsan-opt |        must |   729 |   20 | 1300.000 |    0.000 |      SUCCESS |
